reward,core,l1i_size,l1d_size,l2_size,l1i_assoc,l1d_assoc,l2_assoc,clock_rate,latency,Area,energy,power
21.141649048625794,16,128,64,64,1,8,2,2.9,0.000473,209.78,13.493690078000002,28.527886000000002
30.674846625766868,5,4,4096,2048,2,1,2,2.4,0.000326,253.94,7.1855534500000005,22.041575
11.804255808130435,13,4,2048,32768,8,4,8,3.3,0.00038,597.24,19.50201534,51.321093
28.985507246376812,12,16,32,4096,8,4,8,3.6,0.000345,194.41,7.763647124999999,22.503325
24.449877750611247,6,64,32,2048,16,1,2,3.1,0.000409,110.82,4.797297197,11.729332999999999
22.123893805309738,15,16,32,64,4,16,4,2.7,0.000452,224.98,12.10552276,26.78213
2.29302811035497,15,256,4096,65536,2,16,4,2.0,0.000446,1250.8,41.761517739999995,93.63569
8.130081300813009,1,512,4096,16384,8,1,8,2.4,0.00123,186.98,15.036660209999999,12.224927
22.781481146945477,12,16,2048,16384,4,4,8,2.1,0.000345,451.19,14.63868672,42.430976
39.8406374501992,9,16,32,2048,2,1,2,2.4,0.000251,110.36,3.944349289,15.714539
31.668243089540937,9,16,4096,512,1,8,2,2.1,0.00025,449.55,9.698934249999999,38.795736999999995
7.802760856308897,4,1024,512,65536,1,8,4,2.6,0.000701,540.85,25.637609209000004,36.572909
7.936507936507937,2,2048,16,1024,4,2,4,3.3,0.00126,61.368,8.34117732,6.619982
0,13,32,4,512,16,2,1,3.6,0,0,0,0
26.31578947368421,13,64,256,8192,16,1,4,3.2,0.00038,288.9,10.88641138,28.648451
35.46099290780141,10,128,64,128,1,4,1,2.8,0.000282,115.82,4.895338674,17.359357
35.46099290780141,10,256,2048,1024,2,8,4,2.5,0.000282,302.82,8.933926662,31.680591
26.31578947368421,13,32,2048,512,1,1,2,2.6,0.00038,342.76,14.43478982,37.986289
21.141649048625794,16,64,1024,2048,4,2,8,3.2,0.000473,32.0,17.703987477000002,37.429149
10.719163192339026,14,32,16,65536,2,2,4,3.2,0.000413,601.18,20.274376912999998,49.090500999999996
16.71769077571651,5,4096,4096,16384,2,2,16,3.2,0.000326,541.83,13.784474463999997,42.283663999999995
0,7,256,4,256,16,16,1,2.0,0,0,0,0
0,7,8,4,256,16,16,1,3.4,0,0,0,0
0,7,8,4,256,16,16,1,3.4,0,0,0,0
0,7,8,4,256,16,16,1,2.2,0,0,0,0
0,7,8,8,256,16,16,1,2.2,0,0,0,0
31.347962382445143,11,32,128,512,16,2,1,3.7,0.000319,180.4,6.476141496000001,20.301384000000002
0,3,256,4,4096,16,2,16,3.0,0,0,0,0
0,3,256,4,4096,16,16,16,3.0,0,0,0,0
22.271714922049,3,256,64,4096,16,16,16,2.3,0.000449,93.261,4.0407261100000005,8.99939
0,8,1024,4,256,16,16,1,3.4,0,0,0,0
31.347962382445143,8,1024,8,256,8,16,1,3.4,0.000319,172.21,6.14868353,19.27487
21.401341458022173,13,4,512,32768,16,2,1,3.6,0.000379,444.14,15.136822254999998,39.93884499999999
24.449877750611247,6,8,256,8192,8,4,1,3.8,0.000409,145.99,5.935892665,14.513185
22.779043280182233,7,4096,128,64,16,16,1,2.9,0.000439,333.82,13.415300468999998,30.558770999999997
0,7,8,1024,256,16,16,1,3.5,0,0,0,0
8.116883116883116,1,512,1024,128,8,16,1,3.5,0.001232,26.638,3.923126592,3.184356
21.978021978021978,7,128,4,32768,4,8,8,2.0,0.000455,344.88,11.86099278,26.068116
0,2,2048,8,256,16,16,2,3.9,0,0,0,0
7.936507936507937,2,2048,8,64,1,4,2,3.9,0.00126,51.31,7.3991484000000005,5.87234
28.985507246376812,12,512,8,256,8,16,8,2.2,0.000345,227.91,8.888025585,25.762393
22.42152466367713,15,4,32,1024,4,1,1,2.0,0.000446,167.4,11.199973854,25.112049
2.483238142537869,4,256,4,2048,2,8,1,3.1,0.004027,69.499,33.174107867000004,8.237921
0,16,2048,8,8192,16,16,2,3.9,0,0,0,0
7.936507936507937,2,2048,512,16384,1,4,2,3.9,0.00126,185.61,17.34266898,13.764023
7.936507936507937,2,2048,16,128,16,16,2,2.7,0.00126,59.416,8.4300993,6.690555
2.1175377668076467,14,8,256,65536,4,1,16,2.2,0.000413,1352.6,31.127228083000006,75.36859100000001
21.231422505307854,16,16,64,8192,16,8,2,2.5,0.000471,343.91,15.537652737,32.988647
0,9,8,4,256,2,16,8,2.8,0,0,0,0
21.141649048625794,16,64,32,8192,1,4,2,3.3,0.000473,237.55,14.175489779,29.969323
8.461539352347765,11,8,4096,32768,8,1,4,2.2,0.000319,769.91,19.153764531,60.043149
30.674846625766868,5,128,2048,1024,16,16,1,2.0,0.000326,160.19,5.462066430000001,16.754805
24.449877750611247,6,8,128,64,4,8,1,3.4,0.000409,77.586,4.3234870569999995,10.570872999999999
0,7,8,4,256,2,16,4,3.4,0,0,0,0
