,reward,core,l1i_size,l1d_size,l2_size,l1i_assoc,l1d_assoc,l2_assoc,clock_rate,latency,Area,energy,power
0,8.116883,1.0,16.0,128.0,8192.0,2.0,1.0,16.0,3.7,0.00126,82.185,9.32794632,7.403132
1,4.827631,8.0,2048.0,4096.0,32768.0,16.0,4.0,16.0,3.5,0.001232,73.02,7.20620824,5.849195
2,0.0,12.0,32.0,256.0,128.0,16.0,1.0,16.0,2.0,0.000317,1022.5,23.409183268,73.846004
3,2.482622,4.0,32.0,4.0,64.0,4.0,1.0,4.0,3.2,0.0,0.0,0.0,0.0
4,9.965452,14.0,4096.0,8.0,4096.0,4.0,16.0,2.0,2.4,0.004028,44.629,26.640479044000003,6.613823
5,11.98754,3.0,2048.0,128.0,65536.0,16.0,4.0,4.0,3.9,0.000413,623.5,25.008859820000005,60.55414
6,0.0,7.0,512.0,4096.0,16384.0,4.0,4.0,2.0,2.7,0.000449,545.22,16.075580226000003,35.803074
7,21.22792,14.0,2048.0,128.0,2048.0,16.0,16.0,16.0,2.3,0.0,0.0,0.0,0.0
8,26.315789,13.0,16.0,2048.0,512.0,4.0,1.0,16.0,3.1,0.000413,427.2,18.578540680000003,44.98436
9,13.333814,5.0,4.0,8.0,32768.0,8.0,1.0,16.0,3.8,0.00038,347.71,14.53649074,38.253923
10,16.954118,11.0,4096.0,256.0,2048.0,8.0,8.0,4.0,3.7,0.000326,606.7,12.608521396,38.676446
11,26.385224,13.0,8.0,8.0,2048.0,2.0,8.0,1.0,3.7,0.000319,543.91,15.816886084999998,49.582715
12,2.484472,4.0,32.0,1024.0,2048.0,16.0,4.0,4.0,2.9,0.000379,169.9,8.589635913,22.663947
13,5.255718,13.0,128.0,2048.0,32768.0,4.0,1.0,16.0,3.2,0.004025,99.079,41.294531775,10.259511
14,2.485707,4.0,4096.0,4096.0,256.0,8.0,4.0,4.0,2.9,0.00038,895.06,26.167788,68.8626
15,16.449842,16.0,256.0,128.0,32768.0,2.0,4.0,8.0,3.7,0.004023,334.44,110.400336693,27.442291
16,31.545741,8.0,64.0,8.0,4096.0,4.0,4.0,2.0,2.9,0.000473,453.47,20.172832735000004,42.648695
17,7.936508,2.0,2048.0,128.0,128.0,4.0,1.0,4.0,2.2,0.000317,122.09,4.7865291370000005,15.099461
18,21.231423,16.0,16.0,16.0,16384.0,4.0,8.0,4.0,2.7,0.00126,53.525,8.11690362,6.441987
19,22.779043,7.0,1024.0,256.0,4096.0,16.0,2.0,16.0,3.5,0.000471,329.78,16.071691377000004,34.12248700000001
20,26.385224,13.0,256.0,32.0,16384.0,4.0,8.0,1.0,3.5,0.000439,200.85,8.699377211,19.816349
21,6.253855,2.0,64.0,32.0,65536.0,16.0,8.0,1.0,3.8,0.000379,292.98,11.658591445,30.761455
22,31.545741,8.0,32.0,4096.0,128.0,4.0,1.0,1.0,3.2,0.00126,450.61,38.59110108000001,30.627858000000003
23,31.347962,11.0,64.0,64.0,128.0,8.0,2.0,8.0,2.7,0.000317,388.87,10.751372634000004,33.916002000000006
24,22.271715,3.0,64.0,64.0,256.0,8.0,4.0,4.0,2.8,0.000319,145.45,6.156628543999999,19.299776
25,22.271715,3.0,256.0,2048.0,1024.0,8.0,8.0,2.0,2.4,0.000449,42.945,2.479320528,5.521872
26,22.47191,7.0,64.0,64.0,64.0,2.0,1.0,4.0,2.3,0.000449,99.07,4.591571433,10.226217
27,27.453796,8.0,128.0,4096.0,8192.0,16.0,4.0,16.0,2.6,0.000445,79.045,5.312967585,11.939253
28,24.449878,6.0,512.0,512.0,16384.0,8.0,4.0,1.0,3.2,0.000318,428.1,12.074435196,37.969922
29,2.486325,4.0,32.0,1024.0,1024.0,4.0,2.0,2.0,2.7,0.000409,229.29,8.552875075000001,20.911675
30,31.347962,8.0,64.0,256.0,128.0,8.0,2.0,1.0,2.3,0.004022,88.408,38.74843064000001,9.63412
31,2.588096,8.0,128.0,2048.0,65536.0,16.0,4.0,16.0,2.1,0.000319,113.54,4.760255808,14.922432
32,22.779043,7.0,4096.0,128.0,2048.0,16.0,1.0,1.0,2.7,0.000318,1394.3,23.656323053999994,74.390953
33,22.421525,15.0,512.0,128.0,1024.0,8.0,4.0,4.0,3.3,0.000439,364.11,13.927401431999998,31.725288
34,6.44162,14.0,4096.0,1024.0,2048.0,16.0,2.0,16.0,3.6,0.000446,265.24,14.197661612,31.833322
35,22.271715,3.0,2048.0,128.0,32768.0,16.0,4.0,2.0,2.3,0.000413,775.51,28.814400825,69.768525
36,31.347962,11.0,256.0,32.0,8192.0,16.0,2.0,16.0,2.3,0.000449,326.6,10.159398626999998,22.626723
37,22.271715,3.0,64.0,256.0,256.0,2.0,1.0,4.0,2.2,0.000319,247.4,8.0442868,25.2172
38,26.315789,13.0,8.0,128.0,8192.0,2.0,4.0,4.0,3.0,0.000449,40.466,2.543569285,5.664965
39,10.83627,12.0,32.0,128.0,65536.0,8.0,16.0,2.0,3.2,0.00038,216.69,9.76005946,25.684367
40,7.936508,2.0,512.0,16.0,256.0,16.0,1.0,1.0,2.4,0.000345,654.2,16.903039364999998,48.994317
41,22.271715,3.0,512.0,512.0,256.0,1.0,1.0,1.0,3.0,0.00126,41.578,5.86699092,4.656342
42,30.674847,5.0,4.0,512.0,2048.0,2.0,4.0,4.0,2.9,0.000449,60.098,3.271223624,7.285576
43,35.460993,10.0,2048.0,32.0,1024.0,8.0,2.0,4.0,2.0,0.000326,87.892,3.5124436420000005,10.774367000000002
44,6.914076,15.0,128.0,128.0,65536.0,16.0,1.0,8.0,3.9,0.000282,279.8,8.660114814000002,30.709627
45,22.271715,3.0,2048.0,128.0,2048.0,4.0,2.0,16.0,3.6,0.000446,720.32,24.29293093,54.468455
46,0.0,14.0,64.0,4.0,512.0,8.0,16.0,16.0,3.7,0.000449,93.644,4.678910913,10.420737
47,7.936508,2.0,4096.0,32.0,4096.0,1.0,8.0,1.0,3.2,0.0,0.0,0.0,0.0
48,8.116883,1.0,2048.0,512.0,4096.0,16.0,1.0,8.0,3.0,0.00126,124.03,13.627482120000002,10.815462
49,30.769231,5.0,4096.0,128.0,8192.0,16.0,4.0,4.0,3.6,0.001232,74.193,7.379523536,5.989872999999999
50,31.347962,11.0,32.0,2048.0,1024.0,8.0,16.0,4.0,3.1,0.000325,323.08,8.4756542,26.078936
51,22.779043,7.0,128.0,512.0,256.0,8.0,1.0,2.0,2.4,0.000319,350.47,10.960036439,34.357481
52,17.577984,8.0,32.0,128.0,65536.0,4.0,4.0,2.0,2.4,0.000439,111.71,6.317493594,14.390646
53,1.446665,4.0,128.0,8.0,65536.0,8.0,1.0,8.0,3.7,0.000318,535.01,12.697030859999998,39.92777
54,22.271715,8.0,8.0,128.0,256.0,1.0,1.0,1.0,2.5,0.004028,524.0,134.18202294600002,33.3123195
55,10.658317,9.0,2048.0,1024.0,65536.0,2.0,4.0,8.0,3.2,0.000449,90.94,6.144987958000001,13.685942
56,21.249801,14.0,2048.0,128.0,256.0,16.0,8.0,2.0,3.1,0.00025,774.9,14.59230875,58.369235
57,1.633415,4.0,16.0,4.0,65536.0,4.0,8.0,2.0,3.1,0.000413,426.98,18.083213673,43.785021
58,31.347962,11.0,64.0,256.0,16384.0,2.0,2.0,16.0,2.8,0.004025,493.32,132.466304075,32.910883000000005
59,31.347962,11.0,16.0,32.0,16384.0,1.0,1.0,1.0,3.9,0.000319,269.09,8.849045645,27.739955
60,31.347962,11.0,8.0,32.0,512.0,8.0,1.0,16.0,3.0,0.000319,229.79,7.953862103,24.933737
61,0.0,6.0,8.0,1024.0,512.0,2.0,16.0,8.0,3.6,0.000319,144.32,6.080564270000001,19.06133
62,22.779043,7.0,16.0,4096.0,2048.0,2.0,4.0,1.0,3.3,0.0,0.0,0.0,0.0
63,18.164179,7.0,4096.0,32.0,16384.0,1.0,8.0,16.0,2.5,0.000439,350.77,13.324737403,30.352477
64,21.978022,7.0,32.0,4.0,64.0,2.0,1.0,1.0,2.4,0.000439,447.94,16.589370561,37.788999
65,0.0,9.0,4.0,64.0,1024.0,4.0,16.0,8.0,3.1,0.000455,74.462,5.2546312,11.54864
66,33.898305,9.0,1024.0,128.0,1024.0,16.0,1.0,2.0,3.6,0.0,0.0,0.0,0.0
67,15.576324,2.0,256.0,256.0,16384.0,2.0,1.0,1.0,2.0,0.000295,246.02,7.034720155000001,23.846509
68,7.936508,2.0,512.0,4.0,16384.0,1.0,1.0,16.0,3.0,0.000642,142.68,7.055300088,10.989564
69,22.271715,3.0,4.0,256.0,1024.0,4.0,1.0,8.0,2.8,0.00126,163.48,16.579155600000004,13.15806
70,3.937153,9.0,128.0,128.0,65536.0,4.0,1.0,16.0,2.0,0.000449,44.083,2.6420731500000003,5.88435
71,21.141649,16.0,32.0,512.0,1024.0,16.0,4.0,4.0,3.8,0.000243,1293.2,16.170659774999997,66.545925
72,7.961783,2.0,1024.0,4096.0,8192.0,16.0,1.0,4.0,3.1,0.000473,298.27,15.721389057,33.237609
73,22.83105,7.0,64.0,32.0,512.0,1.0,1.0,1.0,2.3,0.001256,181.89,17.469152616,13.908561
74,8.130081,1.0,2048.0,4.0,32768.0,4.0,2.0,1.0,2.1,0.000438,79.47,5.2521587400000005,11.99123
75,8.130081,1.0,32.0,4096.0,16384.0,4.0,8.0,1.0,2.1,0.00123,239.94,20.912820390000004,17.002293
76,22.779043,7.0,64.0,128.0,64.0,8.0,4.0,8.0,2.9,0.00123,166.25,14.46181233,11.757571
77,22.421525,15.0,2048.0,32.0,1024.0,2.0,8.0,16.0,2.3,0.000439,96.015,5.511740702,12.555218
78,0.0,1.0,16.0,4.0,1024.0,8.0,1.0,2.0,2.1,0.000446,385.43,20.085167568,45.034008
79,26.76481,9.0,32.0,4096.0,512.0,1.0,8.0,2.0,3.9,0.0,0.0,0.0,0.0
80,13.584067,13.0,64.0,2048.0,32768.0,1.0,2.0,1.0,2.5,0.000295,450.16,11.37541771,38.560738
81,31.446541,8.0,256.0,8.0,2048.0,8.0,1.0,8.0,2.7,0.000381,556.01,19.642995258,51.556418
82,22.271715,3.0,2048.0,32.0,256.0,2.0,2.0,2.0,2.8,0.000318,123.76,4.920942516,15.474662
83,26.385224,13.0,32.0,256.0,2048.0,8.0,16.0,16.0,3.1,0.000449,77.897,4.163547815000001,9.272935
84,31.446541,8.0,256.0,256.0,64.0,16.0,2.0,8.0,2.8,0.000379,254.24,10.161481563,26.811297
85,22.779043,7.0,4.0,1024.0,8192.0,4.0,4.0,2.0,3.0,0.000318,145.91,5.224393062,16.428909
86,0.859535,2.0,128.0,512.0,65536.0,2.0,4.0,16.0,3.3,0.000439,199.67,8.471978723,19.298357
87,21.231423,16.0,128.0,64.0,16384.0,4.0,1.0,16.0,3.0,0.001256,1217.4,68.670383232,54.673872
88,22.421525,15.0,8.0,4.0,512.0,1.0,1.0,1.0,2.9,0.000471,317.0,16.705878276000004,35.468956000000006
89,22.779043,7.0,1024.0,4.0,512.0,1.0,2.0,4.0,2.5,0.000446,156.92,10.891435514,24.420259
90,0.0,8.0,128.0,4.0,256.0,16.0,4.0,2.0,3.7,0.000439,133.0,7.076945595,16.120605
91,28.985507,12.0,64.0,8.0,256.0,2.0,4.0,2.0,3.9,0.0,0.0,0.0,0.0
92,21.231423,16.0,512.0,256.0,1024.0,16.0,16.0,2.0,2.6,0.000345,132.21,6.859567725,19.882805
93,22.779043,7.0,256.0,2048.0,128.0,2.0,16.0,2.0,2.4,0.000471,381.34,17.795736951,37.782881
