,latency,Area,energy,power,core,l1i_size,l1d_size,l2_size,l1i_assoc,l1d_assoc,l2_assoc,clock_rate,best_reward
0,0.0,0.0,0.0,0.0,15,16,256,128,4,8,16,3.5,0.0
1,0.00126,83.711,11.05451928,8.773428000000001,2,2048,2048,64,8,8,4,3.9,13.094823333333332
2,0.000319,135.44,4.925530984,15.440536,8,8,64,4096,8,2,2,3.5,13.094823333333332
3,0.00126,41.313,5.92472412,4.702162,2,512,128,64,16,2,8,2.4,13.094823333333332
4,0.000345,1123.9,27.914720730000003,80.91223400000001,12,4,4096,32768,8,2,16,3.1,15.574817777777778
5,0.000445,159.15,7.74554807,17.405726,7,128,1024,256,1,1,4,2.2,18.049452777777777
6,0.0,0.0,0.0,0.0,1,8,128,64,16,16,2,2.2,18.122619555555556
7,0.000319,279.1,7.847337795,24.599805,11,16,32,8192,16,16,1,3.3,18.122619555555556
8,0.000282,133.47,5.235465360000001,18.56548,10,64,256,1024,1,2,4,2.4,18.122619555555556
9,0.000449,147.13,6.265852023000001,13.955127,3,4096,16,1024,4,8,16,3.4,19.867392666666667
10,0.000345,734.56,23.07969753,66.89767400000001,12,4096,2048,1024,4,8,8,2.8,19.867392666666667
11,0.00123,31.384,4.31729385,3.509995,1,512,4,2048,1,8,16,2.2,19.867392666666667
12,0.000413,149.25,9.475793117000002,22.943809,14,32,16,64,2,2,4,3.1,19.867392666666667
13,0.00038,234.19,11.12345272,29.272244,13,8,1024,256,8,1,1,2.9,19.867392666666667
14,0.0,0.0,0.0,0.0,7,32,8,65536,16,8,4,3.9,19.867392666666667
15,0.000282,714.34,16.132678842,57.208081,10,2048,256,65536,8,16,2,3.9,19.867392666666667
16,0.00123,32.438,3.974820030000001,3.231561,1,512,256,2048,1,1,4,2.8,19.867392666666667
17,0.000344,125.34,6.747826944000001,19.615776,12,4,4,128,1,2,4,2.0,19.867392666666667
18,0.000473,564.37,26.118029806,55.217822,16,2048,128,16384,8,1,4,3.4,19.867392666666667
19,0.000449,34.101,2.267357955,5.049795,3,8,16,64,4,4,1,2.8,21.437551777777784
20,0.000282,159.78,5.062522092,17.952206,10,16,32,256,16,4,2,2.6,24.142231333333346
21,0.000409,92.403,4.966866552000001,12.143928,6,32,32,4096,1,1,16,2.1,25.730169555555566
22,0.000473,199.42,12.703849609,26.858033,16,4,16,128,8,1,4,2.9,25.730169555555566
23,0.000326,318.64,7.85193983,24.085705,5,512,256,32768,1,2,4,2.9,25.730169555555566
24,0.000282,165.9,5.765353512000001,20.444516,10,8,32,8192,1,2,16,3.0,25.730169555555566
25,0.000446,178.38,11.495515308,25.774698,15,8,128,1024,4,2,2,3.4,25.730169555555566
26,0.001232,52.684,6.041394127999999,4.903728999999999,1,1024,2048,2048,1,1,4,3.1,25.730169555555566
27,0.001232,43.294,5.790912512000001,4.700416000000001,1,2048,2048,64,4,2,8,3.4,25.730169555555566
28,0.000317,174.51,5.567188553000001,17.562109000000003,8,64,64,8192,8,2,4,3.5,25.730169555555566
29,0.000701,322.93,15.149354461999998,21.611062,4,512,8,32768,2,16,8,3.3,25.730169555555566
30,0.00126,56.089,7.702810920000001,6.113342,2,32,2048,256,1,2,4,3.5,25.730169555555566
31,0.00126,47.1,6.6654378,5.29003,2,4,1024,1024,8,2,2,2.6,25.730169555555566
32,0.000471,645.0,25.535758137,54.216047,16,8,128,65536,4,8,2,2.5,25.730169555555566
33,0.00025,276.82,6.31804725,25.272189,9,1024,64,8192,16,4,2,3.0,25.730169555555566
34,0.00038,717.4,23.85816852,62.784654,13,4096,128,16384,1,2,8,3.4,25.730169555555566
35,0.00025,116.22,3.936393250000001,15.745573,9,8,32,1024,1,8,1,3.0,25.730169555555566
36,0.004024,601.97,151.15538718399998,37.563466,4,16,256,32768,8,2,16,2.8,25.730169555555566
37,0.000449,68.039,3.07717211,6.85339,3,8,64,4096,2,2,4,2.9,25.730169555555566
38,0.00126,103.05,11.81465964,9.376714,2,64,4096,1024,16,8,8,3.0,25.730169555555566
39,0.000439,176.8,9.000975918,20.503362000000003,7,2048,8,512,1,1,4,3.2,25.730169555555566
40,0.0,0.0,0.0,0.0,8,1024,4,1024,16,8,1,2.2,25.730169555555566
41,0.000413,412.43,18.400763178,44.553906,14,2048,64,8192,1,1,2,2.5,25.730169555555566
42,0.000345,332.3,12.439315515,36.055987,12,32,2048,2048,8,2,8,2.9,25.730169555555566
43,0.000345,331.15,12.416238465,35.989097,12,64,2048,512,16,8,2,3.7,25.730169555555566
44,0.000282,281.21,8.548580148000001,30.314114,10,32,2048,2048,8,4,4,2.6,25.730169555555566
45,0.000381,188.84,9.408134726999998,24.693267,13,256,64,1024,2,8,4,2.4,25.730169555555566
46,0.000449,160.12,6.163781302,13.727798,3,32,4096,2048,2,4,4,2.9,25.730169555555566
47,0.000449,84.851,3.668320122,8.169978,3,512,64,4096,8,8,2,3.5,25.730169555555566
48,0.0,0.0,0.0,0.0,3,4,4,4096,16,16,4,3.5,25.730169555555566
49,0.000439,173.42,8.214925346000001,18.712814,7,512,1024,128,16,1,2,3.8,25.730169555555566
50,0.000446,196.58,11.53917291,25.872585,15,64,16,512,8,1,8,3.7,25.730169555555566
51,0.000446,704.62,28.726339964,64.408834,15,16,4096,4096,16,1,16,3.4,25.730169555555566
52,0.000282,162.7,5.609046270000001,19.890235,10,8,256,4096,4,4,8,3.0,25.730169555555566
53,0.000409,94.228,4.683775975000001,11.451775,6,8,256,1024,8,4,2,3.5,25.730169555555566
54,0.00038,169.77,9.06136524,23.845698,13,64,256,1024,4,2,2,2.9,25.730169555555566
55,0.000345,198.0,7.58634231,21.989398,12,8,16,2048,16,4,4,2.7,25.730169555555566
56,0.000439,361.5,13.912178229,31.690611,7,4096,256,1024,16,2,1,3.5,25.730169555555566
57,0.000345,148.17,7.45966797,21.622226,12,32,256,256,1,2,4,2.1,25.730169555555566
58,0.00126,167.56,16.08516756,12.766006,2,4,4096,8192,8,2,4,2.4,25.730169555555566
59,0.000446,282.33,14.065075624,31.536044,15,64,512,1024,16,4,4,3.3,25.730169555555566
60,0.000345,231.22,9.181310429999998,26.612494,12,256,256,8192,2,2,4,2.7,25.730169555555566
61,0.000409,120.74,5.483636007,13.407423,6,8,32,8192,1,2,8,3.1,25.730169555555566
62,0.000345,299.15,10.31927982,29.910956,12,1024,64,2048,16,2,2,3.5,25.730169555555566
63,0.000282,693.12,15.948327264,56.554352,10,4096,256,32768,1,2,2,2.4,27.5676823333333
64,0.000282,177.45,5.859534462,20.778491,10,128,64,8192,1,2,2,2.0,29.52084622222219
65,0.000317,202.37,6.03934769,19.05157,8,128,256,8192,16,4,2,3.5,29.52084622222219
66,0.000409,89.955,4.610537572000001,11.272708000000002,6,64,128,1024,2,8,2,3.3,29.52084622222219
67,0.00025,186.1,4.787646499999999,19.150586,9,64,32,8192,8,2,4,3.5,29.52084622222219
68,0.00025,334.58,7.7949725,31.17989,9,2048,64,8192,16,4,2,3.0,29.52084622222219
