,reward,core,l1i_size,l1d_size,l2_size,l1i_assoc,l1d_assoc,l2_assoc,clock_rate,latency,Area,energy,power
0,22.42152466367713,15,512,32,8192,16,8,1,3.9,0.000446,356.51,15.627307029999999,35.038804999999996
1,40.0,9,8,1024,512,16,2,1,2.9,0.00025,188.01,5.301874499999999,21.207497999999998
2,20.22055522729368,12,2048,2048,128,4,16,8,2.2,0.000345,478.91,17.547741900000002,50.86302
3,8.116883116883116,1,8,128,16384,4,8,16,3.5,0.001232,147.5,12.211076416,9.911588
4,40.0,9,16,16,4096,8,4,16,3.9,0.00025,143.18,4.3306362499999995,17.322544999999998
5,22.271714922049,3,1024,1024,16384,16,1,16,2.5,0.000449,226.61,7.92680315,17.65435
6,24.449877750611247,6,256,8,16384,8,8,1,2.6,0.000409,205.68,7.503981896000001,18.347144
7,26.385224274406333,13,1024,4,8192,1,2,2,3.9,0.000379,301.35,12.357521262999999,32.605596999999996
8,22.471910112359552,7,1024,2048,1024,2,2,4,2.3,0.000445,250.3,11.277592279999999,25.342903999999997
9,22.471910112359552,7,2048,64,2048,8,4,1,2.2,0.000445,205.26,9.805505579999998,22.034844
10,22.271714922049,3,2048,4,16384,2,4,4,3.9,0.000449,205.05,7.182409193000001,15.996457
11,28.894614721614563,8,256,4096,1024,16,16,16,2.2,0.000318,417.29,11.638805406,36.600017
12,26.385224274406333,13,1024,32,512,4,8,1,3.4,0.000379,231.56,11.230566279,29.632101
13,22.271714922049,3,1024,128,2048,1,2,16,3.5,0.000449,74.005,3.759661988,8.373412
14,22.271714922049,3,512,256,512,16,1,8,3.5,0.000449,68.198,3.246822719,7.231231
15,0.0,16,128,4,8192,16,4,16,3.7,0.0,0.0,0.0,0.0
16,0.0,8,16,4,8192,8,4,1,3.4,0.0,0.0,0.0,0.0
17,30.674846625766868,5,8,2048,128,1,4,4,3.0,0.000326,133.51,4.78990659,14.692965
18,22.471910112359552,7,256,16,8192,2,1,1,2.3,0.000445,145.85,7.17464956,16.122808
19,24.449877750611247,6,64,32,16384,8,4,16,2.8,0.000409,212.12,7.514207305,18.372145
20,17.05133616407993,16,32,512,16384,1,16,16,3.8,0.000473,445.4,19.726277692,41.704603999999996
21,19.995017396576166,10,4096,1024,256,2,2,2,2.1,0.000282,532.69,13.820932800000003,49.010400000000004
22,30.674846625766868,5,4096,2048,2048,16,2,8,2.8,0.000326,311.57,9.416063054,28.883629
23,31.347962382445143,11,128,256,256,4,4,16,2.9,0.000319,145.08,6.558305369,20.558951
24,35.46099290780141,10,64,1024,512,2,2,1,2.3,0.000282,198.85,6.55094037,23.230285
25,22.471910112359552,7,1024,16,16384,2,4,4,2.4,0.000445,259.28,10.238102985000001,23.006973000000002
26,22.271714922049,3,256,512,256,16,8,2,2.8,0.000449,65.252,3.2117616559999997,7.153143999999999
27,7.936507936507937,2,4,512,16384,1,4,1,3.5,0.00126,145.9,14.172740820000001,11.248207
28,22.42152466367713,15,4,16,64,16,4,1,2.9,0.000446,228.5,11.716029304,26.269124
29,13.95956878298943,15,2048,1024,512,2,2,1,3.1,0.000446,506.94,23.79484036,53.35166
30,22.271714922049,3,512,1024,512,16,2,1,2.9,0.000449,76.211,3.798501835,8.459915
31,8.116883116883116,1,32,4096,256,2,4,2,3.5,0.001232,51.181,5.585522096,4.533703
32,0.0,5,256,8,512,16,2,1,2.0,0.0,0.0,0.0,0.0
33,31.446540880503147,8,256,1024,64,1,2,8,2.4,0.000318,186.6,6.490816932,20.411374000000002
34,3.5036684458191028,16,4096,1024,16384,16,2,1,3.3,0.000473,982.58,40.361238049,85.330313
35,23.95136866340368,10,8,4096,256,4,2,4,2.9,0.000282,486.71,11.9556438,42.3959
36,22.42152466367713,15,64,16,512,16,8,4,2.9,0.000446,260.84,12.411615809999999,27.828734999999998
37,35.46099290780141,10,8,16,64,16,2,1,2.9,0.000282,151.46,4.957962414,17.581426999999998
38,31.347962382445143,11,8,1024,512,2,2,1,2.9,0.000319,214.93,7.992483751999998,25.054807999999998
39,31.347962382445143,11,8,8,512,8,2,1,3.5,0.000319,136.4,5.921171773,18.561667
40,22.779043280182233,7,8,1024,512,4,2,1,3.3,0.000439,138.55,7.036294195,16.028005
41,35.46099290780141,10,64,1024,2048,16,2,1,2.9,0.000282,222.86,6.9315036,24.5798
42,30.674846625766868,5,4,64,512,16,2,1,2.9,0.000326,82.637,3.0182621980000004,9.258473
43,40.0,9,8,8,512,8,2,1,2.9,0.00025,112.49,3.8268020000000003,15.307208000000001
44,22.271714922049,3,8,1024,2048,4,2,1,2.9,0.000449,73.631,3.5281535470000005,7.8578030000000005
45,6.650050219466785,14,4096,1024,512,16,2,1,2.9,0.000413,763.26,28.490294532,68.983764
46,2.483854942871336,4,8,128,512,16,2,1,2.9,0.004026,68.218,30.232115694,7.509219
47,31.347962382445143,11,8,128,512,16,2,1,2.9,0.000319,179.17,6.456679306000002,20.240374000000003
48,40.0,9,8,1024,256,2,2,1,2.9,0.00025,175.53,5.117901500000001,20.471606
49,40.0,9,8,1024,512,16,2,1,2.9,0.00025,188.01,5.301874499999999,21.207497999999998
50,30.674846625766868,5,8,1024,64,16,2,1,2.0,0.000326,103.72,3.8897253980000004,11.931673
51,33.898305084745765,9,8,1024,512,16,2,1,3.8,0.000295,188.01,6.229645685,21.117442999999998
52,40.0,9,8,1024,512,16,2,1,2.9,0.00025,188.01,5.301874499999999,21.207497999999998
53,40.0,9,8,64,512,16,2,1,2.9,0.00025,145.04,4.080753,16.323012
54,40.0,9,128,1024,512,16,2,1,3.1,0.00025,193.5,5.45433425,21.817337
55,28.985507246376812,12,8,1024,512,16,2,1,2.9,0.000345,249.04,9.70449189,28.128962
56,22.779043280182233,7,8,1024,512,16,2,1,2.9,0.000439,147.31,7.248294758,16.510922
57,39.8406374501992,9,8,1024,512,16,2,1,2.5,0.000251,188.01,5.338595554999999,21.269305
58,24.449877750611247,6,8,16,512,16,8,1,2.9,0.000409,103.45,4.573623277000001,11.182453
59,40.0,9,8,1024,512,16,2,1,2.9,0.00025,188.01,5.301874499999999,21.207497999999998
60,40.0,9,8,1024,512,16,2,1,2.3,0.00025,188.01,5.326897499999999,21.307589999999998
61,8.130081300813009,1,8,1024,512,16,2,1,2.9,0.00123,25.108,3.37468458,2.743646
62,40.0,9,8,1024,512,16,2,1,2.9,0.00025,188.01,5.301874499999999,21.207497999999998
