,reward1,reward2,latency,Area,energy,power,core,l1i_size,l1d_size,l2_size,l1i_assoc,l1d_assoc,l2_assoc,clock_rate,best_reward
0,53.466384,17.661775,0.000449,409.62,12.991733731,28.934819,3,4096,1024,32768,1,8,4,3.2,5.834288
1,19.980159,31.305628,0.00126,25.206,4.547530260000001,3.609151,2,128,32,64,4,2,8,3.2,18.295022333333332
2,0.0,0.0,0.0,0.0,0.0,0.0,1,8,8,65536,16,1,4,3.4,18.295022333333332
3,72.971014,21.761156,0.000345,243.62,9.411449925,27.279565,12,512,4,8192,2,1,4,3.3,18.295022333333332
4,100.7,29.937519,0.00025,163.27,4.97266075,19.890643,9,256,512,2048,8,1,2,2.9,18.295022333333332
5,77.632371,20.30366,0.000317,404.57,10.330873719,32.589507000000005,8,1024,256,32768,2,8,8,3.7,18.295022333333332
6,0.0,0.0,0.0,0.0,0.0,0.0,4,32,4,32768,8,2,2,3.6,18.295022333333332
7,56.446188,16.236463,0.000446,343.24,16.905872624,37.905544,15,256,1024,2048,16,2,8,2.8,18.295022333333332
8,61.552567,20.533589,0.000409,298.16,10.570382504,25.844456,6,16,4096,1024,2,4,4,2.5,18.295022333333332
9,78.918495,26.275351,0.000319,144.4,6.455403305999999,20.236374,11,256,4,2048,1,4,4,3.4,18.295022333333332
10,12.029024,2.069507,0.000345,985.19,28.277861864999995,81.964817,12,4096,4096,1024,2,2,8,2.8,18.295022333333332
11,45.867311,12.425944,0.000471,431.8,21.255488646000003,45.128426000000005,16,512,1024,8192,4,2,4,2.7,18.295022333333332
12,29.437575,6.382466,0.00038,600.07,21.6010962,56.84499,13,4096,128,2048,2,2,16,2.9,18.295022333333332
13,0.0,0.0,0.0,0.0,0.0,0.0,14,4,512,2048,16,8,2,2.0,18.295022333333332
14,21.802998,3.621885,0.00025,859.64,15.9266535,63.706614,9,8,4096,65536,16,2,4,2.9,18.295022333333332
15,79.166667,28.388602,0.000318,139.46,5.530092821999999,17.390228999999998,8,128,512,2048,1,1,1,2.1,18.295022333333332
16,60.956416,19.752979,0.000413,195.51,11.422344304,27.657008,14,512,16,256,1,2,2,2.3,18.295022333333332
17,6.253105,12.632988,0.004026,47.86,27.925970556,6.936406,4,32,16,256,1,1,16,3.0,18.295022333333332
18,17.917889,4.251551,0.000446,709.96,24.844490210000004,55.705135000000006,15,128,8,32768,1,1,16,2.5,18.295022333333332
19,79.166667,26.811878,0.000318,208.93,6.199632918,19.495701,8,512,16,4096,16,16,4,2.4,18.295022333333332
20,56.069042,31.358451,0.000449,96.18,4.532222613,10.094037,3,1024,1024,1024,4,16,2,2.3,18.295022333333332
21,34.497192,7.026722,0.000282,643.47,13.478501892,47.796106,10,512,128,65536,16,8,2,3.5,18.295022333333332
22,0.0,0.0,0.0,0.0,0.0,0.0,15,8,8,64,4,16,8,3.3,18.295022333333332
23,0.0,0.0,0.0,0.0,0.0,0.0,12,1024,1024,64,4,8,16,2.2,18.295022333333332
24,78.918495,22.026381,0.000319,286.93,9.186162612,28.796748,11,256,512,8192,8,16,16,3.3,18.295022333333332
25,77.223926,24.960925,0.000326,224.72,7.153178716,21.942266,5,4096,16,128,2,2,8,2.0,18.295022333333332
26,79.667722,30.9791,0.000316,124.94,4.643899975999999,14.695886,8,16,8,1024,1,16,1,2.7,18.295022333333332
27,22.514905,5.656147,0.000471,616.31,24.718503429,52.480899,16,4,32,65536,4,4,2,2.5,18.295022333333332
28,57.346241,24.275065,0.000439,157.1,7.56309639,17.22801,7,128,1024,64,1,1,1,3.0,18.295022333333332
29,61.552567,32.407666,0.000409,77.796,4.243507107,10.375323,6,16,64,64,8,1,4,2.8,18.295022333333332
30,35.406733,9.456077,0.000446,505.05,19.611053512,43.970972,15,64,512,32768,16,2,2,2.1,18.295022333333332
31,20.46748,36.812728,0.00123,19.254,3.2887014299999997,2.673741,1,512,32,128,2,16,1,2.6,18.295022333333332
32,40.676728,8.900683,0.000345,535.75,17.48094852,50.669416,12,4096,32,128,4,1,1,3.5,18.295022333333332
33,19.980159,18.51569,0.00126,111.52,12.99991896,10.317396,2,4096,256,2048,8,1,2,2.2,18.295022333333332
34,0.0,0.0,0.0,0.0,0.0,0.0,10,8,1024,32768,8,16,2,3.0,18.295022333333332
35,78.918495,26.840191,0.000319,131.96,6.1865599950000005,19.393605,11,128,128,64,4,2,8,3.7,18.295022333333332
36,0.0,0.0,0.0,0.0,0.0,0.0,11,256,4,16384,8,2,2,3.2,18.295022333333332
37,72.971014,24.27986,0.000345,190.85,7.560109199999999,21.91336,12,32,4,1024,2,16,2,2.8,18.295022333333332
38,13.622829,2.964501,0.000471,792.32,32.9423523,69.9413,16,4096,32,256,16,1,8,2.3,18.295022333333332
39,79.166667,20.015599,0.000318,369.54,11.124570786,34.982927000000004,8,4096,4,2048,1,1,16,2.7,18.295022333333332
40,19.980159,30.677603,0.00126,26.808,4.7356281,3.758435,2,256,64,64,4,1,4,3.4,18.295022333333332
41,88.037539,20.041557,0.00025,427.8,8.480751750000001,33.923007000000005,9,32,1024,32768,4,2,8,3.0,18.295022333333332
42,100.7,27.603465,0.00025,216.62,5.8491565,23.396626,9,1024,8,2048,8,1,16,2.3,18.295022333333332
43,35.912981,22.393712,0.000701,119.75,8.887267484999999,12.677985,4,2048,32,1024,8,2,16,2.9,18.295022333333332
44,89.27305,22.86881,0.000282,276.61,8.521838934000002,30.219287,10,128,2048,1024,4,2,8,3.8,18.295022333333332
45,100.7,25.411208,0.00025,251.16,6.9019182500000005,27.607673,9,256,2048,128,8,1,2,3.4,18.295022333333332
46,0.0,0.0,0.0,0.0,0.0,0.0,5,8,4,65536,16,16,8,2.6,18.295022333333332
47,53.224101,17.43533,0.000473,264.54,14.660881433000002,30.995521,16,256,64,128,4,16,4,3.2,18.295022333333332
48,77.223926,34.478548,0.000326,98.08,3.749060962,11.500187,5,256,512,2048,8,1,2,3.5,18.295022333333332
49,17.974805,3.710922,0.000413,736.61,28.141438388,68.139076,14,4096,1024,512,8,8,8,3.9,18.295022333333332
50,19.980159,28.612358,0.00126,38.807,5.44393773,4.3205855,2,512,8,256,4,16,8,2.7,18.295022333333332
51,0.0,0.0,0.0,0.0,0.0,0.0,2,4,128,2048,8,8,2,3.7,18.295022333333332
52,50.817434,13.56324,0.000413,438.09,16.837597826,40.769002,14,32,1024,16384,1,2,8,3.2,18.295022333333332
