Unnamed: 0,reward,core,l1i_size,l1d_size,l2_size,l1i_assoc,l1d_assoc,l2_assoc,clock_rate,latency,Area,power
0,24.449877750611247,6,1024,128,2048,2,8,8,2.1,0.000409,123.58,15.062406
1,24.213075060532685,14,128,256,8192,8,4,2,2.2,0.000413,265.52,29.890334
2,22.271714922049,3,256,512,64,8,8,2,2.8,0.000449,55.616,6.78866
3,22.271714922049,3,8,32,4096,8,2,8,3.6,0.000449,79.714,7.338088
4,0.0,12,32,2,256,4,2,2,3.0,10000.0,10000.0,10000.0
5,31.54574132492113,8,512,4,64,2,2,2,3.3,0.000317,112.08,15.670522
6,31.347962382445143,11,32,1024,16384,4,4,8,3.4,0.000319,347.86,32.247885000000004
7,22.779043280182236,7,4,128,128,2,2,4,3.5,0.000439,79.858,11.903049
8,31.54574132492113,8,16,512,2048,8,8,2,2.3,0.000317,150.5,17.250792999999998
9,35.46099290780141,10,128,2048,256,2,2,8,3.8,0.000282,272.24,29.859278
10,2.485707183693761,4,32,16,8192,8,8,2,2.6,0.004023,122.17,10.403742
11,22.779043280182236,7,32,8,512,2,8,4,3.5,0.000439,91.574,12.071682
12,24.449877750611247,6,8,8,8192,2,2,4,2.0,0.000409,133.33,13.526784
13,2.482005460412013,4,1024,2048,1024,2,8,2,3.5,0.004029,143.41,14.61787
14,26.32378531342856,10,1024,2048,16384,2,8,8,3.2,0.000282,464.26,42.62395
15,28.98550724637681,12,128,128,4096,2,2,2,3.1,0.000345,174.25,22.907775
16,0.0,10,4,4,8192,8,8,2,3.1,10000.0,10000.0,10000.0
17,28.98550724637681,12,2048,16,4096,8,8,4,2.0,0.000345,357.62,38.000985
18,8.116883116883116,1,2048,16,16384,8,8,4,3.8,0.001232,157.75,10.333694
19,28.98550724637681,12,128,64,4096,4,8,2,2.2,0.000345,192.17,23.384315
20,33.898305084745765,9,128,4,1024,4,2,8,3.7,0.000295,108.88,15.710647
21,14.384277337002803,15,2048,1024,2048,8,2,2,2.6,0.000446,499.4,53.981206
22,28.98550724637681,12,512,1024,4096,2,4,8,3.2,0.000345,319.6,33.437128
23,31.54574132492113,8,128,2048,8192,4,4,4,3.2,0.000317,286.39,27.472607
24,22.779043280182236,7,8,256,64,8,4,2,2.4,0.000439,98.552,12.841326
25,26.45502645502645,13,16,32,128,4,2,8,2.0,0.000378,142.28,21.613848
26,0.0,7,2,512,16384,8,8,2,2.7,10000.0,10000.0,10000.0
27,0.0,10,4,512,8192,8,8,8,3.2,10000.0,10000.0,10000.0
28,0.0,9,2,16,2048,8,8,4,3.1,10000.0,10000.0,10000.0
29,35.46099290780141,10,1024,64,128,8,2,4,2.2,0.000282,208.58,23.798821
30,22.271714922049,3,128,4,8192,2,4,4,3.3,0.000449,104.45,8.845175000000001
31,20.48302991533077,15,256,2048,512,4,2,2,3.9,0.000446,418.5,45.766074
32,2.484472049689441,4,32,32,4096,4,8,2,2.9,0.004025,84.952,8.657186
33,28.98550724637681,12,256,128,256,4,2,4,2.0,0.000345,154.58,22.343781
34,24.449877750611247,6,128,32,128,2,4,8,3.9,0.000409,70.669,10.361154
35,31.347962382445143,11,4,32,512,4,4,4,3.1,0.000319,124.39,18.251057
36,40.0,9,64,512,8192,2,4,8,2.8,0.00025,189.12,21.5167
37,30.674846625766868,5,32,64,512,8,8,4,3.2,0.000326,78.365,9.31943
38,24.449877750611247,6,64,8,8192,4,4,4,3.7,0.000409,136.9,13.625025
39,40.0,9,512,32,2048,8,4,2,3.1,0.00025,164.0,19.303321
40,31.446540880503147,8,16,8,2048,4,2,4,2.7,0.000318,100.96,13.947919
41,26.385224274406333,13,128,64,4096,2,2,8,3.7,0.000379,188.99,24.486103
42,30.674846625766868,5,1024,256,4096,2,8,4,2.9,0.000326,129.61,14.017972
43,0.0,7,2,512,64,2,4,2,2.0,10000.0,10000.0,10000.0
44,15.57632398753894,2,1024,256,16384,2,2,4,2.1,0.000642,170.6,12.186751
45,30.674846625766868,5,1024,512,1024,2,2,8,2.4,0.000326,119.2,13.786411
46,0.0,12,4,128,8192,2,8,4,3.9,10000.0,10000.0,10000.0
47,2.481389578163772,4,512,32,1024,4,4,8,3.5,0.00403,67.37,8.4637983
48,30.674846625766868,5,2,32,512,8,2,2,2.6,0.000326,67.011,8.767416
49,22.779043280182236,7,512,64,512,2,2,8,3.7,0.000439,105.38,14.165713
50,24.449877750611247,6,1024,64,2048,2,8,8,2.2,0.000409,121.47,14.813169
51,24.213075060532685,14,64,128,8192,8,4,2,2.3,0.000413,251.32,28.37344
52,22.271714922049,3,256,512,64,8,4,2,2.8,0.000449,50.864,6.535207000000001
53,2.481389578163772,4,16,16,4096,8,2,8,3.6,0.00403,92.015,8.929589400000001
54,0.0,11,32,2,256,4,2,2,3.0,10000.0,10000.0,10000.0
55,31.54574132492113,8,512,8,64,2,2,2,3.3,0.000317,112.2,15.688219
56,35.46099290780141,10,32,512,16384,4,4,8,3.4,0.000282,284.93,27.096276
57,24.449877750611247,6,4,128,128,2,4,4,3.5,0.000409,69.884,10.255846
58,22.779043280182236,7,32,512,2048,8,8,2,2.4,0.000439,134.24,15.199206
59,35.46099290780141,10,128,2048,256,2,2,4,3.7,0.000282,271.71,29.819156
60,2.485707183693761,4,64,16,4096,8,8,2,2.7,0.004023,92.449,8.908748
61,24.449877750611247,6,32,8,512,2,8,4,3.5,0.000409,79.304,10.451219
62,22.02643171806168,7,8,8,8192,2,2,4,2.1,0.000454,143.66,15.350283
63,2.481389578163772,4,1024,1024,512,2,8,2,3.5,0.00403,108.52,11.730079
64,40.0,9,2048,1024,8192,2,8,8,3.1,0.00025,360.03,35.708466
65,28.98550724637681,12,128,128,4096,2,2,2,3.1,0.000345,174.25,22.907775
66,0.0,10,4,4,4096,8,8,2,3.2,10000.0,10000.0,10000.0
67,28.98550724637681,12,2048,16,2048,8,8,4,2.1,0.000345,338.12,37.033557
68,8.116883116883116,1,1024,16,16384,8,8,4,3.7,0.001232,150.1,9.58053
69,28.98550724637681,12,128,64,4096,4,8,2,2.3,0.000345,192.17,23.356218
70,33.898305084745765,9,128,8,1024,4,2,8,3.6,0.000295,109.04,15.736517
71,17.74177047742352,14,2048,1024,2048,8,2,2,2.7,0.000413,467.29,50.440177
72,31.347962382445143,11,256,1024,4096,2,4,8,3.2,0.000319,267.83,28.575885
73,31.54574132492113,8,128,2048,8192,4,4,4,3.2,0.000317,286.39,27.472607
74,22.779043280182236,7,16,256,64,8,4,2,2.4,0.000439,98.871,12.868338
75,28.98550724637681,12,16,64,128,4,4,8,2.1,0.000345,135.54,20.233244
76,0.0,8,4,512,16384,8,8,2,2.7,10000.0,10000.0,10000.0
77,0.0,9,4,512,8192,8,8,8,3.1,10000.0,10000.0,10000.0
78,0.0,8,4,16,2048,8,8,4,3.1,10000.0,10000.0,10000.0
79,35.46099290780141,10,512,32,128,8,2,4,2.2,0.000282,161.88,20.523195
80,22.271714922049,3,128,4,8192,2,2,4,3.2,0.000449,104.14,8.823925
81,24.213075060532685,14,128,2048,512,4,2,2,3.8,0.000413,379.7,41.707847
82,2.484472049689441,4,32,64,4096,4,8,2,2.9,0.004025,85.531,8.728443
83,28.98550724637681,12,256,128,256,4,2,4,2.1,0.000345,154.58,22.317311
84,22.779043280182236,7,64,32,256,2,4,8,3.8,0.000439,80.569,11.844955
85,35.46099290780141,10,4,32,512,4,4,4,3.1,0.000282,113.61,16.630088
86,40.0,9,64,512,4096,2,4,8,2.8,0.00025,173.04,20.136449
87,30.76923076923077,5,32,64,1024,8,8,4,3.3,0.000325,84.112,9.533198
88,24.449877750611247,6,64,4,8192,4,4,4,3.7,0.000409,136.79,13.613769
89,40.0,9,512,32,1024,8,4,2,3.1,0.00025,159.74,18.925818
90,31.446540880503147,8,16,8,2048,4,2,4,2.7,0.000318,100.96,13.947919
91,26.385224274406333,13,128,64,4096,2,2,8,3.7,0.000379,188.99,24.486103
92,30.674846625766868,5,1024,256,4096,2,8,4,2.9,0.000326,129.61,14.017972
93,24.449877750611247,6,4,512,64,2,4,2,2.1,0.000409,87.6,11.915695
94,15.57632398753894,2,1024,128,8192,2,2,4,2.2,0.000642,109.32,8.675605000000001
95,30.674846625766868,5,512,512,1024,2,2,8,2.5,0.000326,96.584,12.167846
96,0.0,11,4,64,8192,2,8,4,3.8,10000.0,10000.0,10000.0
97,30.674846625766868,5,512,32,1024,4,4,8,3.6,0.000326,82.027,10.555254
98,30.674846625766868,5,4,16,512,8,2,2,2.6,0.000326,66.68,8.713047
99,22.779043280182236,7,512,64,512,2,4,8,3.6,0.000439,109.37,14.272388
100,24.449877750611247,6,512,64,2048,2,8,8,2.3,0.000409,105.39,13.072316
