reward,core,l1i_size,l1d_size,l2_size,l1i_assoc,l1d_assoc,l2_assoc,clock_rate,latency,Area,energy,power
3.7276719658794386,16,8,512,256,4,1,1,3.7,0.000473,238.15,14.864229809000001,31.425433
0,8,4,2048,16384,4,16,1,2.5,0,0,0,0
8.13678805034809,12,512,4,2048,1,8,4,2.1,0.000345,188.74,8.51390655,24.67799
0.43609328813968845,16,4,512,65536,2,1,8,3.1,0.000471,697.75,27.083941731,57.503061
14.854870279295659,5,2048,128,2048,2,4,8,3.5,0.000326,143.7,5.233399924,16.053374
0.053977817710015544,2,256,32,65536,1,8,16,3.4,0.001256,1214.5,68.27309912799998,54.357563
0.4171672270033228,11,256,4096,32768,1,16,4,2.2,0.000319,825.93,20.088534697,62.973463
7.936507936507937,2,4,2048,64,8,2,2,2.3,0.00126,54.4,7.766628659999999,6.163990999999999
0.6994314985702433,16,4,1024,32768,2,4,4,3.3,0.000473,549.79,23.394311809,49.459433
2.3649201846687573,3,16,32,32768,16,8,8,3.0,0.000449,306.88,8.623423058,19.205842
7.936507936507937,2,1024,2048,2048,1,16,16,2.6,0.00126,87.224,11.24578476,8.925225999999999
0,9,1024,8,1024,16,2,1,3.3,0,0,0,0
0.7312954222903539,12,32,4096,128,1,16,8,2.5,0.000345,629.57,18.101800169999997,52.468986
7.936507936507937,2,64,8,64,8,4,1,2.3,0.00126,26.611,4.61189862,3.660237
3.507766019738717,14,1024,64,2048,4,8,4,2.7,0.000413,262.73,13.592168246999998,32.910819
3.907460044215544,16,64,8,1024,8,8,8,2.3,0.000471,233.1,13.583073858,28.838798
6.3676019289362875,13,4,512,1024,8,1,2,3.2,0.000379,203.56,9.818395602999999,25.906057
4.422837409420289,12,512,512,4096,4,8,16,3.5,0.000345,256.0,10.30033932,29.856056000000002
0,5,4,64,8192,16,8,8,2.9,0,0,0,0
2.3310717909645944,3,4096,4096,8192,2,1,2,2.1,0.000449,309.1,11.04226149,24.59301
4.911008793814287,8,128,256,16384,16,2,1,3.8,0.000319,252.65,7.220136902,22.633658
0,5,4,64,8192,4,16,1,2.9,0,0,0,0
0,8,4,16,16384,4,16,1,3.9,0,0,0,0
0,9,1024,8,512,16,2,8,3.6,0,0,0,0
5.2811873053338685,9,1024,64,8192,16,2,1,2.4,0.00025,275.21,6.40129025,25.605161
1.5279487550896165,8,4096,16,16384,4,16,1,3.9,0.000319,452.95,12.903107547000001,40.448613
2.1524300552180096,4,16,2048,512,16,2,8,3.6,0.00403,107.37,47.920042885,11.8908295
7.297942078511616,15,32,128,512,4,2,8,2.0,0.000446,175.28,11.606564402,26.023687000000002
0,1,8,16,256,16,16,16,2.8,0,0,0,0
0,1,8,16,256,4,16,16,2.8,0,0,0,0
0,1,8,16,256,4,16,16,2.8,0,0,0,0
0,10,8,4,256,4,16,16,2.9,0,0,0,0
3.8984163273110846,10,2048,4,8192,4,16,16,3.7,0.000282,301.6,9.372949620000002,33.237410000000004
6.418751578554471,6,128,2048,4096,4,1,1,3.1,0.000409,195.17,8.085798711,19.769679
6.075150368233818,10,8,4,16384,4,4,16,2.5,0.000282,241.6,6.861943506,24.333133
0,9,1024,8,1024,16,2,2,3.3,0,0,0,0
10.19321526587603,7,512,64,1024,16,8,2,2.9,0.000439,149.49,6.726545013999999,15.322426
