,reward,core,l1i_size,l1d_size,l2_size,l1i_assoc,l1d_assoc,l2_assoc,clock_rate,latency,Area,energy,power
0,8.116883,1.0,16.0,128.0,8192.0,2.0,1.0,16.0,3.7,0.00126,82.185,9.32794632,7.403132
1,0.199188,8.0,2048.0,4096.0,32768.0,16.0,4.0,16.0,3.5,0.001232,73.02,7.20620824,5.849195
2,0.0,12.0,32.0,256.0,128.0,16.0,1.0,16.0,2.0,0.000317,1022.5,23.409183268,73.846004
3,30.674847,5.0,32.0,4.0,64.0,4.0,1.0,4.0,3.2,0.0,0.0,0.0,0.0
4,0.611494,14.0,4096.0,8.0,4096.0,4.0,16.0,2.0,2.4,0.000326,55.192,2.697774206,8.275381
5,0.756976,3.0,2048.0,128.0,65536.0,16.0,16.0,4.0,3.9,0.000413,623.5,25.008859820000005,60.55414
6,0.0,7.0,512.0,4096.0,16384.0,4.0,4.0,2.0,2.7,0.000449,542.42,16.119633412,35.901188
7,1.326745,14.0,2048.0,128.0,2048.0,16.0,16.0,16.0,2.3,0.0,0.0,0.0,0.0
8,12.697888,13.0,16.0,4.0,512.0,4.0,1.0,16.0,3.1,0.000413,427.2,18.578540680000003,44.98436
9,0.833363,5.0,4.0,8.0,32768.0,8.0,1.0,16.0,3.8,0.000379,144.15,8.175023178,21.569982
10,1.059632,11.0,4096.0,256.0,2048.0,8.0,8.0,4.0,3.7,0.000326,606.7,12.608521396,38.676446
11,5.497375,13.0,8.0,512.0,2048.0,2.0,8.0,1.0,3.7,0.000319,543.91,15.816886084999998,49.582715
12,2.484472,4.0,32.0,1024.0,2048.0,16.0,4.0,4.0,2.9,0.000379,219.08,10.227590533,26.985727
13,0.249372,13.0,128.0,2048.0,32768.0,4.0,1.0,16.0,3.2,0.004025,99.079,41.294531775,10.259511
14,0.222236,4.0,4096.0,4096.0,256.0,8.0,4.0,4.0,2.9,0.00038,895.06,26.167788,68.8626
15,1.028115,16.0,256.0,128.0,32768.0,2.0,4.0,8.0,3.7,0.004023,334.44,110.400336693,27.442291
16,21.163162,8.0,64.0,8.0,4096.0,4.0,4.0,2.0,2.9,0.000473,453.47,20.172832735000004,42.648695
17,7.936508,2.0,2048.0,128.0,128.0,4.0,1.0,4.0,2.2,0.000317,122.09,4.7865291370000005,15.099461
18,1.952228,16.0,16.0,16.0,16384.0,4.0,8.0,4.0,2.7,0.00126,53.525,8.11690362,6.441987
19,5.646662,7.0,1024.0,256.0,4096.0,16.0,2.0,16.0,3.5,0.000471,329.78,16.071691377000004,34.12248700000001
20,8.237593,13.0,256.0,32.0,64.0,4.0,8.0,1.0,3.5,0.000439,200.85,8.699377211,19.816349
21,0.390866,2.0,64.0,32.0,65536.0,16.0,8.0,1.0,3.8,0.000379,178.97,9.027357415,23.818885
22,2.086084,8.0,32.0,4096.0,128.0,4.0,1.0,1.0,3.2,0.00126,450.61,38.59110108000001,30.627858000000003
23,0.0,13.0,64.0,4.0,128.0,8.0,2.0,8.0,2.7,0.000317,388.87,10.751372634000004,33.916002000000006
24,22.271715,3.0,64.0,64.0,256.0,8.0,4.0,4.0,2.8,0.0,0.0,0.0,0.0
25,22.271715,3.0,256.0,2048.0,1024.0,8.0,8.0,2.0,2.4,0.000449,42.945,2.479320528,5.521872
26,22.47191,7.0,64.0,64.0,64.0,2.0,1.0,4.0,2.3,0.000449,99.07,4.591571433,10.226217
27,1.715862,8.0,128.0,4096.0,8192.0,16.0,4.0,16.0,2.6,0.000445,79.045,5.312967585,11.939253
28,4.650573,6.0,512.0,512.0,16384.0,8.0,4.0,1.0,3.2,0.000318,428.1,12.074435196,37.969922
29,2.486325,4.0,32.0,1024.0,1024.0,4.0,2.0,2.0,2.7,0.000409,229.29,8.552875075000001,20.911675
30,24.393555,8.0,64.0,256.0,128.0,8.0,2.0,1.0,2.4,0.004022,88.408,38.74843064000001,9.63412
31,0.679213,8.0,128.0,2048.0,65536.0,16.0,4.0,8.0,2.1,0.000318,113.54,4.74109221,14.909095
32,14.187756,7.0,8.0,128.0,2048.0,16.0,1.0,1.0,2.7,0.000318,680.43,15.980117237999997,50.251941
33,3.187037,15.0,512.0,128.0,1024.0,8.0,4.0,4.0,3.3,0.000439,126.71,6.043169956999999,13.765763
34,0.297755,14.0,4096.0,1024.0,2048.0,16.0,2.0,16.0,3.6,0.000446,265.24,14.197661612,31.833322
35,2.286473,3.0,2048.0,128.0,32768.0,2.0,4.0,2.0,2.3,0.000413,775.51,28.814400825,69.768525
36,5.12165,11.0,256.0,32.0,8192.0,16.0,2.0,16.0,2.3,0.000449,312.1,9.949050658,22.158242
37,22.271715,3.0,64.0,256.0,256.0,2.0,1.0,4.0,2.2,0.000319,247.4,8.0442868,25.2172
38,5.604523,13.0,8.0,128.0,8192.0,2.0,4.0,4.0,3.0,0.000449,40.466,2.543569285,5.664965
39,0.677267,12.0,32.0,128.0,65536.0,8.0,16.0,2.0,3.2,0.00038,216.69,9.76005946,25.684367
40,7.936508,2.0,512.0,16.0,256.0,16.0,1.0,1.0,2.4,0.000345,654.2,16.903039364999998,48.994317
41,22.271715,3.0,512.0,512.0,256.0,1.0,1.0,1.0,3.0,0.00126,41.578,5.86699092,4.656342
42,26.588447,5.0,4.0,512.0,4096.0,2.0,4.0,4.0,2.9,0.000449,60.098,3.271223624,7.285576
43,4.529554,10.0,2048.0,32.0,1024.0,8.0,2.0,4.0,2.0,0.000326,107.41,3.813550934,11.698009
44,0.43213,15.0,128.0,128.0,65536.0,16.0,1.0,8.0,2.2,0.000282,279.8,8.660114814000002,30.709627
45,22.271715,3.0,2048.0,128.0,2048.0,4.0,2.0,16.0,3.6,0.000446,720.32,24.4337086,54.7841
46,0.0,14.0,64.0,4.0,512.0,8.0,16.0,16.0,3.7,0.000449,93.644,4.678910913,10.420737
47,7.936508,2.0,64.0,32.0,4096.0,1.0,8.0,1.0,3.2,0.0,0.0,0.0,0.0
48,8.116883,1.0,2048.0,512.0,4096.0,16.0,1.0,8.0,3.0,0.00126,59.408,7.03036782,5.579657
49,2.94779,5.0,4096.0,128.0,8192.0,16.0,4.0,4.0,3.6,0.001232,74.193,7.379523536,5.989872999999999
50,20.607301,3.0,32.0,2048.0,1024.0,8.0,16.0,4.0,3.1,0.000325,323.08,8.4756542,26.078936
51,18.458038,7.0,128.0,512.0,256.0,1.0,1.0,2.0,2.4,0.000449,103.96,4.56101384,10.15816
52,1.098624,8.0,32.0,128.0,65536.0,4.0,4.0,2.0,2.4,0.000439,111.09,6.341447629,14.445211
53,0.090417,4.0,128.0,8.0,65536.0,8.0,1.0,8.0,3.7,0.000318,535.01,12.697030859999998,39.92777
54,22.271715,8.0,8.0,128.0,256.0,1.0,1.0,1.0,2.5,0.004028,524.0,134.18202294600002,33.3123195
55,0.666145,9.0,2048.0,1024.0,65536.0,2.0,4.0,8.0,3.2,0.000449,90.94,6.144987958000001,13.685942
56,1.328113,14.0,2048.0,128.0,256.0,16.0,8.0,2.0,3.1,0.00025,774.9,14.59230875,58.369235
57,0.102088,4.0,16.0,4.0,65536.0,4.0,8.0,2.0,3.1,0.000413,426.98,18.083213673,43.785021
58,2.219324,15.0,64.0,256.0,16384.0,2.0,2.0,16.0,2.8,0.004025,493.32,132.466304075,32.910883000000005
59,23.527841,11.0,16.0,4.0,256.0,1.0,1.0,1.0,3.9,0.000446,317.85,15.558512422000002,34.884557
60,15.050685,11.0,8.0,32.0,512.0,8.0,1.0,16.0,3.0,0.000318,115.61,5.68246284,17.86938
61,0.0,6.0,8.0,1024.0,64.0,2.0,16.0,8.0,3.6,0.000319,144.32,6.080564270000001,19.06133
62,1.851359,7.0,16.0,4096.0,2048.0,2.0,4.0,1.0,3.3,0.0,0.0,0.0,0.0
63,1.135261,7.0,4096.0,32.0,16384.0,1.0,8.0,16.0,2.5,0.000439,350.77,13.324737403,30.352477
64,21.978022,7.0,32.0,4.0,64.0,2.0,1.0,1.0,2.4,0.000439,447.94,16.589370561,37.788999
65,0.0,9.0,4.0,64.0,1024.0,4.0,16.0,8.0,3.1,0.000455,74.462,5.2546312,11.54864
66,5.600634,9.0,1024.0,128.0,1024.0,16.0,1.0,2.0,3.6,0.0,0.0,0.0,0.0
67,7.651362,2.0,256.0,256.0,16384.0,2.0,1.0,1.0,2.0,0.000295,246.02,7.034720155000001,23.846509
68,2.969615,2.0,512.0,4.0,16384.0,1.0,1.0,16.0,3.0,0.000642,142.68,7.055300088,10.989564
69,22.271715,3.0,4.0,256.0,1024.0,4.0,1.0,8.0,2.8,0.00126,163.48,16.579155600000004,13.15806
70,1.51531,9.0,128.0,128.0,65536.0,4.0,1.0,1.0,2.0,0.000449,44.083,2.6420731500000003,5.88435
71,2.376401,16.0,32.0,512.0,1024.0,16.0,4.0,4.0,3.8,0.000243,521.13,10.353191904,42.605728
72,5.296993,2.0,1024.0,32.0,8192.0,16.0,1.0,4.0,3.1,0.000473,298.27,15.721389057,33.237609
73,22.83105,7.0,64.0,32.0,512.0,1.0,1.0,1.0,2.3,0.001256,122.6,11.39054468,9.068905
74,1.412178,1.0,2048.0,4.0,32768.0,4.0,2.0,1.0,2.1,0.000438,79.47,5.2521587400000005,11.99123
75,8.130081,1.0,32.0,4096.0,512.0,4.0,8.0,1.0,2.1,0.00123,239.94,20.912820390000004,17.002293
76,0.0,7.0,64.0,4.0,64.0,8.0,4.0,8.0,2.9,0.00123,55.042,6.16042548,5.008476
77,1.509295,15.0,2048.0,32.0,1024.0,2.0,8.0,16.0,2.3,0.0,0.0,0.0,0.0
78,0.0,1.0,16.0,4.0,1024.0,8.0,1.0,2.0,2.1,0.000446,385.43,20.085167568,45.034008
79,1.672801,9.0,32.0,4096.0,512.0,1.0,8.0,2.0,3.9,0.0,0.0,0.0,0.0
80,2.580707,3.0,64.0,2048.0,32768.0,1.0,2.0,1.0,2.5,0.000295,450.16,11.37541771,38.560738
81,20.531103,8.0,256.0,8.0,2048.0,8.0,1.0,8.0,2.7,0.000449,293.77,10.086577562000002,22.464538
82,22.271715,3.0,2048.0,32.0,256.0,2.0,2.0,2.0,2.8,0.000318,123.76,4.920942516,15.474662
83,4.082,13.0,32.0,256.0,2048.0,8.0,16.0,16.0,3.1,0.000449,77.897,4.163547815000001,9.272935
84,22.779043,7.0,256.0,4.0,64.0,4.0,2.0,8.0,2.8,0.000379,254.24,10.161481563,26.811297
85,5.7136,7.0,4.0,1024.0,8192.0,4.0,4.0,2.0,3.0,0.000439,86.255,5.476438516999999,12.474803
86,0.0,2.0,128.0,512.0,64.0,2.0,4.0,16.0,3.3,0.000439,199.67,8.471978723,19.298357
87,2.112811,16.0,128.0,64.0,16384.0,4.0,1.0,16.0,3.0,0.0,0.0,0.0,0.0
88,9.105599,15.0,8.0,4.0,512.0,1.0,1.0,1.0,2.9,0.000471,317.0,16.705878276000004,35.468956000000006
89,12.877519,7.0,1024.0,4.0,512.0,1.0,2.0,4.0,2.5,0.000446,156.92,10.891435514,24.420259
90,24.449878,6.0,128.0,4.0,256.0,4.0,4.0,2.0,3.7,0.000439,133.0,7.076945595,16.120605
91,16.582587,12.0,64.0,8.0,256.0,2.0,4.0,2.0,3.9,0.000409,70.668,4.2062995590000005,10.284351
92,1.460005,16.0,512.0,256.0,1024.0,16.0,16.0,2.0,2.6,0.000345,132.21,6.859567725,19.882805
93,4.922824,7.0,16.0,2048.0,128.0,2.0,16.0,2.0,2.4,0.000471,381.34,17.795736951,37.782881
94,6.686215,3.0,64.0,64.0,16384.0,16.0,1.0,16.0,2.9,0.000439,215.11,9.386586494,21.381746
95,2.179966,11.0,64.0,128.0,32768.0,1.0,2.0,8.0,3.9,0.000449,182.51,6.082005381,13.545669
96,0.10595,2.0,4.0,16.0,65536.0,8.0,2.0,16.0,2.2,0.000319,379.21,10.3088997,32.3163
97,7.263524,7.0,512.0,256.0,8192.0,2.0,8.0,2.0,3.8,0.000642,1212.5,34.689403638,54.033339000000005
98,20.045693,7.0,64.0,64.0,2048.0,8.0,1.0,4.0,3.8,0.000439,177.09,7.938526556000001,18.083204
99,14.068086,12.0,4.0,256.0,64.0,1.0,1.0,1.0,3.5,0.000439,106.6,5.733418581,13.060179
100,0.922758,9.0,256.0,8.0,32768.0,8.0,2.0,16.0,2.0,0.000345,143.54,7.279328534999999,21.099503
101,10.915441,13.0,128.0,128.0,64.0,4.0,1.0,8.0,2.5,0.000243,667.81,11.388456954,46.866078
102,31.446541,8.0,8.0,4.0,256.0,4.0,1.0,1.0,2.4,0.00038,155.27,8.747818500000001,23.020575
103,4.525675,7.0,128.0,512.0,16384.0,8.0,1.0,1.0,2.8,0.000318,86.96,4.180309704,13.145628
104,2.117734,12.0,32.0,128.0,32768.0,4.0,1.0,2.0,3.3,0.000439,224.35,9.337457126,21.269834000000003
105,1.707582,14.0,2048.0,8.0,4096.0,1.0,1.0,1.0,2.9,0.000345,369.96,11.432093534999998,33.136503
106,5.935658,5.0,4096.0,4.0,256.0,2.0,1.0,16.0,2.8,0.000413,376.56,17.541532372000002,42.473444
107,0.0,15.0,16.0,128.0,128.0,2.0,8.0,16.0,2.3,0.000326,227.33,7.122404316,21.847866
108,17.432795,7.0,128.0,32.0,64.0,16.0,1.0,2.0,2.4,0.0,0.0,0.0,0.0
109,0.0,7.0,4096.0,4096.0,64.0,4.0,16.0,4.0,2.8,0.000439,114.31,5.676680904,12.930936
110,1.078745,11.0,128.0,4096.0,64.0,8.0,4.0,2.0,3.2,0.0,0.0,0.0,0.0
111,1.083463,15.0,512.0,2048.0,512.0,1.0,4.0,4.0,3.0,0.000319,539.07,15.070344739999998,47.24246
112,1.940924,14.0,16.0,2048.0,64.0,16.0,1.0,1.0,2.2,0.000446,454.91,21.758945358,48.786873
113,7.936508,2.0,8.0,256.0,64.0,4.0,1.0,1.0,3.6,0.000413,353.2,16.842771064,40.781528
114,8.130081,1.0,4.0,32.0,4096.0,4.0,1.0,1.0,2.2,0.00126,25.448,4.62871332,3.673582
115,16.861871,9.0,64.0,4.0,2048.0,4.0,16.0,2.0,3.9,0.00123,45.037,4.445495766,3.6142242
116,17.698093,7.0,16.0,128.0,64.0,16.0,1.0,8.0,3.5,0.00025,154.02,4.2625875,17.05035
117,2.125007,16.0,64.0,1024.0,256.0,2.0,4.0,2.0,3.7,0.000439,113.45,5.625395607,12.814113
118,3.28829,6.0,16.0,2048.0,16384.0,2.0,1.0,1.0,3.6,0.000473,315.42,17.311117461,36.598557
119,8.116883,1.0,128.0,256.0,1024.0,1.0,1.0,2.0,3.9,0.000409,272.68,9.989085937,24.423193
