,reward,core,l1i_size,l1d_size,l2_size,l1i_assoc,l1d_assoc,l2_assoc,clock_rate,latency,Area,energy,power
0,7.936508,2.0,2048.0,2048.0,64.0,8.0,8.0,4.0,3.9,0.0,0.0,0.0,0.0
1,31.347962,8.0,8.0,64.0,4096.0,8.0,2.0,2.0,3.5,0.00126,83.711,11.05451928,8.773428000000001
2,7.936508,2.0,512.0,128.0,64.0,16.0,2.0,8.0,2.4,0.000319,135.44,4.925530984,15.440536
3,3.671517,12.0,4.0,4096.0,32768.0,8.0,2.0,16.0,3.1,0.00126,41.313,5.92472412,4.702162
4,22.47191,7.0,128.0,1024.0,256.0,1.0,1.0,4.0,2.2,0.000345,1123.9,27.914720730000003,80.91223400000001
5,0.0,1.0,8.0,128.0,64.0,16.0,16.0,2.0,2.2,0.000445,159.15,7.74554807,17.405726
6,31.347962,11.0,16.0,32.0,8192.0,16.0,16.0,1.0,3.3,0.0,0.0,0.0,0.0
7,35.460993,10.0,64.0,256.0,1024.0,1.0,2.0,4.0,2.4,0.000319,279.1,7.847337795,24.599805
8,22.271715,3.0,4096.0,16.0,1024.0,4.0,8.0,16.0,3.4,0.000282,133.47,5.235465360000001,18.56548
9,8.595009,12.0,4096.0,2048.0,1024.0,4.0,8.0,8.0,2.8,0.000449,147.13,6.265852023000001,13.955127
10,8.130081,1.0,512.0,4.0,2048.0,1.0,8.0,16.0,2.2,0.000345,734.56,23.07969753,66.89767400000001
11,24.213075,14.0,32.0,16.0,64.0,2.0,2.0,4.0,3.1,0.00123,31.384,4.31729385,3.509995
12,26.315789,13.0,8.0,1024.0,256.0,8.0,1.0,1.0,2.9,0.000413,149.25,9.475793117000002,22.943809
13,0.0,7.0,32.0,8.0,65536.0,16.0,8.0,4.0,3.9,0.00038,234.19,11.12345272,29.272244
14,11.118877,10.0,2048.0,256.0,65536.0,8.0,16.0,2.0,3.9,0.0,0.0,0.0,0.0
15,8.130081,1.0,512.0,256.0,2048.0,1.0,1.0,4.0,2.8,0.000282,714.34,16.132678842,57.208081
16,29.069767,12.0,4.0,4.0,128.0,1.0,2.0,4.0,2.0,0.00123,32.438,3.974820030000001,3.231561
17,10.620159,16.0,2048.0,128.0,16384.0,8.0,1.0,4.0,3.4,0.000344,125.34,6.747826944000001,19.615776
18,22.271715,3.0,8.0,16.0,64.0,4.0,4.0,1.0,2.8,0.000473,564.37,26.118029806,55.217822
19,35.460993,10.0,16.0,32.0,256.0,16.0,4.0,2.0,2.6,0.000449,34.101,2.267357955,5.049795
20,24.449878,6.0,32.0,32.0,4096.0,1.0,1.0,16.0,2.1,0.000282,159.78,5.062522092,17.952206
21,21.141649,16.0,4.0,16.0,128.0,8.0,1.0,4.0,2.9,0.000409,92.403,4.966866552000001,12.143928
22,30.674847,5.0,512.0,256.0,32768.0,1.0,2.0,4.0,2.9,0.000473,199.42,12.703849609,26.858033
