,reward1,reward2,reward3,core,l1i_size,l1d_size,l2_size,l1i_assoc,l1d_assoc,l2_assoc,clock_rate,latency,Area,energy,power
0,19.980159,31.305628,49.050779,2.0,128.0,32.0,64.0,4.0,2.0,8.0,3.2,0.000449,409.62,12.991733731,28.934819
1,0.0,0.0,0.0,1.0,8.0,8.0,65536.0,16.0,1.0,4.0,3.4,0.00126,25.206,4.547530260000001,3.609151
2,72.971014,21.761156,6.489534,12.0,512.0,4.0,8192.0,2.0,1.0,4.0,3.3,0.0,0.0,0.0,0.0
3,100.7,29.937519,8.900249,9.0,256.0,512.0,2048.0,8.0,1.0,2.0,2.9,0.000345,243.62,9.411449925,27.279565
4,77.632371,20.30366,5.310138,8.0,1024.0,256.0,32768.0,2.0,8.0,8.0,3.7,0.00025,163.27,4.97266075,19.890643
5,0.0,0.0,0.0,4.0,32.0,4.0,32768.0,8.0,2.0,2.0,3.6,0.000317,404.57,10.330873719,32.589507000000005
6,56.446188,16.236463,4.670337,15.0,256.0,1024.0,2048.0,16.0,2.0,8.0,2.8,0.0,0.0,0.0,0.0
7,61.552567,20.533589,6.84989,6.0,16.0,4096.0,1024.0,2.0,4.0,4.0,2.5,0.000446,343.24,16.905872624,37.905544
8,78.918495,26.275351,8.748191,11.0,256.0,4.0,2048.0,1.0,4.0,4.0,3.4,0.000409,298.16,10.570382504,25.844456
9,12.029024,2.069507,0.356044,12.0,4096.0,4096.0,1024.0,2.0,2.0,8.0,2.8,0.000319,144.4,6.455403305999999,20.236374
10,45.867311,12.425944,3.366321,16.0,512.0,1024.0,8192.0,4.0,2.0,4.0,2.7,0.000345,985.19,28.277861864999995,81.964817
11,29.437575,6.382466,1.383805,13.0,4096.0,128.0,2048.0,2.0,2.0,16.0,2.9,0.000471,431.8,21.255488646000003,45.128426000000005
12,0.0,0.0,0.0,14.0,4.0,512.0,2048.0,16.0,8.0,2.0,2.0,0.00038,600.07,21.6010962,56.84499
13,21.802998,3.621885,0.601663,9.0,8.0,4096.0,65536.0,16.0,2.0,4.0,2.9,0.0,0.0,0.0,0.0
14,79.166667,28.388602,10.17995,8.0,128.0,512.0,2048.0,1.0,1.0,1.0,2.1,0.00025,859.64,15.9266535,63.706614
15,60.956416,19.752979,6.40097,14.0,512.0,16.0,256.0,1.0,2.0,2.0,2.3,0.000318,139.46,5.530092821999999,17.390228999999998
16,6.253105,12.632988,25.522103,4.0,32.0,16.0,256.0,1.0,1.0,16.0,3.0,0.000413,195.51,11.422344304,27.657008
17,17.917889,4.251551,1.008807,15.0,128.0,8.0,32768.0,1.0,1.0,16.0,2.5,0.004026,47.86,27.925970556,6.936406
18,79.166667,26.811878,9.080549,8.0,512.0,16.0,4096.0,16.0,16.0,4.0,2.4,0.000446,709.96,24.844490210000004,55.705135000000006
19,56.069042,31.358451,17.538242,3.0,1024.0,1024.0,1024.0,4.0,16.0,2.0,2.3,0.000318,208.93,6.199632918,19.495701
20,34.497192,7.026722,1.431271,10.0,512.0,128.0,65536.0,16.0,8.0,2.0,3.5,0.000449,96.18,4.532222613,10.094037
21,0.0,0.0,0.0,15.0,8.0,8.0,64.0,4.0,16.0,8.0,3.3,0.000282,643.47,13.478501892,47.796106
22,0.0,0.0,0.0,12.0,1024.0,1024.0,64.0,4.0,8.0,16.0,2.2,0.0,0.0,0.0,0.0
23,78.918495,22.026381,6.147627,11.0,256.0,512.0,8192.0,8.0,16.0,16.0,3.3,0.0,0.0,0.0,0.0
24,77.223926,24.960925,8.068067,5.0,4096.0,16.0,128.0,2.0,2.0,8.0,2.0,0.000319,286.93,9.186162612,28.796748
25,79.667722,30.9791,12.046342,8.0,16.0,8.0,1024.0,1.0,16.0,1.0,2.7,0.000326,224.72,7.153178716,21.942266
26,22.514905,5.656147,1.420925,16.0,4.0,32.0,65536.0,4.0,4.0,2.0,2.5,0.000316,124.94,4.643899975999999,14.695886
27,57.346241,24.275065,10.275805,7.0,128.0,1024.0,64.0,1.0,1.0,1.0,3.0,0.000471,616.31,24.718503429,52.480899
28,61.552567,32.407666,17.062762,6.0,16.0,64.0,64.0,8.0,1.0,4.0,2.8,0.000439,157.1,7.56309639,17.22801
29,35.406733,9.456077,2.525435,15.0,64.0,512.0,32768.0,16.0,2.0,2.0,2.1,0.000409,77.796,4.243507107,10.375323
30,20.46748,36.812728,66.211225,1.0,512.0,32.0,128.0,2.0,16.0,1.0,2.6,0.000446,505.05,19.611053512,43.970972
31,40.676728,8.900683,1.947604,12.0,4096.0,32.0,128.0,4.0,1.0,1.0,3.5,0.00123,19.254,3.2887014299999997,2.673741
32,19.980159,18.51569,17.158561,2.0,4096.0,256.0,2048.0,8.0,1.0,2.0,2.2,0.000345,535.75,17.48094852,50.669416
33,0.0,0.0,0.0,10.0,8.0,1024.0,32768.0,8.0,16.0,2.0,3.0,0.00126,111.52,12.99991896,10.317396
34,78.918495,26.840191,9.128353,11.0,128.0,128.0,64.0,4.0,2.0,8.0,3.7,0.0,0.0,0.0,0.0
35,0.0,0.0,0.0,11.0,256.0,4.0,16384.0,8.0,2.0,2.0,3.2,0.000319,131.96,6.1865599950000005,19.393605
36,72.971014,24.27986,8.078709,12.0,32.0,4.0,1024.0,2.0,16.0,2.0,2.8,0.0,0.0,0.0,0.0
37,13.622829,2.964501,0.645113,16.0,4096.0,32.0,256.0,16.0,1.0,8.0,2.3,0.000345,190.85,7.560109199999999,21.91336
38,79.166667,20.015599,5.060516,8.0,4096.0,4.0,2048.0,1.0,1.0,16.0,2.7,0.000471,792.32,32.9423523,69.9413
39,19.980159,30.677603,47.102496,2.0,256.0,64.0,64.0,4.0,1.0,4.0,3.4,0.000318,369.54,11.124570786,34.982927000000004
40,88.037539,20.041557,4.562418,9.0,32.0,1024.0,32768.0,4.0,2.0,8.0,3.0,0.00126,26.808,4.7356281,3.758435
41,100.7,27.603465,7.566547,9.0,1024.0,8.0,2048.0,8.0,1.0,16.0,2.3,0.00025,427.8,8.480751750000001,33.923007000000005
42,35.912981,22.393712,13.963707,4.0,2048.0,32.0,1024.0,8.0,2.0,16.0,2.9,0.00025,216.62,5.8491565,23.396626
43,89.27305,22.86881,5.858234,10.0,128.0,2048.0,1024.0,4.0,2.0,8.0,3.8,0.000701,119.75,8.887267484999999,12.677985
44,100.7,25.411208,6.412408,9.0,256.0,2048.0,128.0,8.0,1.0,2.0,3.4,0.000282,276.61,8.521838934000002,30.219287
45,0.0,0.0,0.0,5.0,8.0,4.0,65536.0,16.0,16.0,8.0,2.6,0.00025,251.16,6.9019182500000005,27.607673
46,53.224101,17.43533,5.711524,16.0,256.0,64.0,128.0,4.0,16.0,4.0,3.2,0.0,0.0,0.0,0.0
47,77.223926,34.478548,15.393808,5.0,256.0,512.0,2048.0,8.0,1.0,2.0,3.5,0.000473,264.54,14.660881433000002,30.995521
48,17.974805,3.710922,0.766125,14.0,4096.0,1024.0,512.0,8.0,8.0,8.0,3.9,0.000326,98.08,3.749060962,11.500187
49,19.980159,28.612358,40.973999,2.0,512.0,8.0,256.0,4.0,16.0,8.0,2.7,0.000413,736.61,28.141438388,68.139076
50,0.0,0.0,0.0,2.0,4.0,128.0,2048.0,8.0,8.0,2.0,3.7,0.00126,38.807,5.44393773,4.3205855
51,50.817434,13.56324,3.620047,14.0,32.0,1024.0,16384.0,1.0,2.0,8.0,3.2,0.0,0.0,0.0,0.0
52,19.980159,18.99926,18.066517,2.0,4096.0,32.0,1024.0,16.0,4.0,8.0,2.9,0.000413,438.09,16.837597826,40.769002
53,59.410529,12.368764,2.575071,10.0,4096.0,512.0,256.0,8.0,1.0,2.0,2.9,0.00126,108.7,12.346591320000002,9.798882
54,77.461538,24.500332,7.749217,5.0,128.0,4.0,32768.0,4.0,16.0,4.0,3.1,0.000282,490.33,12.901908054000002,45.751447
55,19.980159,17.779667,15.821524,2.0,512.0,8.0,16384.0,4.0,8.0,2.0,3.5,0.000325,319.5,7.4246588,22.845104
56,79.416404,32.557087,13.346914,8.0,32.0,16.0,256.0,4.0,1.0,2.0,2.9,0.00126,156.5,14.09850918,11.189293
57,77.223926,39.963344,20.681011,5.0,8.0,32.0,64.0,8.0,1.0,4.0,3.2,0.000317,88.294,4.204645205,13.263865
58,61.552567,28.034534,12.768519,6.0,256.0,32.0,4096.0,4.0,16.0,8.0,3.1,0.000326,64.338,2.790594882,8.560107
59,100.7,29.872312,8.861519,9.0,256.0,512.0,2048.0,8.0,1.0,2.0,2.3,0.000409,139.6,5.670661891,13.864699
