,reward,core,l1i_size,l1d_size,l2_size,l1i_assoc,l1d_assoc,l2_assoc,clock_rate,latency,Area,power
0,16.96160710433782,5,64,16,8192,4,8,4,2.0,0.000326,134.48,12.603759
1,20.87153162260871,8,128,32,256,8,8,8,3.8,0.000317,122.94,14.715198000000001
2,13.523966991729187,9,1024,32,256,4,2,8,2.9,0.00025,171.98,20.764716
3,7.936507936507937,2,512,512,4096,4,8,2,2.2,0.00126,72.413,6.752768
4,0.9521989685629743,12,8,2048,32768,4,4,2,3.9,0.000345,551.73,47.530331
5,1.9895167296296283,14,2048,8,128,2,2,4,2.0,0.000413,348.86,41.141455
6,10000.0,5,4,8,4096,4,8,4,2.0,10000.0,10000.0,10000.0
7,13.690494657869655,9,16,16,4096,8,8,8,2.5,0.000251,170.59,18.072292
8,7.756830609612272,13,4,128,2048,8,2,2,2.9,0.00038,184.19,23.5365
9,10000.0,11,2,16,8192,2,8,4,3.5,10000.0,10000.0,10000.0
10,8.130081300813009,1,1024,8,1024,4,4,8,2.5,0.00123,27.225,3.101661
11,22.271714922049,3,128,512,512,8,4,4,3.8,0.000449,52.481,6.444316
12,13.920065340423674,3,256,1024,8192,4,2,2,3.3,0.000449,126.49,10.6921
13,22.779043280182233,7,8,16,256,8,4,2,3.4,0.000439,91.23,11.902781000000001
14,10000.0,10,64,2,256,8,4,2,2.1,10000.0,10000.0,10000.0
15,13.618734642948276,5,2048,512,128,8,8,8,3.9,0.000326,150.08,16.660121999999998
16,9.25911205326628,8,16,1024,2048,2,8,4,2.4,0.000318,184.29,19.582828
17,10000.0,8,4,1024,4096,8,8,8,3.4,10000.0,10000.0,10000.0
18,2.331596687629492,2,2048,16,16384,4,8,8,3.3,0.001256,184.79,13.475729999999999
19,5.911670348886019,15,32,16,512,8,4,2,2.3,0.000446,194.75,25.763917
20,1.9629814799236471,14,2048,32,256,2,4,2,2.3,0.000413,351.21,41.295743
21,10000.0,11,4,2,128,4,8,8,2.6,10000.0,10000.0,10000.0
22,10000.0,2,32,4,4096,8,4,4,3.6,10000.0,10000.0,10000.0
23,5.176273635257056,14,4,512,2048,2,4,4,3.5,0.000413,216.28,28.159874
24,4.98967204468933,8,4,2048,4096,2,2,8,3.4,0.000317,251.44,25.364352
25,21.267550701974912,8,128,32,256,8,8,2,3.2,0.000317,121.79,14.691849
26,31.26996028795595,8,4,4,2048,4,2,2,3.1,0.000317,100.44,13.855846
27,21.220489322644493,10,64,64,64,2,8,2,3.1,0.000282,129.27,17.519884
28,10000.0,14,256,4,32768,8,2,2,2.3,10000.0,10000.0,10000.0
29,2.312646082636862,6,8,512,32768,8,2,2,2.6,0.000409,325.15,24.578037000000002
30,7.936507936507937,2,2048,1024,1024,2,2,8,2.4,0.00126,75.786,8.037817
31,11.738067374159117,9,256,256,8192,2,4,2,3.2,0.00025,184.6,20.563959
32,10000.0,14,2,256,16384,8,8,2,2.3,10000.0,10000.0,10000.0
33,10000.0,9,64,2,1024,8,4,4,2.0,10000.0,10000.0,10000.0
34,22.779043280182233,7,128,256,64,2,2,2,2.8,0.000439,89.705,12.908681999999999
35,10000.0,13,2,4,4096,4,8,2,3.0,10000.0,10000.0,10000.0
36,10000.0,7,32,2,128,4,4,4,3.4,10000.0,10000.0,10000.0
37,0.6950951758179732,13,2048,512,32768,8,4,2,3.7,0.000379,616.11,54.908547
38,4.157270189791406,11,128,16,16384,2,8,8,3.7,0.000319,274.6,26.504161
39,4.014219248106451,11,64,1024,8192,4,4,2,3.7,0.000319,279.45,28.510335
40,13.409177288512018,13,32,32,128,2,2,2,2.7,0.00038,140.09,21.495769000000003
41,1.7387751254751032,12,32,2048,8192,2,8,4,3.4,0.000345,408.29,39.323395000000005
42,1.2621909001678313,1,512,256,32768,8,4,2,3.0,0.001232,253.59,15.129359
43,7.936507936507937,2,4,2048,512,8,2,2,2.3,0.00126,57.206,6.335689
44,16.548809842300727,6,128,256,4096,2,8,4,3.5,0.000409,121.55,13.220798
45,11.894829840227196,11,64,256,1024,2,8,8,3.5,0.000319,162.34,20.906549
46,1.1612487746377311,15,256,2048,64,2,8,4,2.5,0.000446,439.41,46.622998
47,10000.0,6,128,2,512,4,8,2,3.2,10000.0,10000.0,10000.0
48,4.146749323142185,6,1024,32,16384,8,8,2,3.4,0.000409,242.82,20.98205
49,7.173598647205842,14,128,2,512,2,8,8,2.2,0.000413,183.72,24.906802
50,1.8990610269547212,4,64,16,8192,4,8,4,2.1,0.003546,121.86,10.603192
51,17.867254632085846,9,128,32,256,8,8,8,3.8,0.000295,137.74,16.559044
52,21.528043174447532,9,512,32,256,4,4,8,2.8,0.00025,136.31,18.148377
53,7.936507936507937,2,512,256,4096,4,8,4,2.3,0.00126,68.059,6.318282
