,reward,core,l1i_size,l1d_size,l2_size,l1i_assoc,l1d_assoc,l2_assoc,clock_rate,latency,Area,energy,power
0,2.0074847285457387,15,512,16,8192,16,2,8,3.8,0.000446,334.2,15.459778280000002,34.663180000000004
1,5.842658473801906,10,1024,512,256,8,16,16,3.0,0.000282,246.36,7.693950384000001,27.283512
2,8.116883116883116,1,64,4096,512,2,8,2,3.3,0.001232,54.483,5.918935791999999,4.8043309999999995
3,6.651627752046025,12,512,8,2048,8,4,16,3.2,0.000345,208.75,8.77582779,25.437182
4,-1.0,3,8,16,65536,4,16,16,3.9,10000.0,10000.0,10000.0,10000.0
5,-1.0,12,128,4,1024,8,2,16,3.0,10000.0,10000.0,10000.0,10000.0
6,3.013823441442026,9,2048,1024,8192,4,16,4,2.1,0.00025,364.31,9.014969250000002,36.059877
7,11.531169590133281,11,128,256,512,2,8,16,2.4,0.000319,164.88,6.846935612000001,21.463748000000002
8,-1.0,12,8,4,64,2,16,2,3.5,10000.0,10000.0,10000.0,10000.0
9,1.1015796151139479,8,4,4,65536,2,2,4,3.6,0.000315,536.83,12.341849310000002,39.180474000000004
10,6.005663374289761,15,16,32,512,4,8,4,4.0,0.000446,193.22,11.412994603999998,25.589674
11,0.696062497501562,4,4096,16,256,8,2,4,2.5,0.004024,188.95,69.25171208,17.20967
12,17.030678109829076,7,256,32,2048,8,4,2,2.0,0.000455,113.6,6.30239246,13.851412
13,-1.0,8,32,2,8192,4,8,4,2.6,10000.0,10000.0,10000.0,10000.0
14,1.663558571391272,14,2048,256,128,8,16,2,3.7,0.000413,381.51,17.924644801000003,43.401077
15,-1.0,15,64,4,1024,8,8,8,2.1,10000.0,10000.0,10000.0,10000.0
16,-1.0,3,2,128,8192,4,16,16,3.9,10000.0,10000.0,10000.0,10000.0
17,22.271714922049,3,1024,256,4096,4,2,16,2.3,0.000449,89.331,4.351740328,9.692072
18,4.741849502330756,16,64,16,4096,4,4,4,2.6,0.000471,211.6,13.387991780999998,28.424611
19,2.7993673910067765,14,128,1024,2048,2,4,8,2.4,0.000413,294.1,13.857569068,33.553436
20,-1.0,9,4,4096,65536,16,8,16,2.1,10000.0,10000.0,10000.0,10000.0
21,4.642565386499359,8,64,256,16384,8,8,16,3.1,0.000318,260.26,7.3869320279999995,23.229346
22,-1.0,16,8,4,1024,8,8,8,3.0,10000.0,10000.0,10000.0,10000.0
23,-1.0,1,64,2,128,16,8,4,2.8,10000.0,10000.0,10000.0,10000.0
24,3.8176170194436514,13,8,32,8192,16,2,16,2.7,0.00038,262.55,10.27862798,27.049021
25,-1.0,12,64,4,512,16,2,16,3.8,10000.0,10000.0,10000.0,10000.0
26,0.14748773973456825,4,4096,16,32768,4,16,4,3.1,0.004025,410.43,121.215889725,30.115749
27,15.20451754679172,7,32,256,512,2,16,8,3.7,0.000439,122.4,5.992516381000001,13.650379000000001
28,22.271714922049,3,4,128,64,4,4,4,2.0,0.000449,36.251,2.389755804,5.322396
29,5.101117030813113,13,128,16,8192,8,2,8,3.6,0.000379,227.43,9.944970612,26.240028
30,7.936507936507937,2,2048,256,4096,16,2,2,2.4,0.00126,96.393,10.917311580000002,8.664533
