,reward,core,l1i_size,l1d_size,l2_size,l1i_assoc,l1d_assoc,l2_assoc,clock_rate,latency,Area,energy,power
0,0.32198563830508536,16,1024,8,65536,2,16,4,2.6,0.000471,765.28,29.986314381,63.665211
1,22.271714922049,3,128,16,64,4,8,4,3.2,0.000449,41.17,2.479582744,5.522456
2,16.613091605939424,10,32,256,1024,8,2,8,2.7,0.000282,146.1,5.317105206000001,18.854983
3,0.65387189482486,15,16,128,65536,4,4,1,3.3,0.000446,585.58,23.191508953999996,51.998898999999994
4,2.1527096934901246,9,4096,128,128,16,16,8,2.5,0.000251,430.2,10.008562249999999,39.87475
5,4.955035125311811,5,256,2048,16384,16,1,1,2.0,0.000326,248.81,7.339972803999999,22.515254
6,20.19171614491905,11,4,128,64,1,4,1,2.9,0.000319,124.6,5.952338391999999,18.659367999999997
7,1.280817002424599,7,128,2048,32768,1,1,2,2.7,0.000439,421.72,14.724152190000002,33.54021
8,0.0,10,8,4096,64,2,1,16,3.1,0.0,0.0,0.0,0.0
9,0.0,4,4,128,1024,4,8,1,2.3,0.0,0.0,0.0,0.0
10,2.090169979960124,11,2048,1024,512,16,8,2,2.3,0.000319,387.27,12.887112886999999,40.398472999999996
11,0.7580176372868586,11,4,32,65536,16,2,8,2.7,0.000319,643.08,14.630030634999999,45.862165
12,1.9630737766202215,11,512,8,32768,2,4,4,2.6,0.000319,399.61,11.233907828,35.216012
13,1.6427794127539554,16,1024,4,8192,4,4,1,3.2,0.000473,358.74,18.78309015,39.710550000000005
14,6.0231155429462975,14,16,256,512,4,8,16,3.0,0.000413,200.5,10.768646252,26.074204
15,0.6181770433553603,13,64,512,65536,8,2,4,2.5,0.000381,651.6,19.867076598,52.144558
16,0.0,15,8,32,4096,4,16,16,2.8,0.0,0.0,0.0,0.0
17,12.295966360993583,11,32,128,2048,8,1,16,3.8,0.000319,159.67,6.525846162,20.457197999999998
18,5.346957117711899,14,64,8,2048,8,8,2,3.4,0.000413,212.8,10.525992232,25.486664
19,0.0,5,8,1024,8192,4,16,4,2.8,0.0,0.0,0.0,0.0
20,9.114964014915618,6,64,32,8192,4,16,4,2.4,0.000409,163.78,6.050251519000001,14.792791000000001
21,22.271714922049,3,8,32,4096,1,8,1,2.0,0.000449,70.136,3.2670762110000005,7.276339
22,1.8727135972554334,8,4096,128,1024,16,1,16,3.9,0.000318,409.78,11.437135847999999,35.965836
23,4.437467167029557,5,4096,512,128,16,8,4,2.0,0.000326,262.92,7.9054739199999995,24.24992
24,0.2914299785958253,15,4096,64,16384,4,16,1,3.0,0.000446,750.76,31.264424721999994,70.09960699999999
25,0.0,10,1024,4096,64,16,4,16,2.3,0.0,0.0,0.0,0.0
26,11.602837412538076,11,4,512,64,1,2,1,2.4,0.000319,164.37,6.938668528000001,21.751312000000002
27,2.2241575061514745,2,2048,64,16384,8,2,16,3.4,0.00126,188.9,17.949907080000003,14.245958000000002
28,0.9660595249957346,16,2048,16,128,16,1,2,2.7,0.000471,468.8,22.857968649,48.530719
29,12.693475416007164,11,512,8,256,4,2,1,3.0,0.000319,157.15,6.917660464000001,21.685456000000002
30,1.2431544406848545,11,4096,4,2048,2,1,8,2.4,0.000319,502.16,15.119164819,47.395501
31,23.24474242861208,9,64,32,4096,2,1,1,2.8,0.00025,131.18,4.22865,16.9146
32,4.2121399471421235,7,512,2048,128,8,16,2,2.7,0.000439,232.55,10.302663159000002,23.468481
33,1.5049280648889163,6,4096,4,16384,1,4,8,3.1,0.000409,403.07,13.439706462000002,32.859918
34,4.979300741834025,9,128,2048,128,2,16,4,2.2,0.00025,283.43,7.11192175,28.447687
35,1.253425653988754,5,64,32,65536,16,4,1,3.3,0.000326,494.7,11.635514412000001,35.691762000000004
36,1.8975395042282384,4,8,2048,256,8,8,1,3.7,0.004031,114.34,48.3260905379,11.9886109
37,0.0,9,8,16,128,2,2,16,2.2,0.0,0.0,0.0,0.0
38,1.3946356832892042,12,1024,16,32768,2,2,2,2.2,0.000345,455.89,13.83825291,40.110878
39,5.200421244548694,7,32,1024,8192,2,8,16,3.9,0.000439,209.29,8.929686708,20.340972
40,3.0255510336633376,13,64,1024,8192,8,4,8,3.7,0.000379,295.31,12.540447508,33.088252
