reward,core,l1i_size,l1d_size,l2_size,l1i_assoc,l1d_assoc,l2_assoc,clock_rate,latency,Area,energy,power
59.1715976331361,1,16,4,8192,1,2,8,2.7,0.000169,68.667,0.8978895302,5.3129558
17.064846416382252,15,128,32,8192,16,1,8,3.1,0.000586,298.84,18.142796158,30.960403
0,10,4,16,1024,2,8,2,2.0,0,0,0,0
0,13,2048,1024,64,1,2,16,2.5,0,0,0,0
10.309505360084183,6,16,4096,32768,16,8,16,3.2,0.000226,828.68,12.656615849999998,56.002725
6.097097803359522,14,8,256,32768,2,2,16,2.5,0.000515,713.83,28.362692850000006,55.073190000000004
2.5469382847567794,9,1024,32,65536,2,1,16,2.9,0.000333,1373.5,24.038587683,72.187951
17.064846416382252,15,2048,16,512,4,4,2,2.6,0.000586,379.19,25.789172036,44.008826
15.293756956143973,16,8,2048,512,1,1,8,2.3,0.000592,420.38,27.562360864,46.558042
26.31578947368421,10,512,128,16384,16,16,4,3.6,0.00038,355.8,11.182087860000001,29.426547
0,12,2048,1024,128,1,16,16,3.5,0,0,0,0
3.9494775065033325,15,8,2048,65536,1,1,2,2.2,0.000586,831.46,40.795825699999995,69.61744999999999
44.247787610619476,6,256,8,16384,8,8,1,3.0,0.000226,205.68,4.161887406000001,18.415431
2.5498491180586207,16,4096,16,32768,16,1,2,3.5,0.000608,1015.9,49.678215936,81.70759199999999
67.11409395973155,3,512,256,32768,8,4,1,3.7,0.000149,267.9,2.9960149669999994,20.107483
0,11,4,32,64,16,1,16,3.4,0,0,0,0
19.174843035453968,10,4096,32,512,8,2,4,2.7,0.00038,468.6,16.372637819999998,43.085888999999995
19.41747572815534,14,32,128,16384,2,2,1,3.4,0.000515,271.7,15.835200430000002,30.747961999999998
15.485448052207937,16,16,64,32768,4,4,4,2.4,0.000592,417.77,23.747337631999997,40.113746
30.030030030030026,9,8,1024,8192,8,2,4,2.0,0.000333,231.69,8.007535782,24.046653999999997
19.41747572815534,14,256,32,8192,2,1,1,2.0,0.000515,229.65,14.752481425000001,28.645595
0,12,4,4,1024,1,16,2,2.1,0,0,0,0
0,2,4,4,1024,1,16,2,2.1,0,0,0,0
0,2,4,4,1024,2,8,2,2.8,0,0,0,0
0,7,4,512,1024,2,8,2,2.8,0,0,0,0
37.17472118959108,7,64,512,2048,2,8,2,3.8,0.000269,129.8,4.064793095,15.110755
15.23780356546329,13,2048,1024,256,1,2,16,3.9,0.000468,473.67,22.432036068,47.931701
52.63157894736842,4,64,16,64,4,2,8,2.5,0.00019,46.215,1.2977064600000001,6.830034
21.36752136752137,13,128,1024,4096,1,8,16,3.3,0.000468,340.47,16.249867919999996,34.72194
0,5,4,4,1024,1,16,2,2.1,0,0,0,0
24.213075060532685,11,4,512,64,16,1,8,2.8,0.000413,195.86,9.291972186,22.498722
0,5,1024,4,2048,16,16,16,3.4,0,0,0,0
51.282051282051285,5,1024,4096,2048,16,16,16,3.1,0.000195,287.91,5.04640266,25.878988
22.22222222222222,12,2048,64,128,2,8,8,3.5,0.00045,304.53,15.982255799999997,35.516124
32.78688524590164,8,32,8,1024,4,16,2,3.2,0.000305,132.74,4.497702629999999,14.746566
59.1715976331361,1,128,16,1024,1,8,2,2.0,0.000169,24.08,0.44552270099999997,2.636229
0,2,4,4,256,2,8,2,2.8,0,0,0,0
0,2,4,4,256,2,8,2,2.8,0,0,0,0
77.51937984496125,2,16,4,256,1,4,2,2.9,0.000129,24.145,0.449485665,3.484385
24.213075060532685,11,1024,32,2048,16,1,16,3.4,0.000413,299.02,11.976713378000001,28.999306
0,12,4,4,256,2,16,2,2.1,0,0,0,0
7.577064182356296,12,512,4096,4096,2,16,2,2.6,0.00045,685.02,25.8035517,57.341226
0,11,256,32,64,16,1,16,3.6,0,0,0,0
2.6165791470411683,12,4096,2048,65536,4,16,8,2.1,0.00045,1165.7,41.46471,92.1438
26.178010471204185,10,64,256,1024,1,4,4,2.2,0.000382,134.54,7.109336678,18.610829
0,3,4,4,1024,1,16,1,2.1,0,0,0,0
0,11,256,128,64,16,1,16,3.6,0,0,0,0
0,6,256,64,64,16,1,16,3.6,0,0,0,0
67.11409395973155,3,32,512,128,8,8,1,3.0,0.000149,52.627,0.941955054,6.321846
37.17472118959108,7,1024,512,2048,16,4,4,2.3,0.000269,195.94,5.280105236,19.628644
0,3,8,8,512,8,16,1,3.7,0,0,0,0
67.11409395973155,3,8,8,512,8,8,1,3.7,0.000149,45.132,0.822732406,5.521694
51.282051282051285,5,16,2048,16384,1,16,2,2.1,0.000195,277.96,4.41853269,22.659142000000003
17.921146953405017,15,512,4,256,2,8,1,3.9,0.000558,220.0,16.396037082,29.383579
30.030030030030026,9,128,32,8192,4,1,16,2.7,0.000333,163.22,6.483569274000001,19.470178
0,3,4,256,65536,2,16,1,2.1,0,0,0,0
8.593785206195102,8,4096,256,65536,2,2,1,2.4,0.000305,781.3,18.756337034999998,61.496187
36.397891743115515,4,4,256,65536,16,1,1,3.4,0.00019,481.0,6.51022403,34.264337
51.282051282051285,5,2048,128,4096,1,4,2,3.8,0.000195,161.65,3.2869404749999998,16.856105
0,1,4,4,32768,1,8,2,3.2,0,0,0,0
58.47953216374268,1,32,4096,32768,1,2,2,3.2,0.000171,283.63,2.930192388,17.135628
51.282051282051285,5,64,4,256,4,16,4,3.3,0.000195,80.328,1.8182375250000002,9.324295000000001
51.282051282051285,5,1024,16,2048,16,16,8,3.1,0.000195,136.98,2.637145485,13.523823
51.282051282051285,5,1024,1024,2048,16,16,16,3.4,0.000195,164.43,3.245869575,16.645485
0,16,4,64,1024,1,16,1,2.5,0,0,0,0
77.51937984496125,2,16,64,16384,2,8,1,2.5,0.000129,141.08,1.3774736099999998,10.67809
24.213075060532685,11,256,128,64,16,1,2,3.6,0.000413,192.09,8.89329833,21.53341
0,6,256,64,64,8,1,16,2.1,0,0,0,0
44.247787610619476,6,256,64,8192,8,16,16,2.6,0.000226,171.08,3.6406046199999995,16.10887
37.17472118959108,7,256,128,1024,2,1,8,2.8,0.000269,95.876,3.5949953549999996,13.364295
0,6,256,64,64,16,1,16,3.6,0,0,0,0
0,6,1024,4,128,16,16,16,2.2,0,0,0,0
0,2,4,512,1024,2,8,2,2.8,0,0,0,0
0,2,4,512,256,2,8,2,2.8,0,0,0,0
0,7,4,512,1024,2,8,2,2.8,0,0,0,0
0,14,4,2048,1024,2,8,2,2.9,0,0,0,0
