,reward,core,l1i_size,l1d_size,l2_size,l1i_assoc,l1d_assoc,l2_assoc,clock_rate,latency,Area,energy,power
0,58.479532,1.0,16.0,128.0,8192.0,2.0,1.0,16.0,3.7,0.000129,82.185,0.9261451542,7.179419800000001
1,5.017571,8.0,2048.0,4096.0,32768.0,16.0,4.0,16.0,3.5,0.000171,73.02,1.0015178958000002,5.8568298
2,0.0,12.0,32.0,256.0,128.0,16.0,1.0,16.0,2.0,0.000305,1022.5,22.501433559999995,73.77519199999999
3,51.282051,5.0,32.0,4.0,64.0,4.0,1.0,4.0,3.2,0.0,0.0,0.0,0.0
4,7.991712,14.0,4096.0,8.0,4096.0,4.0,16.0,2.0,2.4,0.000195,55.192,1.6126213349999998,8.269853
5,36.497433,3.0,2048.0,128.0,65536.0,16.0,16.0,4.0,3.9,0.000515,623.5,31.105333075,60.398705
6,0.0,7.0,512.0,4096.0,16384.0,4.0,4.0,2.0,2.7,0.000149,542.42,5.325172983999999,35.739416
7,17.023555,14.0,2048.0,128.0,2048.0,16.0,16.0,16.0,2.3,0.0,0.0,0.0,0.0
8,21.367521,13.0,16.0,4.0,512.0,4.0,1.0,16.0,3.1,0.000515,427.2,23.087413435,44.829929
9,22.291402,5.0,4.0,8.0,32768.0,8.0,1.0,16.0,3.8,0.000468,144.15,10.090572804,21.561053
10,13.095312,11.0,4096.0,256.0,2048.0,8.0,8.0,4.0,3.7,0.000195,606.7,7.55284179,38.732522
11,21.367521,13.0,8.0,8.0,2048.0,2.0,8.0,1.0,3.7,0.000413,543.91,20.440419433,49.492541
12,52.631579,4.0,32.0,1024.0,2048.0,16.0,4.0,4.0,2.9,0.000468,169.9,10.593360648,22.635386
13,4.267464,13.0,128.0,2048.0,32768.0,4.0,1.0,16.0,3.2,0.00019,99.079,1.97600893,10.400047
14,52.631579,4.0,4096.0,4096.0,256.0,8.0,4.0,4.0,2.9,0.000468,895.06,32.21396334,68.833255
15,12.797327,16.0,256.0,128.0,32768.0,2.0,4.0,8.0,3.7,0.00019,334.44,5.30685257,27.930803
16,32.786885,8.0,64.0,8.0,4096.0,4.0,4.0,2.0,2.9,0.000608,453.47,25.918919616000004,42.629802000000005
17,77.51938,2.0,2048.0,128.0,128.0,4.0,1.0,4.0,2.2,0.000305,122.09,4.60261714,15.090548
18,16.891892,16.0,16.0,16.0,16384.0,4.0,8.0,4.0,2.7,0.000129,53.525,0.8386735049999999,6.501345
19,37.174721,7.0,1024.0,256.0,4096.0,16.0,2.0,16.0,3.5,0.000592,329.78,20.176648192,34.082176000000004
20,21.367521,13.0,256.0,32.0,64.0,4.0,8.0,1.0,3.5,0.000269,200.85,5.3145792,19.7568
21,61.084162,2.0,64.0,32.0,65536.0,16.0,8.0,1.0,3.8,0.000468,178.97,11.131882632,23.786074
22,32.786885,8.0,32.0,4096.0,128.0,4.0,1.0,1.0,3.2,0.000129,450.61,3.934663314,30.501266
23,24.213075,11.0,64.0,64.0,128.0,8.0,2.0,8.0,2.7,0.000305,388.87,10.33909557,33.898674
24,67.114094,3.0,8.0,64.0,256.0,8.0,4.0,4.0,2.8,0.000413,145.45,7.961896599999999,19.2782
25,67.114094,3.0,256.0,2048.0,1024.0,8.0,8.0,2.0,2.4,0.000149,42.23,0.8023344550000001,5.384795
26,37.174721,7.0,64.0,64.0,64.0,2.0,1.0,4.0,2.3,0.000149,99.07,1.505400342,10.103358
27,28.623958,8.0,128.0,4096.0,8192.0,16.0,4.0,16.0,2.6,0.000269,79.045,3.2043551690000003,11.912101000000002
28,44.247788,6.0,512.0,512.0,16384.0,8.0,4.0,1.0,3.2,0.000305,428.1,11.56880738,37.930516
29,52.631579,4.0,32.0,1024.0,1024.0,4.0,2.0,2.0,2.7,0.000226,229.29,4.715431692000001,20.864742000000003
30,32.786885,8.0,64.0,256.0,128.0,8.0,2.0,1.0,2.4,0.00019,88.408,1.8453468800000004,9.712352
31,11.330609,8.0,128.0,2048.0,65536.0,16.0,4.0,8.0,2.1,0.000305,113.54,4.54269379,14.894078
32,37.174721,7.0,4096.0,128.0,2048.0,16.0,1.0,1.0,2.7,0.000305,680.43,15.313551934999998,50.208367
33,17.064846,15.0,512.0,128.0,1024.0,8.0,4.0,4.0,3.3,0.000269,364.11,8.498098705,31.591445
34,5.165804,14.0,4096.0,1024.0,2048.0,16.0,2.0,16.0,3.6,0.000586,265.24,18.631414678,31.794223
35,67.114094,3.0,2048.0,128.0,32768.0,16.0,4.0,2.0,2.3,0.000515,775.51,35.87740393,69.664862
36,24.213075,11.0,256.0,32.0,8192.0,16.0,2.0,16.0,2.3,0.000149,326.6,3.341658462,22.427238
37,67.114094,3.0,64.0,256.0,256.0,2.0,1.0,4.0,2.2,0.000413,247.4,10.395134008,25.169816
38,21.367521,13.0,8.0,128.0,8192.0,2.0,4.0,4.0,3.0,0.000149,40.466,0.8410720709999999,5.644779
39,8.307807,12.0,32.0,128.0,65536.0,8.0,16.0,2.0,3.2,0.000468,216.69,12.014109432,25.671174
40,77.51938,2.0,512.0,16.0,256.0,16.0,1.0,1.0,2.4,0.00045,654.2,22.00914315,48.909207
41,67.114094,3.0,512.0,512.0,256.0,1.0,1.0,1.0,3.0,0.000129,41.578,0.597341595,4.630555
42,51.282051,5.0,4.0,512.0,32768.0,2.0,4.0,4.0,2.9,0.000149,60.098,1.0760709969999998,7.221953
43,26.109661,10.0,2048.0,32.0,1024.0,8.0,2.0,4.0,2.0,0.000195,313.29,4.554964245,23.358791
44,5.262249,15.0,128.0,128.0,65536.0,16.0,1.0,8.0,2.2,0.000383,279.8,11.706870685999998,30.566242
45,67.114094,3.0,2048.0,128.0,2048.0,4.0,2.0,16.0,3.6,0.000586,720.32,32.0724832,54.7312
46,0.0,14.0,64.0,4.0,128.0,8.0,16.0,16.0,3.7,0.000149,93.644,1.536668588,10.313212
47,77.51938,2.0,4096.0,32.0,4096.0,1.0,8.0,1.0,3.2,0.0,0.0,0.0,0.0
48,58.479532,1.0,2048.0,512.0,4096.0,16.0,1.0,8.0,3.0,0.000129,124.03,1.39604316,10.82204
49,51.282051,5.0,4096.0,128.0,8192.0,16.0,4.0,4.0,3.6,0.000171,74.193,1.0277471070000002,6.010217
50,67.114094,3.0,32.0,2048.0,1024.0,8.0,16.0,4.0,3.1,0.000195,323.08,5.08302639,26.066802
51,37.174721,7.0,128.0,512.0,256.0,8.0,1.0,2.0,2.4,0.000149,103.96,1.4887758160000002,9.991784
52,18.327209,8.0,32.0,128.0,65536.0,4.0,4.0,2.0,2.4,0.000269,111.71,3.860884101,14.352729
53,30.669296,4.0,128.0,8.0,65536.0,8.0,1.0,8.0,3.7,0.000305,535.01,12.174959499999998,39.9179
54,31.347962,8.0,8.0,128.0,256.0,1.0,1.0,1.0,2.5,0.00019,524.0,6.346744419999999,33.403918
55,22.808791,4.0,2048.0,1024.0,65536.0,2.0,4.0,8.0,3.2,0.000319,90.94,4.3837637140000005,13.742206
56,17.041102,14.0,2048.0,128.0,256.0,16.0,8.0,2.0,3.1,0.00019,607.62,7.75029038,40.791002
57,34.602616,4.0,16.0,4.0,65536.0,4.0,8.0,2.0,3.1,0.000515,426.98,22.505631325,43.700255
58,17.064846,15.0,64.0,256.0,16384.0,2.0,2.0,16.0,2.8,0.00019,493.32,6.294600820000001,33.129478000000006
59,24.154589,11.0,16.0,4.0,256.0,1.0,1.0,1.0,3.9,0.000586,317.85,20.431662348,34.866318
60,24.213075,11.0,8.0,32.0,512.0,8.0,1.0,16.0,3.0,0.000414,115.61,7.3950224219999985,17.862372999999998
61,0.0,6.0,8.0,1024.0,64.0,2.0,16.0,8.0,3.6,0.000413,144.32,7.865720877000002,19.045329
62,37.174721,7.0,16.0,4096.0,2048.0,2.0,4.0,1.0,3.3,0.0,0.0,0.0,0.0
63,29.6434,7.0,4096.0,32.0,16384.0,1.0,8.0,16.0,2.5,0.000269,350.77,8.145732645999999,30.281534
64,37.174721,7.0,32.0,4.0,64.0,2.0,1.0,1.0,2.4,0.000269,447.94,10.112692926,37.593654
65,0.0,9.0,4.0,64.0,1024.0,4.0,16.0,8.0,3.1,0.000269,74.462,3.094288977,11.502933
66,26.954178,9.0,1024.0,128.0,1024.0,16.0,16.0,2.0,3.6,0.0,0.0,0.0,0.0
67,77.51938,2.0,256.0,256.0,2048.0,2.0,1.0,1.0,2.0,0.000371,236.16,8.630270264000002,23.262184
68,77.51938,2.0,512.0,4.0,16384.0,1.0,1.0,16.0,3.0,0.000129,42.942,0.640037628,4.961532
69,67.114094,3.0,4.0,256.0,1024.0,4.0,1.0,8.0,2.8,0.000129,163.48,1.559910957,12.092333
70,17.692272,9.0,128.0,128.0,65536.0,4.0,1.0,1.0,2.0,0.000149,44.083,0.8756741919999999,5.877008
71,16.447368,16.0,32.0,512.0,1024.0,16.0,4.0,4.0,3.8,0.000333,521.13,14.1767091,42.5727
72,46.082949,2.0,1024.0,4096.0,8192.0,16.0,1.0,4.0,3.1,0.000608,298.27,20.190235392,33.207624
73,36.900369,7.0,64.0,32.0,512.0,1.0,1.0,1.0,2.3,0.000217,181.89,3.023290004,13.932212
74,59.171598,1.0,2048.0,4.0,32768.0,4.0,2.0,1.0,2.1,0.000271,79.47,3.246718752,11.980512
75,59.171598,1.0,32.0,4096.0,512.0,4.0,8.0,1.0,2.1,0.000169,239.94,2.880699133,17.045557000000002
76,37.174721,7.0,64.0,128.0,64.0,8.0,4.0,8.0,2.9,0.000169,55.042,0.851252493,5.036997
77,1.121374,15.0,2048.0,32.0,65536.0,2.0,8.0,16.0,2.3,0.000269,96.015,3.368620019,12.522751
78,0.0,1.0,16.0,4.0,1024.0,8.0,1.0,2.0,2.1,0.000586,1560.4,55.467917314,94.655149
79,21.281992,9.0,32.0,4096.0,512.0,1.0,8.0,2.0,3.9,0.0,0.0,0.0,0.0
80,11.058823,13.0,64.0,2048.0,32768.0,1.0,2.0,1.0,2.5,0.000371,450.16,14.276420207,38.480917
81,32.786885,8.0,256.0,8.0,2048.0,8.0,1.0,8.0,2.7,0.000468,556.01,24.111126936,51.519502
82,67.114094,3.0,2048.0,32.0,256.0,2.0,2.0,2.0,2.8,0.000305,123.76,4.71558182,15.460924
83,21.367521,13.0,32.0,256.0,2048.0,8.0,16.0,16.0,3.1,0.000149,77.897,1.361513128,9.137672
84,0.0,8.0,256.0,4.0,64.0,16.0,2.0,8.0,2.8,0.000468,254.24,12.510041544000002,26.730858
85,37.174721,7.0,4.0,1024.0,8192.0,4.0,4.0,2.0,3.0,0.0,0.0,0.0,0.0
86,4.975007,2.0,128.0,512.0,65536.0,2.0,4.0,16.0,3.3,0.000269,199.67,5.156906464,19.170656
87,16.891892,16.0,128.0,64.0,16384.0,4.0,1.0,16.0,3.0,0.000217,1217.4,11.866768039,54.685567000000006
88,17.064846,15.0,8.0,4.0,512.0,1.0,1.0,1.0,2.9,0.000592,317.0,20.98923864,35.454795000000004
89,37.174721,7.0,1024.0,4.0,512.0,1.0,2.0,4.0,2.5,0.000586,156.92,14.303535704000002,24.408764
90,0.0,6.0,128.0,4.0,256.0,16.0,4.0,2.0,3.7,0.000269,133.0,4.311321372999999,16.027217
91,22.222222,12.0,64.0,8.0,256.0,2.0,4.0,2.0,3.9,0.0,0.0,0.0,0.0
92,26.315789,10.0,512.0,256.0,8192.0,16.0,16.0,2.0,2.6,0.00045,132.21,8.94165975,19.870355
93,37.174721,7.0,16.0,16.0,128.0,2.0,16.0,2.0,2.4,0.00038,296.04,10.155517860000002,26.725047
94,67.114094,3.0,64.0,64.0,16384.0,16.0,1.0,16.0,2.9,0.000269,104.59,3.32418902,12.35758
95,24.213075,11.0,64.0,128.0,32768.0,1.0,2.0,8.0,3.9,0.000149,182.51,2.01376629,13.515210000000002
96,8.436587,2.0,4.0,16.0,65536.0,8.0,2.0,16.0,2.2,0.000413,379.21,13.340563278,32.301606
97,16.447368,16.0,512.0,256.0,8192.0,2.0,8.0,2.0,3.8,0.000129,1212.5,6.984790914,54.145666000000006
98,37.174721,7.0,64.0,64.0,2048.0,8.0,1.0,4.0,3.8,0.000608,321.26,22.440531552,36.908769
99,22.222222,12.0,4.0,256.0,64.0,1.0,1.0,1.0,3.5,0.000269,106.6,3.503075365,13.022585
100,10.773825,9.0,256.0,8.0,32768.0,8.0,2.0,16.0,2.0,0.00045,143.54,9.49069755,21.090439
101,21.367521,13.0,128.0,128.0,512.0,4.0,1.0,8.0,2.5,0.000333,667.81,15.593526864,46.827408
102,32.786885,8.0,8.0,4.0,32768.0,4.0,1.0,1.0,2.4,0.000468,159.16,10.863477144,23.212558
103,44.247788,6.0,128.0,512.0,16384.0,8.0,4.0,1.0,3.4,0.000305,298.35,8.130587825000001,26.657665
104,22.222222,12.0,32.0,128.0,32768.0,4.0,1.0,2.0,3.3,0.000226,209.57,4.339099204,19.199554
105,9.918207,14.0,2048.0,8.0,32768.0,1.0,4.0,1.0,2.9,0.00045,369.96,14.90607585,33.124613
106,51.282051,5.0,4096.0,4.0,1024.0,2.0,16.0,16.0,2.8,0.000515,559.68,27.945407405,54.262927
107,0.0,15.0,1024.0,128.0,128.0,2.0,8.0,16.0,3.8,0.000195,221.76,4.306368885,22.083943
108,37.174721,7.0,128.0,32.0,2048.0,16.0,1.0,2.0,2.4,0.0,0.0,0.0,0.0
109,0.0,7.0,4096.0,4096.0,32768.0,4.0,16.0,4.0,2.8,0.000269,128.82,3.694547682,13.734378
110,4.029719,11.0,128.0,4096.0,65536.0,8.0,4.0,2.0,3.2,0.0,0.0,0.0,0.0
111,3.345435,15.0,512.0,2048.0,65536.0,1.0,4.0,4.0,3.0,0.000413,980.5,30.270550856000003,73.294312
112,19.417476,14.0,16.0,2048.0,64.0,16.0,1.0,1.0,2.2,0.000586,903.41,43.745576830000005,74.651155
113,77.51938,2.0,4.0,1024.0,2048.0,4.0,1.0,1.0,3.6,0.000515,353.2,20.977018625,40.732075
114,0.0,1.0,4.0,32.0,4096.0,4.0,8.0,1.0,2.2,0.000129,54.313,0.717925119,5.565311
115,30.120482,9.0,64.0,4.0,2048.0,4.0,16.0,2.0,3.9,0.0,0.0,0.0,0.0
116,37.174721,7.0,16.0,128.0,64.0,16.0,1.0,8.0,3.5,0.000332,154.02,5.639814476,16.987393
117,16.447368,16.0,64.0,1024.0,256.0,8.0,4.0,16.0,3.7,0.000269,113.45,3.435031815,12.769635
118,44.247788,6.0,16.0,2048.0,16384.0,8.0,1.0,1.0,3.6,0.000608,298.12,22.273689664,36.634358
119,58.479532,1.0,128.0,256.0,1024.0,2.0,8.0,2.0,3.9,0.000226,272.9,5.577166528,24.677728
120,67.114094,3.0,4096.0,64.0,128.0,8.0,4.0,1.0,2.4,0.000171,25.699,0.44726589,2.61559
