,reward,core,l1i_size,l1d_size,l2_size,l1i_assoc,l1d_assoc,l2_assoc,clock_rate,latency,Area,energy,power
0,77.51938,2.0,2048.0,2048.0,64.0,8.0,8.0,4.0,3.9,0.0,0.0,0.0,0.0
1,32.786885,8.0,8.0,64.0,4096.0,8.0,2.0,2.0,3.5,0.000129,83.711,1.133597304,8.787576
2,77.51938,2.0,512.0,128.0,64.0,16.0,2.0,8.0,2.4,0.000305,135.44,4.709111245,15.439709
3,2.81483,12.0,4.0,4096.0,32768.0,8.0,2.0,16.0,3.1,0.000129,41.313,0.6032398619999999,4.676278
4,37.174721,7.0,128.0,1024.0,256.0,1.0,1.0,4.0,2.2,0.00045,1123.9,36.39622545,80.88050100000001
5,0.0,1.0,8.0,128.0,64.0,16.0,16.0,2.0,2.2,0.000269,159.15,4.670275511,17.361619
6,24.213075,11.0,16.0,32.0,8192.0,16.0,16.0,1.0,3.3,0.0,0.0,0.0,0.0
7,26.246719,10.0,64.0,256.0,1024.0,1.0,2.0,4.0,2.4,0.000413,279.1,10.120559631,24.504987
8,67.114094,3.0,4096.0,16.0,1024.0,4.0,8.0,16.0,3.4,0.000381,133.47,7.065032352,18.543392
9,6.589507,12.0,4096.0,2048.0,1024.0,4.0,8.0,8.0,2.8,0.000149,147.13,2.054046056,13.785544000000002
10,59.171598,1.0,512.0,4.0,2048.0,1.0,8.0,16.0,2.2,0.00045,734.56,30.045943800000003,66.768764
11,19.417476,14.0,32.0,16.0,64.0,2.0,2.0,4.0,3.1,0.000169,31.384,0.596216452,3.527908
12,21.367521,13.0,8.0,1024.0,256.0,8.0,1.0,1.0,2.9,0.000515,149.25,11.810231835,22.932489
13,0.0,7.0,32.0,8.0,65536.0,16.0,8.0,4.0,3.9,0.000468,234.19,13.690260792,29.252694
14,8.208176,10.0,2048.0,256.0,65536.0,8.0,16.0,2.0,3.9,0.0,0.0,0.0,0.0
15,59.171598,1.0,512.0,256.0,2048.0,1.0,1.0,4.0,2.8,0.000382,714.34,21.812791718,57.101549
16,21.834061,12.0,4.0,4.0,128.0,1.0,2.0,4.0,2.0,0.000169,32.438,0.547393028,3.239012
17,8.262064,16.0,2048.0,128.0,16384.0,8.0,1.0,4.0,3.4,0.000458,125.34,8.975161276000001,19.596422
18,67.114094,3.0,8.0,16.0,64.0,4.0,4.0,1.0,2.8,0.000608,564.37,33.531191488000005,55.149986
19,44.247788,6.0,16.0,32.0,256.0,16.0,4.0,2.0,2.6,0.000149,34.101,0.7487778949999998,5.025354999999999
20,44.247788,6.0,32.0,32.0,4096.0,1.0,8.0,16.0,2.1,0.000226,97.215,2.449506876,10.838526
21,16.447368,16.0,4.0,16.0,128.0,8.0,1.0,4.0,2.9,0.000226,103.71,2.856585308,12.639758
22,51.282051,5.0,512.0,256.0,32768.0,1.0,16.0,4.0,2.9,0.000608,199.42,16.319701312,26.841614
23,26.315789,10.0,8.0,32.0,8192.0,2.0,8.0,16.0,3.0,0.000195,334.71,4.817995065,24.707667
24,17.064846,15.0,1024.0,128.0,1024.0,4.0,8.0,2.0,3.4,0.00038,181.4,7.98024814,21.000653
25,58.479532,1.0,1024.0,2048.0,2048.0,1.0,1.0,4.0,3.1,0.000586,280.46,20.610127476,35.170866000000004
26,58.479532,1.0,2048.0,2048.0,64.0,4.0,4.0,8.0,3.4,0.000171,52.684,0.8411030009999999,4.918730999999999
27,32.786885,8.0,64.0,2048.0,64.0,8.0,8.0,4.0,3.5,0.000171,43.301,0.80728416,4.72096
28,52.631579,4.0,512.0,2048.0,32768.0,2.0,8.0,8.0,3.3,0.000305,228.48,7.34112857,24.069274
29,77.51938,2.0,32.0,2048.0,256.0,1.0,4.0,4.0,2.1,0.00019,376.09,5.05469445,26.603655
30,0.0,2.0,4.0,1024.0,1024.0,8.0,8.0,2.0,2.6,0.000129,56.408,0.800342832,6.204208
31,1.336405,16.0,4096.0,2048.0,65536.0,8.0,8.0,4.0,2.5,0.0,0.0,0.0,0.0
32,30.03003,9.0,1024.0,64.0,8192.0,16.0,8.0,2.0,3.0,0.000592,1422.1,67.842541696,114.598888
33,6.594364,13.0,4096.0,128.0,16384.0,1.0,8.0,4.0,3.4,0.000333,266.33,8.359325307,25.103079
34,30.03003,9.0,8.0,32.0,32768.0,16.0,8.0,1.0,3.0,0.000468,720.03,29.403338796,62.827647
35,23.23896,4.0,16.0,256.0,32768.0,8.0,2.0,16.0,2.8,0.000333,367.15,9.977358987,29.962039
36,67.114094,3.0,8.0,2048.0,4096.0,2.0,2.0,4.0,3.9,0.00019,601.97,7.15895908,37.678732
