,reward,core,l1i_size,l1d_size,l2_size,l1i_assoc,l1d_assoc,l2_assoc,clock_rate,latency,Area,power
0,44.247787610619476,6,1024,4,1024,2,2,4,3.2,0.000226,121.18,14.123800000000001
1,17.064846416382252,15,2048,32,512,2,4,8,2.4,0.000586,379.36,44.25563
2,10000.0,7,4,2048,512,8,8,2,3.0,10000.0,10000.0,10000.0
3,67.11409395973155,3,8,256,512,8,8,2,2.2,0.000149,50.127,6.051744
4,22.22222222222222,12,1024,128,8192,2,8,4,3.5,0.00045,285.13,31.422341
5,12.284840168062914,15,512,4,32768,2,8,8,3.5,0.000586,471.44,42.761803
6,21.36752136752137,13,2048,32,64,4,2,2,3.8,0.000468,327.29,37.920713
7,10000.0,6,128,2,1024,8,2,8,2.2,10000.0,10000.0,10000.0
8,77.51937984496125,2,256,8,256,4,8,2,3.2,0.000129,30.29,3.961242
9,22.22222222222222,12,8,256,4096,8,2,4,3.6,0.00045,199.39,23.496786999999998
10,37.17472118959108,7,256,1024,32768,4,4,4,3.1,0.000269,385.41,30.200978000000003
11,58.47953216374268,1,1024,1024,16384,4,4,8,3.0,0.000171,161.89,10.48077
12,30.030030030030026,9,256,1024,512,4,2,8,2.7,0.000333,191.42,21.961736
13,37.17472118959108,7,1024,16,4096,4,4,4,2.9,0.000269,165.86,17.651829999999997
14,24.213075060532685,11,16,512,8192,8,2,8,3.7,0.000413,222.3,25.106697
15,77.51937984496125,2,2048,16,32768,8,8,4,3.5,0.000129,295.58,19.721376
16,22.22222222222222,12,128,4,512,2,4,4,3.3,0.00045,138.12,20.454237
17,32.78688524590164,8,4,32,4096,8,2,2,3.3,0.000305,134.2,15.300463
18,52.63157894736842,4,8,128,64,8,4,8,3.8,0.00019,55.078,7.143892
19,51.282051282051285,5,64,2048,512,8,8,2,2.9,0.000195,146.15,15.413394
20,44.247787610619476,6,128,256,2048,8,4,2,3.8,0.000226,102.59,12.195837
21,32.78688524590164,8,8,64,256,8,4,4,2.7,0.000305,106.1,13.865738
22,22.22222222222222,12,16,512,16384,4,8,2,3.0,0.00045,326.45,31.367309000000002
23,67.11409395973155,3,16,32,32768,8,8,8,2.0,0.000149,297.9,19.017657
24,22.22222222222222,12,128,512,512,8,4,4,3.8,0.00045,192.8,24.516088
25,51.282051282051285,5,16,16,512,4,2,4,3.1,0.000195,58.711,8.452251
26,67.11409395973155,3,16,512,32768,4,2,4,3.0,0.000149,286.0,19.454967
27,21.36752136752137,13,8,512,256,4,4,8,2.5,0.000468,198.34,25.855364
28,10000.0,3,64,4,128,8,8,8,2.0,10000.0,10000.0,10000.0
29,67.11409395973155,3,256,1024,4096,4,2,4,2.5,0.000149,97.65,9.147027000000001
30,44.247787610619476,6,32,1024,128,4,8,4,2.7,0.000226,129.12,14.125682999999999
31,19.41747572815534,14,128,32,1024,2,2,4,3.6,0.000515,166.56,24.254294
32,52.63157894736842,4,16,32,64,2,2,2,3.2,0.00019,44.001,6.649558
33,59.1715976331361,1,32,4,128,2,4,8,2.5,0.000169,14.065,1.916744
34,67.11409395973155,3,32,512,64,8,2,4,3.0,0.000149,47.406,6.067453
35,77.51937984496125,2,2048,8,1024,8,2,8,2.0,0.000129,61.494,6.999083
36,10000.0,6,2,256,512,2,4,8,2.3,10000.0,10000.0,10000.0
37,30.030030030030026,9,64,256,32768,4,4,8,2.3,0.000333,365.46,29.726599
38,37.17472118959108,7,64,256,512,2,2,2,2.5,0.000269,90.273,12.809902000000001
39,24.154589371980677,11,64,4,256,4,2,8,3.8,0.000414,123.31,18.294482
40,30.030030030030026,9,1024,32,32768,4,8,2,3.0,0.000333,392.84,33.150506
41,10000.0,13,2,2,2048,4,2,8,2.3,10000.0,10000.0,10000.0
42,52.63157894736842,4,64,32,32768,2,2,8,2.4,0.00019,298.04,20.239182999999997
43,44.247787610619476,6,64,1024,16384,4,2,8,3.9,0.000226,251.19,21.030519
44,77.51937984496125,2,2048,1024,32768,4,2,4,2.6,0.000129,308.94,20.957988
