,reward,core,l1i_size,l1d_size,l2_size,l1i_assoc,l1d_assoc,l2_assoc,clock_rate,latency,Area,energy,power
0,17.064846416382252,15,512,16,8192,16,2,8,3.8,0.000586,334.2,20.288330850000005,34.621725000000005
1,26.31578947368421,10,1024,512,256,8,16,16,3.0,0.00038,246.36,10.320878660000002,27.160207
2,58.47953216374268,1,64,4096,512,2,8,2,3.3,0.000171,54.483,0.82444401,4.8213099999999995
3,22.22222222222222,12,512,8,2048,8,4,16,3.2,0.00045,208.75,11.430787050000001,25.401749000000002
4,-1.0,3,8,16,65536,4,16,16,3.9,10000.0,10000.0,10000.0,10000.0
5,-1.0,12,128,4,1024,8,2,16,3.0,10000.0,10000.0,10000.0,10000.0
6,30.030030030030026,9,2048,1024,8192,4,16,4,2.1,0.000333,364.31,11.953568799000001,35.896603
7,24.213075060532685,11,128,256,512,2,8,16,2.4,0.000413,164.88,8.843749894,21.413438
8,-1.0,12,8,4,64,2,16,2,3.5,10000.0,10000.0,10000.0,10000.0
9,18.203151672702614,8,4,4,65536,2,2,4,3.6,0.000305,536.83,11.96022059,39.213838
10,17.064846416382252,15,16,32,512,4,8,4,4.0,0.000586,193.22,14.975697628,25.555798
11,52.63157894736842,4,4096,16,256,8,2,4,2.5,0.00019,188.95,3.3627782699999997,17.698832999999997
12,37.17472118959108,7,256,32,2048,8,4,2,2.0,0.000269,113.6,3.7107893639999996,13.794756
13,-1.0,8,32,2,8192,4,8,4,2.6,10000.0,10000.0,10000.0,10000.0
14,19.41747572815534,14,2048,256,128,8,16,2,3.7,0.000515,381.51,22.307034450000003,43.31463
15,-1.0,15,64,4,1024,8,8,8,2.1,10000.0,10000.0,10000.0,10000.0
16,-1.0,3,2,128,8192,4,16,16,3.9,10000.0,10000.0,10000.0,10000.0
17,67.11409395973155,3,1024,256,4096,4,2,16,2.3,0.000149,89.331,1.428609318,9.587982
18,16.891891891891895,16,64,16,4096,4,4,4,2.6,0.000592,211.6,16.816281552,28.405881
19,19.41747572815534,14,128,1024,2048,2,4,8,2.4,0.000515,294.1,17.262633655,33.519676999999994
20,-1.0,9,4,4096,65536,16,8,16,2.1,10000.0,10000.0,10000.0,10000.0
21,32.78688524590164,8,64,256,16384,8,8,16,3.1,0.000305,260.26,7.073657905,23.192321
22,-1.0,16,8,4,1024,8,8,8,3.0,10000.0,10000.0,10000.0,10000.0
23,-1.0,1,64,2,128,16,8,4,2.8,10000.0,10000.0,10000.0,10000.0
24,21.36752136752137,13,8,32,8192,16,2,16,2.7,0.000468,262.55,12.645155952,27.019564
25,-1.0,12,64,4,512,16,2,16,3.8,10000.0,10000.0,10000.0,10000.0
