reward,core,l1i_size,l1d_size,l2_size,l1i_assoc,l1d_assoc,l2_assoc,clock_rate,latency,Area,energy,power
3.9449873066522363,12,128,16,4096,16,8,16,3.7,0.00045,237.34,11.0551041,24.566898
0,12,4096,4,4096,8,1,4,2.4,0,0,0,0
11.360866658707005,1,8,256,32768,1,1,1,3.6,0.000171,226.88,2.6291024109000003,15.3748679
1.169962770370688,14,256,1024,8192,4,16,16,3.0,0.000515,407.39,20.373592095,39.560373
12.268129277357493,10,16,128,2048,4,8,4,2.7,0.00038,146.46,7.0292274599999995,18.497967
0,14,128,4,65536,8,8,8,2.6,0,0,0,0
2.1994969467790164,11,4,64,32768,1,2,1,2.7,0.000413,331.79,13.118404383,31.763690999999998
6.440125493496108,11,128,512,256,8,8,8,2.3,0.000413,193.9,9.620223347000003,23.293519000000003
5.808528047709466,11,1024,32,128,1,2,1,2.8,0.000413,204.17,10.365846526,25.098902
3.1064076598095904,16,8,64,8192,4,1,16,2.8,0.000592,233.19,18.052105823999998,30.493422
1.9209589861192586,16,256,64,64,8,16,1,2.9,0.000608,292.61,19.318559776,31.773947
0,12,4,1024,64,16,16,2,2.8,0,0,0,0
12.708758544350847,7,1024,16,4096,2,16,2,3.0,0.000269,171.03,4.859348885999999,18.064494
5.416565851545679,8,32,512,16384,2,4,4,2.9,0.000305,246.03,6.949267314999999,22.784482999999998
2.2361574820770955,7,16,1024,32768,16,16,2,3.2,0.000269,407.73,8.021302660999998,29.818969
0,6,4,128,8192,16,16,8,3.3,0,0,0,0
0.5594506432449857,12,32,256,65536,8,8,2,3.1,0.00045,630.25,21.953773350000002,48.786163
1.8217115314683294,14,512,1024,64,2,1,4,2.3,0.000515,326.48,18.862807665000005,36.626811000000004
6.070175931133121,4,512,1024,32768,1,2,2,2.2,0.000146,335.91,3.472158422,23.781907
30.807135128922152,5,2048,32,512,2,1,4,3.3,0.000195,129.02,2.9226849599999998,14.988128
0,15,4096,4,1024,8,4,8,2.6,0,0,0,0
0,15,4096,4,1024,8,4,8,2.4,0,0,0,0
0,15,4096,4,1024,8,4,4,2.4,0,0,0,0
0,3,64,8,64,16,4,2,3.5,0,0,0,0
0.6010518392877694,13,4,4096,1024,16,4,8,2.5,0.000468,596.24,25.558032239999996,54.61118
0.9046898334781183,9,4096,2048,4096,8,1,4,2.4,0.000333,576.14,17.147131704,51.492888
0,2,4096,4,4096,8,1,8,3.9,0,0,0,0
56.62895744390479,2,2048,128,8192,16,16,8,3.9,0.000129,117.0,1.312671492,10.175748
0,2,4096,4,256,8,4,8,3.4,0,0,0,0
0,15,4096,4,256,8,4,8,3.4,0,0,0,0
26.92250773984407,6,64,128,256,16,16,8,2.1,0.000226,128.2,2.77226516,12.26666
4.008795188341611,6,4,4096,8192,16,2,16,2.0,0.000226,332.23,6.673134544,29.527144
0,6,4,8,1024,4,16,4,3.8,0,0,0,0
58.47953216374268,1,256,8,2048,4,1,4,3.7,0.000171,28.425,0.47403207540000003,2.7721174
2.1504710752477223,12,8,2048,512,8,1,16,2.6,0.00045,321.46,15.96793005,35.484289
