,reward,core,l1i_size,l1d_size,l2_size,l1i_assoc,l1d_assoc,l2_assoc,clock_rate,latency,Area,energy,power
0,58.479532,1.0,16.0,128.0,8192.0,2.0,1.0,16.0,3.7,0.000129,82.185,0.9261451542,7.179419800000001
1,0.207422,8.0,2048.0,4096.0,32768.0,16.0,4.0,16.0,3.5,0.000171,73.02,1.0015178958000002,5.8568298
2,0.0,12.0,32.0,256.0,128.0,16.0,1.0,16.0,2.0,0.000305,1022.5,22.501433559999995,73.77519199999999
3,51.282051,5.0,32.0,4.0,64.0,4.0,1.0,4.0,3.2,0.0,0.0,0.0,0.0
4,0.492909,14.0,4096.0,8.0,4096.0,4.0,16.0,2.0,2.4,0.000195,55.192,1.6126213349999998,8.269853
5,2.28109,3.0,2048.0,128.0,65536.0,16.0,16.0,4.0,3.9,0.000515,623.5,31.105333075,60.398705
6,0.0,7.0,512.0,4096.0,16384.0,4.0,4.0,2.0,2.7,0.000149,542.42,5.325172983999999,35.739416
7,1.063972,14.0,2048.0,128.0,2048.0,16.0,16.0,16.0,2.3,0.0,0.0,0.0,0.0
8,10.283119,13.0,16.0,4.0,512.0,4.0,1.0,16.0,3.1,0.000515,427.2,23.087413435,44.829929
9,1.393213,5.0,4.0,8.0,32768.0,8.0,1.0,16.0,3.8,0.000468,144.15,10.090572804,21.561053
10,0.818457,11.0,4096.0,256.0,2048.0,8.0,8.0,4.0,3.7,0.000195,606.7,7.55284179,38.732522
11,4.451934,13.0,8.0,512.0,2048.0,2.0,8.0,1.0,3.7,0.000413,543.91,20.440419433,49.492541
12,52.631579,4.0,32.0,1024.0,2048.0,16.0,4.0,4.0,2.9,0.000468,219.08,12.613701672,26.952354
13,0.202654,13.0,128.0,2048.0,32768.0,4.0,1.0,16.0,3.2,0.00019,99.079,1.97600893,10.400047
14,4.768931,4.0,4096.0,4096.0,256.0,1.0,4.0,4.0,2.9,0.000468,895.06,32.21396334,68.833255
15,0.799833,16.0,256.0,128.0,32768.0,2.0,4.0,8.0,3.7,0.00019,332.21,5.28202318,27.800122
16,21.995811,8.0,64.0,8.0,4096.0,4.0,4.0,2.0,2.9,0.000608,453.47,25.918919616000004,42.629802000000005
17,77.51938,2.0,2048.0,128.0,128.0,4.0,1.0,4.0,2.2,0.000305,122.09,4.60261714,15.090548
18,1.553208,16.0,16.0,16.0,16384.0,4.0,8.0,4.0,2.7,0.000129,53.525,0.8386735049999999,6.501345
19,9.215185,7.0,1024.0,256.0,4096.0,16.0,2.0,16.0,3.5,0.000592,329.78,20.176648192,34.082176000000004
20,6.671042,13.0,256.0,32.0,64.0,4.0,8.0,1.0,3.5,0.000269,200.85,5.3145792,19.7568
21,3.81776,2.0,64.0,32.0,65536.0,16.0,8.0,1.0,3.8,0.000468,178.97,11.131882632,23.786074
22,2.16816,8.0,32.0,4096.0,128.0,4.0,1.0,1.0,3.2,0.000129,450.61,3.934663314,30.501266
23,11.445177,11.0,64.0,64.0,128.0,8.0,2.0,8.0,2.7,0.000305,388.87,10.33909557,33.898674
24,67.114094,3.0,128.0,64.0,256.0,8.0,4.0,4.0,2.8,0.000413,145.45,7.961896599999999,19.2782
25,67.114094,3.0,256.0,2048.0,1024.0,8.0,8.0,2.0,2.4,0.000149,43.887,0.833594357,5.594593000000001
26,37.174721,7.0,64.0,64.0,64.0,2.0,1.0,4.0,2.3,0.000149,99.07,1.505400342,10.103358
27,1.788997,8.0,128.0,4096.0,8192.0,16.0,4.0,16.0,2.6,0.000269,79.045,3.2043551690000003,11.912101000000002
28,8.416302,6.0,512.0,512.0,16384.0,8.0,4.0,1.0,2.0,0.000305,428.1,11.56880738,37.930516
29,52.631579,4.0,32.0,1024.0,1024.0,4.0,2.0,2.0,2.7,0.000226,229.29,4.744601964,20.993814
30,25.43328,8.0,64.0,256.0,128.0,8.0,2.0,1.0,2.4,0.00019,88.408,1.8453468800000004,9.712352
31,0.708163,8.0,128.0,2048.0,65536.0,16.0,4.0,8.0,2.1,0.000305,113.54,4.54269379,14.894078
32,23.153995,7.0,8.0,128.0,2048.0,16.0,1.0,1.0,2.7,0.000305,680.43,15.313551934999998,50.208367
33,2.425629,15.0,512.0,128.0,1024.0,8.0,4.0,4.0,3.3,0.000269,126.71,3.6763753869999993,13.666823
