,reward,core,l1i_size,l1d_size,l2_size,l1i_assoc,l1d_assoc,l2_assoc,clock_rate,latency,Area,energy,power
0,8.495596,9.0,8.0,1024.0,512.0,16.0,2.0,1.0,2.9,0.000586,356.51,20.501658876,34.985766
1,0.968902,12.0,2048.0,2048.0,128.0,4.0,16.0,8.0,2.2,0.000333,188.01,7.049845764,21.170708
2,26.879417,1.0,8.0,128.0,16384.0,4.0,8.0,16.0,3.5,0.00045,478.91,22.81623795,50.702751
3,14.692551,9.0,16.0,16.0,4096.0,8.0,4.0,16.0,3.9,0.000171,147.5,1.697006736,9.924016
4,13.069398,3.0,1024.0,1024.0,16384.0,16.0,1.0,16.0,2.5,0.000332,143.18,5.74482674,17.303694999999998
5,10.459416,6.0,256.0,8.0,16384.0,8.0,8.0,1.0,2.6,0.000149,226.61,2.608399215,17.506035
6,2.202954,13.0,1024.0,128.0,8192.0,1.0,2.0,2.0,3.9,0.000226,205.68,4.176883636,18.481786
7,5.933706,7.0,1024.0,2048.0,1024.0,2.0,2.0,4.0,2.3,0.000468,311.44,15.678946764,33.502023
8,8.823463,7.0,2048.0,64.0,2048.0,8.0,4.0,1.0,2.2,0.000269,250.3,6.796548888999999,25.265981
9,15.962253,3.0,2048.0,4.0,16384.0,2.0,4.0,4.0,3.9,0.000269,205.26,5.899751578,21.932162
10,1.882887,8.0,256.0,4096.0,1024.0,16.0,16.0,16.0,2.2,0.000149,205.05,2.371266311,15.914539
11,3.984988,13.0,1024.0,32.0,512.0,4.0,8.0,1.0,3.4,0.000305,417.29,11.12441262,36.473484
12,67.114094,3.0,1024.0,128.0,2048.0,1.0,2.0,16.0,3.5,0.000468,231.56,13.848846336,29.591552
13,67.114094,3.0,512.0,256.0,512.0,16.0,1.0,8.0,3.5,0.000149,74.005,1.2379828899999998,8.30861
14,0.0,16.0,128.0,4.0,8192.0,16.0,4.0,16.0,3.7,0.000149,68.198,1.0664390409999998,7.157309
15,0.0,8.0,16.0,4.0,8192.0,8.0,4.0,1.0,3.4,0.0,0.0,0.0,0.0
16,28.769863,5.0,8.0,2048.0,128.0,1.0,4.0,4.0,3.0,0.0,0.0,0.0,0.0
17,17.475711,7.0,256.0,16.0,8192.0,2.0,1.0,1.0,2.3,0.000195,133.51,2.85826827,14.657786
18,9.833957,6.0,64.0,32.0,16384.0,8.0,4.0,16.0,2.8,0.000269,145.85,4.314562822999999,16.039267
19,0.829079,16.0,32.0,512.0,16384.0,1.0,16.0,16.0,3.8,0.000226,212.12,4.17351714,18.46689
20,0.920136,10.0,4096.0,1024.0,256.0,2.0,2.0,2.0,2.1,0.000608,445.4,25.313312096,41.633737
21,5.267451,5.0,4096.0,2048.0,2048.0,16.0,2.0,16.0,2.8,0.000383,532.69,18.693864618,48.809046
22,11.503629,11.0,128.0,256.0,256.0,4.0,4.0,16.0,3.4,0.000195,312.02,5.65726824,29.011632
23,20.818622,10.0,64.0,32.0,512.0,2.0,2.0,1.0,2.3,0.000413,145.08,8.460745671000002,20.486067
24,5.529803,7.0,1024.0,16.0,16384.0,2.0,4.0,4.0,2.4,0.00038,112.43,6.44860836,16.970022
25,67.114094,3.0,256.0,512.0,256.0,16.0,8.0,2.0,2.8,0.000269,259.28,6.155598016,22.883264
26,11.671896,5.0,4.0,512.0,16384.0,1.0,4.0,16.0,3.5,0.000149,65.252,1.049218217,7.041733
27,6.464853,15.0,4.0,16.0,64.0,4.0,4.0,8.0,2.9,0.000195,209.61,3.487520204999999,17.884718999999997
28,0.547734,15.0,2048.0,512.0,16384.0,2.0,2.0,4.0,3.1,0.000578,163.59,14.14912499,24.479455
29,2.806126,3.0,512.0,1024.0,65536.0,16.0,8.0,1.0,2.8,0.000586,558.17,32.524883990000006,55.503215
30,58.479532,1.0,32.0,4096.0,256.0,2.0,4.0,16.0,3.5,0.000149,489.05,5.18483346,34.79754
31,51.282051,5.0,256.0,128.0,256.0,4.0,2.0,16.0,2.0,0.000171,54.38,0.818577,4.787
32,0.0,8.0,256.0,1024.0,64.0,1.0,2.0,16.0,2.4,0.000195,69.291,1.8919646850000005,9.702383
33,0.08249,16.0,4096.0,1024.0,16384.0,4.0,8.0,16.0,3.3,0.0,0.0,0.0,0.0
34,58.479532,1.0,64.0,4096.0,4096.0,4.0,4.0,4.0,3.5,0.000608,989.41,52.062498272000006,85.629109
35,1.122525,15.0,64.0,16.0,16384.0,16.0,8.0,16.0,3.5,0.000171,84.775,1.075167288,6.287528
36,18.191299,10.0,8.0,16.0,2048.0,1.0,2.0,16.0,3.5,0.000586,389.9,20.729912322,35.375277
37,8.765726,11.0,8.0,512.0,256.0,1.0,2.0,1.0,3.6,0.000382,119.96,6.645011476,17.395318
38,0.0,3.0,4.0,8.0,2048.0,8.0,8.0,16.0,3.5,0.000413,166.2,8.965645192,21.708584
39,0.0,7.0,8.0,128.0,2048.0,4.0,16.0,8.0,3.3,0.0,0.0,0.0,0.0
40,58.479532,1.0,64.0,64.0,2048.0,1.0,2.0,16.0,3.5,0.0,0.0,0.0,0.0
41,49.751244,3.0,4.0,128.0,128.0,1.0,2.0,2.0,2.3,0.000171,27.963,0.5091652053000001,2.9775743
42,67.114094,3.0,8.0,128.0,2048.0,8.0,2.0,16.0,3.5,0.000201,35.487,1.049508837,5.221437
43,67.114094,3.0,8.0,128.0,2048.0,4.0,2.0,16.0,3.5,0.000149,55.806,0.967887163,6.495887
44,58.479532,1.0,4096.0,32.0,2048.0,4.0,2.0,16.0,3.5,0.000149,50.438,0.9424650809999998,6.325269
45,52.631579,4.0,1024.0,128.0,512.0,1.0,2.0,16.0,3.5,0.000171,61.577,1.0150672859999998,5.936065999999999
46,67.114094,3.0,512.0,128.0,512.0,1.0,8.0,16.0,3.5,0.00019,84.063,1.88933891,9.943889
47,67.114094,3.0,8.0,128.0,256.0,1.0,2.0,16.0,3.5,0.000149,53.531,1.001794944,6.7234560000000005
48,20.007191,9.0,8.0,128.0,2048.0,1.0,2.0,16.0,3.5,0.000149,39.493,0.8167521568999999,5.4815581
49,40.910954,5.0,1024.0,128.0,2048.0,1.0,2.0,16.0,2.0,0.000371,116.07,6.073976384,16.371904
50,58.479532,1.0,1024.0,128.0,8192.0,1.0,2.0,16.0,3.8,0.000195,111.96,2.562091935,13.138933
51,1.876154,15.0,1024.0,128.0,2048.0,1.0,2.0,16.0,3.5,0.000171,81.028,1.133932977,6.631187
52,67.114094,3.0,1024.0,64.0,2048.0,1.0,2.0,16.0,2.9,0.000586,301.59,21.08724809,35.985065
53,8.607036,9.0,1024.0,128.0,2048.0,1.0,2.0,1.0,3.1,0.000149,72.922,1.227658382,8.239318
54,3.710638,12.0,1024.0,128.0,2048.0,1.0,2.0,16.0,3.5,0.000332,187.07,7.287098544,21.949092
55,16.54415,7.0,1024.0,128.0,2048.0,1.0,2.0,16.0,3.5,0.00045,244.72,13.08127905,29.069509
56,59.171598,1.0,1024.0,128.0,2048.0,1.0,2.0,16.0,2.5,0.000269,149.9,4.686859898999999,17.423271
57,16.325767,6.0,1024.0,16.0,8192.0,1.0,8.0,16.0,3.5,0.000169,36.01,0.6510366719999999,3.852288
58,67.114094,3.0,1024.0,128.0,2048.0,1.0,2.0,16.0,2.8,0.000226,164.63,3.9981189920000006,17.690792000000002
59,18.234343,3.0,1024.0,128.0,16384.0,1.0,2.0,16.0,3.5,0.000149,74.005,1.2449146679999998,8.355132
60,67.114094,3.0,1024.0,128.0,2048.0,1.0,2.0,16.0,3.5,0.000149,191.85,2.244996708,15.067092
61,67.114094,3.0,1024.0,128.0,2048.0,1.0,2.0,16.0,3.5,0.000149,74.005,1.2379828899999998,8.30861
62,67.114094,3.0,1024.0,128.0,2048.0,1.0,2.0,16.0,3.5,0.000149,74.005,1.2379828899999998,8.30861
63,33.005083,5.0,1024.0,128.0,4096.0,1.0,2.0,16.0,3.5,0.000149,74.005,1.2379828899999998,8.30861
64,67.114094,3.0,1024.0,128.0,2048.0,1.0,2.0,16.0,3.5,0.000195,124.65,2.71143444,13.904792
65,0.0,3.0,1024.0,128.0,128.0,1.0,2.0,16.0,3.5,0.000149,74.005,1.2379828899999998,8.30861
66,2.377161,10.0,1024.0,1024.0,8192.0,4.0,2.0,16.0,3.5,0.0,0.0,0.0,0.0
67,67.114094,3.0,1024.0,4.0,2048.0,1.0,2.0,16.0,3.5,0.00038,332.72,12.53842604,32.995858
