l1_size,l2_size,noc_bw,offchip_bw,dim_num,dim_out,dim_mid,dim_in,p_c,p_k,p_x,p_y,p_r,p_s,o_c_out_0,o_k_out_0,o_x_out_0,o_y_out_0,o_r_out_0,o_s_out_0,o_c_mid_0,o_k_mid_0,o_x_mid_0,o_y_mid_0,o_r_mid_0,o_s_mid_0,o_c_in_0,o_k_in_0,o_x_in_0,o_y_in_0,o_r_in_0,o_s_in_0,t_c_d1_0,t_c_d2_0,t_c_d3_0,t_k_d1_0,t_k_d2_0,t_k_d3_0,t_x_d1_0,t_x_d2_0,t_x_d3_0,t_y_d1_0,t_y_d2_0,t_y_d3_0,o_c_out_1,o_k_out_1,o_x_out_1,o_y_out_1,o_r_out_1,o_s_out_1,o_c_mid_1,o_k_mid_1,o_x_mid_1,o_y_mid_1,o_r_mid_1,o_s_mid_1,o_c_in_1,o_k_in_1,o_x_in_1,o_y_in_1,o_r_in_1,o_s_in_1,t_c_d1_1,t_c_d2_1,t_c_d3_1,t_k_d1_1,t_k_d2_1,t_k_d3_1,t_x_d1_1,t_x_d2_1,t_x_d3_1,t_y_d1_1,t_y_d2_1,t_y_d3_1,latency,energy,area,power,cnt_pes,l1_mem,l2_mem,edp,vcnt
2048000.0,4096000.0,256.0,64.0,2.0,28.0,38.0,46.0,2.0,4.0,5.0,2.0,6.0,2.0,6.0,3.0,2.0,4.0,2.0,5.0,1.0,3.0,3.0,1.0,4.0,6.0,4.0,1.0,6.0,1.0,5.0,2.0,32.0,512.0,1.0,1024.0,4.0,1.0,1.0,1.0,1.0,128.0,4.0,1.0,6.0,3.0,4.0,1.0,1.0,6.0,2.0,5.0,3.0,2.0,3.0,4.0,4.0,5.0,5.0,4.0,6.0,3.0,256.0,1.0,1.0,1.0,1024.0,1.0,1.0,1.0,1.0,80.0,1.0,1.0,34502344713.0,216581980.0,2230080000.0,8.79450777777778,1748.0,10.0,544.0,7.472586132584072e+18,142.0
8192.0,256000.0,256.0,64.0,3.0,12.0,4.0,48.0,3.0,1.0,6.0,2.0,1.0,6.0,6.0,2.0,2.0,5.0,2.0,6.0,3.0,5.0,6.0,2.0,6.0,4.0,3.0,5.0,1.0,4.0,5.0,2.0,2.0,16.0,1.0,8.0,4.0,1.0,1.0,1.0,1.0,128.0,2.0,1.0,1.0,6.0,2.0,1.0,5.0,5.0,1.0,6.0,1.0,5.0,3.0,2.0,2.0,4.0,1.0,4.0,4.0,1.0,1.0,2.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,2.0,5.0,1.0,33118486569.0,99772066.0,3592000000.0,12.160088888888888,2304.0,10.0,6400.0,3.3042998277823816e+18,102.0
128000.0,256000.0,256.0,64.0,3.0,22.0,42.0,46.0,5.0,4.0,6.0,5.0,5.0,6.0,3.0,5.0,4.0,1.0,5.0,1.0,3.0,6.0,4.0,5.0,6.0,6.0,3.0,4.0,5.0,5.0,6.0,6.0,64.0,2048.0,1.0,256.0,1024.0,1.0,1.0,1.0,1.0,16.0,8.0,1.0,1.0,6.0,4.0,1.0,3.0,5.0,6.0,1.0,1.0,3.0,5.0,5.0,2.0,5.0,3.0,4.0,1.0,1.0,1.0,64.0,1.0,128.0,1.0,1.0,1.0,1.0,1.0,8.0,20.0,1.0,23286973369.0,34522777.7,936997000000.0,979.2743333333334,42504.0,10.0,4292608.0,8.039310049238071e+17,11.0
16000.0,8192000.0,256.0,64.0,3.0,4.0,2.0,32.0,1.0,4.0,2.0,1.0,1.0,6.0,3.0,2.0,4.0,3.0,1.0,2.0,6.0,1.0,2.0,5.0,1.0,4.0,5.0,6.0,5.0,4.0,6.0,2.0,4.0,256.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,4.0,4.0,1.0,1.0,3.0,2.0,6.0,3.0,6.0,5.0,2.0,3.0,4.0,1.0,1.0,3.0,6.0,1.0,2048.0,1.0,1024.0,1536.0,1.0,1.0,1.0,1.0,10.0,8.0,1.0,15844573984.0,42466000.0,133253000.0,13.324733333333334,256.0,10.0,6363136.0,6.72855678804544e+17,372.0
512.0,128000.0,256.0,64.0,3.0,24.0,42.0,38.0,6.0,4.0,4.0,1.0,3.0,2.0,4.0,6.0,5.0,1.0,3.0,1.0,6.0,2.0,6.0,1.0,5.0,3.0,6.0,3.0,2.0,1.0,4.0,3.0,128.0,512.0,1.0,256.0,2.0,1.0,1.0,1.0,1.0,64.0,4.0,1.0,4.0,1.0,3.0,4.0,3.0,1.0,3.0,1.0,3.0,5.0,5.0,5.0,3.0,2.0,1.0,2.0,6.0,2.0,512.0,2048.0,1.0,1536.0,3072.0,1.0,1.0,1.0,1.0,64.0,2.0,1.0,5050389476.0,32509719.0,762427000000.0,860.1141111111111,38304.0,10.0,26083328.0,1.6418674270531725e+17,16.0
64000.0,4096000.0,256.0,64.0,1.0,48.0,20.0,2.0,6.0,5.0,3.0,4.0,3.0,2.0,1.0,5.0,3.0,3.0,3.0,3.0,2.0,1.0,6.0,1.0,5.0,2.0,1.0,3.0,6.0,5.0,4.0,3.0,8.0,2.0,1.0,16.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,1.0,3.0,3.0,6.0,5.0,1.0,6.0,5.0,4.0,4.0,6.0,5.0,1.0,4.0,4.0,1.0,2.0,6.0,3.0,16.0,512.0,1.0,48.0,64.0,1.0,1.0,1.0,1.0,10.0,1.0,1.0,12213813257.0,214199000.0,1518110.0,0.0148321,2.0,10.0,16.0,2.616186585836143e+18,200.0
128000.0,512000.0,256.0,64.0,3.0,18.0,12.0,4.0,5.0,6.0,3.0,6.0,5.0,3.0,2.0,6.0,4.0,4.0,2.0,3.0,5.0,2.0,6.0,6.0,6.0,1.0,6.0,6.0,4.0,5.0,6.0,6.0,64.0,2.0,1.0,512.0,4.0,1.0,1.0,1.0,1.0,128.0,4.0,1.0,3.0,1.0,5.0,2.0,6.0,5.0,1.0,4.0,4.0,6.0,1.0,5.0,3.0,6.0,3.0,1.0,5.0,3.0,512.0,4096.0,1.0,16.0,128.0,1.0,1.0,1.0,1.0,2.0,16.0,1.0,106119808.0,34075048.0,715417000.0,41.61328888888888,864.0,10.0,19079168.0,3616037551350784.0,54.0
8192.0,16000.0,256.0,64.0,3.0,20.0,44.0,36.0,1.0,2.0,5.0,5.0,4.0,1.0,2.0,5.0,4.0,4.0,5.0,6.0,6.0,6.0,3.0,5.0,2.0,3.0,3.0,4.0,2.0,5.0,3.0,2.0,512.0,2.0,1.0,32.0,256.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,3.0,5.0,2.0,4.0,5.0,6.0,2.0,3.0,2.0,6.0,2.0,1.0,6.0,3.0,4.0,5.0,4.0,4096.0,16.0,1.0,3072.0,16.0,1.0,1.0,1.0,1.0,16.0,16.0,1.0,24466361816.0,41224320.0,523639000000.0,623.8015555555555,31680.0,10.0,25395200.0,1.0086091287385651e+18,2.0
8192.0,2048000.0,256.0,64.0,3.0,48.0,30.0,48.0,1.0,6.0,1.0,1.0,2.0,3.0,4.0,2.0,1.0,5.0,3.0,5.0,1.0,3.0,2.0,3.0,5.0,5.0,3.0,3.0,2.0,6.0,4.0,2.0,64.0,1.0,1.0,32.0,128.0,1.0,1.0,1.0,1.0,16.0,8.0,1.0,3.0,4.0,3.0,2.0,3.0,5.0,4.0,4.0,1.0,3.0,1.0,1.0,4.0,3.0,6.0,6.0,5.0,5.0,512.0,1024.0,1.0,1.0,1536.0,1.0,1.0,1.0,1.0,10.0,32.0,1.0,10338341824.0,33780354.0,2461270000000.0,2400.6,69120.0,10.0,6455296.0,3.492328465877257e+17,8.0
256.0,8192000.0,256.0,64.0,3.0,40.0,34.0,28.0,5.0,3.0,5.0,4.0,2.0,1.0,2.0,5.0,1.0,2.0,3.0,5.0,4.0,5.0,2.0,2.0,1.0,3.0,2.0,5.0,2.0,4.0,6.0,3.0,8.0,2048.0,1.0,32.0,2.0,1.0,1.0,1.0,1.0,1.0,16.0,1.0,2.0,3.0,5.0,6.0,1.0,1.0,3.0,1.0,5.0,5.0,2.0,6.0,6.0,1.0,2.0,5.0,4.0,6.0,1024.0,512.0,1.0,32.0,4.0,1.0,1.0,1.0,1.0,5.0,64.0,1.0,4259870912.0,33734776.0,753619000000.0,799.7204444444445,38080.0,10.0,790528.0,1.4370579100523571e+17,140.0
