l1_size,l2_size,noc_bw,offchip_bw,dim_num,dim_out,dim_mid,dim_in,p_c,p_k,p_x,p_y,p_r,p_s,o_c_out_0,o_k_out_0,o_x_out_0,o_y_out_0,o_r_out_0,o_s_out_0,o_c_mid_0,o_k_mid_0,o_x_mid_0,o_y_mid_0,o_r_mid_0,o_s_mid_0,o_c_in_0,o_k_in_0,o_x_in_0,o_y_in_0,o_r_in_0,o_s_in_0,t_c_d1_0,t_c_d2_0,t_c_d3_0,t_k_d1_0,t_k_d2_0,t_k_d3_0,t_x_d1_0,t_x_d2_0,t_x_d3_0,t_y_d1_0,t_y_d2_0,t_y_d3_0,o_c_out_1,o_k_out_1,o_x_out_1,o_y_out_1,o_r_out_1,o_s_out_1,o_c_mid_1,o_k_mid_1,o_x_mid_1,o_y_mid_1,o_r_mid_1,o_s_mid_1,o_c_in_1,o_k_in_1,o_x_in_1,o_y_in_1,o_r_in_1,o_s_in_1,t_c_d1_1,t_c_d2_1,t_c_d3_1,t_k_d1_1,t_k_d2_1,t_k_d3_1,t_x_d1_1,t_x_d2_1,t_x_d3_1,t_y_d1_1,t_y_d2_1,t_y_d3_1,o_c_out_2,o_k_out_2,o_x_out_2,o_y_out_2,o_r_out_2,o_s_out_2,o_c_mid_2,o_k_mid_2,o_x_mid_2,o_y_mid_2,o_r_mid_2,o_s_mid_2,o_c_in_2,o_k_in_2,o_x_in_2,o_y_in_2,o_r_in_2,o_s_in_2,t_c_d1_2,t_c_d2_2,t_c_d3_2,t_k_d1_2,t_k_d2_2,t_k_d3_2,t_x_d1_2,t_x_d2_2,t_x_d3_2,t_y_d1_2,t_y_d2_2,t_y_d3_2,o_c_out_3,o_k_out_3,o_x_out_3,o_y_out_3,o_r_out_3,o_s_out_3,o_c_mid_3,o_k_mid_3,o_x_mid_3,o_y_mid_3,o_r_mid_3,o_s_mid_3,o_c_in_3,o_k_in_3,o_x_in_3,o_y_in_3,o_r_in_3,o_s_in_3,t_c_d1_3,t_c_d2_3,t_c_d3_3,t_k_d1_3,t_k_d2_3,t_k_d3_3,t_x_d1_3,t_x_d2_3,t_x_d3_3,t_y_d1_3,t_y_d2_3,t_y_d3_3,o_c_out_4,o_k_out_4,o_x_out_4,o_y_out_4,o_r_out_4,o_s_out_4,o_c_mid_4,o_k_mid_4,o_x_mid_4,o_y_mid_4,o_r_mid_4,o_s_mid_4,o_c_in_4,o_k_in_4,o_x_in_4,o_y_in_4,o_r_in_4,o_s_in_4,t_c_d1_4,t_c_d2_4,t_c_d3_4,t_k_d1_4,t_k_d2_4,t_k_d3_4,t_x_d1_4,t_x_d2_4,t_x_d3_4,t_y_d1_4,t_y_d2_4,t_y_d3_4,o_c_out_5,o_k_out_5,o_x_out_5,o_y_out_5,o_r_out_5,o_s_out_5,o_c_mid_5,o_k_mid_5,o_x_mid_5,o_y_mid_5,o_r_mid_5,o_s_mid_5,o_c_in_5,o_k_in_5,o_x_in_5,o_y_in_5,o_r_in_5,o_s_in_5,t_c_d1_5,t_c_d2_5,t_c_d3_5,t_k_d1_5,t_k_d2_5,t_k_d3_5,t_x_d1_5,t_x_d2_5,t_x_d3_5,t_y_d1_5,t_y_d2_5,t_y_d3_5,o_c_out_6,o_k_out_6,o_x_out_6,o_y_out_6,o_r_out_6,o_s_out_6,o_c_mid_6,o_k_mid_6,o_x_mid_6,o_y_mid_6,o_r_mid_6,o_s_mid_6,o_c_in_6,o_k_in_6,o_x_in_6,o_y_in_6,o_r_in_6,o_s_in_6,t_c_d1_6,t_c_d2_6,t_c_d3_6,t_k_d1_6,t_k_d2_6,t_k_d3_6,t_x_d1_6,t_x_d2_6,t_x_d3_6,t_y_d1_6,t_y_d2_6,t_y_d3_6,latency,energy,area,power,cnt_pes,l1_mem,l2_mem,edp,vcnt
128.0,4096000.0,256.0,64.0,2.0,36.0,40.0,44.0,3.0,2.0,3.0,6.0,6.0,5.0,3.0,5.0,1.0,4.0,6.0,3.0,2.0,2.0,3.0,1.0,3.0,3.0,6.0,2.0,6.0,2.0,1.0,4.0,256.0,1.0,1.0,1.0,512.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,5.0,6.0,1.0,3.0,6.0,1.0,2.0,6.0,1.0,4.0,5.0,1.0,6.0,3.0,3.0,1.0,3.0,16.0,2.0,1.0,8.0,16.0,1.0,8.0,128.0,1.0,1.0,1.0,1.0,3.0,3.0,4.0,4.0,3.0,6.0,3.0,1.0,3.0,4.0,1.0,1.0,1.0,6.0,1.0,3.0,3.0,1.0,16.0,4.0,1.0,32.0,64.0,1.0,64.0,16.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,5.0,6.0,6.0,4.0,4.0,2.0,3.0,1.0,5.0,3.0,3.0,1.0,4.0,4.0,128.0,1.0,1.0,16.0,128.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,5.0,2.0,4.0,2.0,4.0,4.0,4.0,6.0,3.0,4.0,5.0,2.0,2.0,5.0,4.0,6.0,2.0,256.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,3.0,1.0,2.0,1.0,1.0,4.0,5.0,2.0,6.0,6.0,5.0,5.0,6.0,1.0,3.0,6.0,64.0,1.0,1.0,256.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,6.0,3.0,2.0,6.0,4.0,5.0,3.0,2.0,5.0,4.0,6.0,1.0,6.0,1.0,1.0,2.0,3.0,256.0,16.0,1.0,512.0,512.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7280744856.0,47729771.66000001,2256250000.0,9.615400555555556,1760.0,514.0,151552.0,3.475082894915997e+17,234.0
1024.0,4096000.0,256.0,64.0,3.0,36.0,42.0,48.0,5.0,2.0,6.0,5.0,3.0,6.0,5.0,3.0,5.0,5.0,5.0,4.0,2.0,5.0,4.0,3.0,4.0,3.0,1.0,4.0,2.0,6.0,5.0,1.0,16.0,512.0,1.0,3.0,64.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,3.0,3.0,5.0,1.0,3.0,3.0,5.0,4.0,2.0,5.0,4.0,6.0,4.0,1.0,1.0,3.0,5.0,8.0,8.0,1.0,64.0,32.0,1.0,8.0,32.0,1.0,1.0,1.0,1.0,5.0,3.0,2.0,4.0,4.0,5.0,1.0,3.0,1.0,2.0,3.0,6.0,5.0,5.0,3.0,6.0,5.0,6.0,4.0,16.0,1.0,16.0,64.0,1.0,4.0,16.0,1.0,1.0,1.0,1.0,6.0,2.0,3.0,4.0,3.0,2.0,1.0,6.0,3.0,4.0,1.0,6.0,1.0,1.0,4.0,2.0,6.0,2.0,32.0,64.0,1.0,16.0,64.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,6.0,4.0,5.0,4.0,5.0,5.0,3.0,1.0,4.0,1.0,5.0,1.0,3.0,3.0,5.0,2.0,3.0,128.0,1.0,1.0,32.0,1024.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,3.0,3.0,4.0,2.0,6.0,2.0,6.0,3.0,4.0,6.0,1.0,2.0,5.0,4.0,6.0,1.0,16.0,256.0,1.0,8.0,32.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,4.0,5.0,1.0,5.0,4.0,2.0,3.0,1.0,3.0,1.0,2.0,1.0,2.0,2.0,5.0,64.0,1.0,1.0,32.0,256.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2634743336.0,12283137.44,2712150000000.0,2648.031423611111,72576.0,514.0,557056.0,3.23629145152121e+16,6.0
1024000.0,2048000.0,256.0,64.0,3.0,6.0,12.0,36.0,3.0,3.0,4.0,5.0,6.0,4.0,5.0,6.0,5.0,1.0,4.0,3.0,5.0,4.0,4.0,1.0,2.0,5.0,2.0,6.0,5.0,5.0,4.0,6.0,2.0,1.0,1.0,32.0,96.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,4.0,2.0,1.0,2.0,4.0,4.0,3.0,2.0,5.0,4.0,4.0,3.0,4.0,1.0,6.0,4.0,32.0,1.0,1.0,1.0,8.0,1.0,64.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,3.0,4.0,5.0,2.0,3.0,6.0,6.0,2.0,6.0,6.0,3.0,2.0,1.0,3.0,2.0,6.0,8.0,128.0,1.0,32.0,4.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,6.0,1.0,1.0,2.0,6.0,4.0,6.0,1.0,5.0,6.0,1.0,6.0,4.0,6.0,2.0,3.0,128.0,8.0,1.0,16.0,16.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,4.0,3.0,6.0,3.0,4.0,6.0,4.0,2.0,4.0,2.0,5.0,3.0,3.0,2.0,2.0,64.0,32.0,1.0,32.0,1024.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,2.0,3.0,5.0,3.0,2.0,5.0,3.0,6.0,5.0,4.0,2.0,2.0,3.0,6.0,6.0,512.0,32.0,1.0,32.0,128.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,6.0,6.0,2.0,3.0,1.0,3.0,5.0,3.0,3.0,5.0,1.0,3.0,2.0,3.0,32.0,1.0,1.0,256.0,128.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7356783562.0,15766228.64,4421500000.0,15.27335381944444,2592.0,514.0,409600.0,1.1598873169348562e+17,145.0
128.0,512000.0,256.0,64.0,3.0,28.0,48.0,24.0,4.0,1.0,1.0,6.0,5.0,6.0,1.0,4.0,3.0,3.0,6.0,4.0,3.0,4.0,6.0,1.0,6.0,1.0,5.0,5.0,2.0,3.0,2.0,6.0,64.0,64.0,1.0,128.0,1536.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,2.0,5.0,2.0,4.0,3.0,2.0,2.0,3.0,6.0,5.0,4.0,6.0,4.0,2.0,8.0,1.0,1.0,64.0,4.0,1.0,8.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,3.0,2.0,1.0,5.0,4.0,5.0,4.0,5.0,5.0,1.0,4.0,4.0,3.0,16.0,2.0,1.0,32.0,8.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,5.0,6.0,1.0,2.0,4.0,1.0,6.0,2.0,3.0,5.0,3.0,1.0,6.0,5.0,256.0,1.0,1.0,128.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,6.0,4.0,6.0,6.0,3.0,3.0,5.0,1.0,6.0,1.0,6.0,6.0,4.0,2.0,5.0,4.0,2.0,128.0,128.0,1.0,1024.0,128.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,3.0,4.0,3.0,6.0,4.0,6.0,6.0,6.0,3.0,2.0,6.0,2.0,6.0,4.0,5.0,5.0,1024.0,2048.0,1.0,4.0,256.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,6.0,3.0,4.0,4.0,3.0,4.0,2.0,3.0,2.0,1.0,3.0,2.0,2.0,2.0,3.0,5.0,5.0,512.0,1.0,1.0,8.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7262243416.0,12111211.059999999,542627000000.0,607.6135555555555,32256.0,514.0,1638400.0,8.795456278027138e+16,20.0
8192.0,4096000.0,256.0,64.0,3.0,36.0,30.0,36.0,6.0,2.0,4.0,1.0,1.0,4.0,5.0,3.0,4.0,1.0,2.0,1.0,4.0,2.0,4.0,4.0,2.0,3.0,1.0,4.0,3.0,2.0,4.0,5.0,64.0,4.0,1.0,16.0,16.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,1.0,5.0,1.0,3.0,2.0,4.0,4.0,1.0,4.0,4.0,4.0,6.0,6.0,5.0,6.0,64.0,8.0,1.0,8.0,128.0,1.0,32.0,16.0,1.0,1.0,1.0,1.0,5.0,6.0,4.0,3.0,6.0,5.0,1.0,5.0,4.0,4.0,1.0,1.0,1.0,3.0,5.0,1.0,2.0,4.0,4.0,2.0,1.0,32.0,64.0,1.0,64.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,4.0,4.0,5.0,6.0,5.0,2.0,5.0,3.0,4.0,2.0,5.0,2.0,5.0,3.0,5.0,3.0,4.0,256.0,1.0,128.0,128.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,5.0,2.0,5.0,5.0,4.0,3.0,3.0,4.0,6.0,1.0,2.0,3.0,3.0,3.0,1.0,512.0,1.0,256.0,128.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,4.0,4.0,3.0,6.0,4.0,3.0,2.0,1.0,3.0,5.0,5.0,6.0,6.0,4.0,6.0,2.0,3.0,256.0,64.0,1.0,1.0,32.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,6.0,6.0,6.0,4.0,1.0,4.0,1.0,1.0,4.0,6.0,3.0,6.0,5.0,3.0,4.0,6.0,3.0,32.0,256.0,1.0,16.0,1024.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3207053922.0,11785475.759999998,785304000000.0,844.9205138888889,38880.0,514.0,1441792.0,3.779665625874393e+16,40.0
128.0,512000.0,256.0,64.0,3.0,12.0,32.0,36.0,4.0,5.0,3.0,4.0,5.0,4.0,3.0,2.0,1.0,3.0,1.0,6.0,3.0,3.0,6.0,1.0,4.0,2.0,3.0,1.0,4.0,6.0,3.0,5.0,8.0,2.0,1.0,2.0,1536.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,3.0,4.0,1.0,1.0,6.0,4.0,2.0,6.0,1.0,3.0,4.0,1.0,3.0,6.0,2.0,6.0,3.0,16.0,64.0,1.0,4.0,64.0,1.0,8.0,4.0,1.0,1.0,1.0,1.0,6.0,3.0,2.0,3.0,2.0,3.0,1.0,2.0,1.0,3.0,1.0,1.0,5.0,6.0,5.0,2.0,1.0,1.0,128.0,32.0,1.0,8.0,16.0,1.0,32.0,64.0,1.0,1.0,1.0,1.0,3.0,6.0,1.0,1.0,5.0,1.0,3.0,1.0,2.0,5.0,1.0,1.0,3.0,6.0,1.0,2.0,3.0,1.0,4.0,512.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,5.0,2.0,4.0,4.0,5.0,6.0,4.0,3.0,2.0,1.0,3.0,5.0,5.0,3.0,5.0,4.0,5.0,256.0,512.0,1.0,16.0,1024.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,3.0,5.0,2.0,5.0,5.0,6.0,2.0,4.0,3.0,1.0,1.0,6.0,4.0,2.0,4.0,128.0,128.0,1.0,64.0,16.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,1.0,5.0,1.0,6.0,3.0,2.0,5.0,1.0,3.0,2.0,4.0,3.0,4.0,4.0,2.0,2.0,256.0,256.0,1.0,64.0,64.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,926301656.0,12735052.88,102705000000.0,149.31895833333334,13824.0,514.0,2490368.0,1.179650057199157e+16,41.0
8192.0,4096000.0,256.0,64.0,3.0,48.0,40.0,28.0,1.0,4.0,5.0,2.0,1.0,2.0,2.0,4.0,3.0,3.0,4.0,3.0,4.0,5.0,5.0,2.0,1.0,1.0,4.0,1.0,2.0,6.0,2.0,1.0,1.0,256.0,1.0,96.0,12.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,4.0,4.0,5.0,5.0,3.0,4.0,2.0,5.0,1.0,1.0,6.0,1.0,5.0,2.0,4.0,5.0,8.0,4.0,1.0,2.0,1.0,1.0,16.0,16.0,1.0,1.0,1.0,1.0,3.0,4.0,6.0,1.0,3.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,1.0,6.0,4.0,2.0,2.0,4.0,2.0,128.0,1.0,8.0,16.0,1.0,16.0,8.0,1.0,1.0,1.0,1.0,6.0,5.0,6.0,6.0,3.0,2.0,3.0,2.0,5.0,4.0,5.0,2.0,2.0,3.0,1.0,2.0,5.0,3.0,16.0,4.0,1.0,16.0,256.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,5.0,1.0,6.0,1.0,5.0,5.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,5.0,6.0,3.0,2.0,8.0,8.0,1.0,2048.0,16.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,6.0,2.0,6.0,6.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,2.0,5.0,4.0,1.0,2.0,128.0,2.0,1.0,64.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,6.0,4.0,2.0,3.0,4.0,5.0,5.0,6.0,4.0,2.0,5.0,4.0,3.0,5.0,3.0,2.0,256.0,32.0,1.0,8.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,454008744.0,13576404.7,1493510000000.0,1518.364201388889,53760.0,514.0,559104.0,6163806445882696.0,10.0
256.0,1024000.0,256.0,64.0,3.0,40.0,38.0,32.0,6.0,3.0,6.0,6.0,1.0,1.0,6.0,3.0,6.0,4.0,6.0,5.0,2.0,6.0,2.0,2.0,3.0,1.0,2.0,4.0,1.0,3.0,4.0,5.0,64.0,1.0,1.0,96.0,512.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,2.0,3.0,5.0,3.0,5.0,2.0,6.0,5.0,5.0,4.0,3.0,5.0,5.0,5.0,4.0,1.0,2.0,4.0,32.0,1.0,32.0,128.0,1.0,128.0,128.0,1.0,1.0,1.0,1.0,5.0,1.0,2.0,6.0,6.0,2.0,6.0,4.0,4.0,6.0,4.0,2.0,6.0,1.0,5.0,1.0,6.0,4.0,64.0,32.0,1.0,8.0,16.0,1.0,32.0,2.0,1.0,1.0,1.0,1.0,3.0,5.0,1.0,1.0,6.0,5.0,5.0,4.0,3.0,6.0,1.0,1.0,1.0,3.0,6.0,3.0,1.0,4.0,512.0,128.0,1.0,512.0,32.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,5.0,1.0,5.0,1.0,6.0,6.0,6.0,5.0,1.0,4.0,4.0,2.0,1.0,3.0,5.0,6.0,2.0,4.0,16.0,1.0,1.0,64.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,6.0,1.0,4.0,4.0,4.0,5.0,4.0,2.0,6.0,3.0,4.0,3.0,3.0,1.0,3.0,1.0,3.0,128.0,8.0,1.0,512.0,64.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,5.0,3.0,1.0,5.0,3.0,3.0,5.0,4.0,3.0,5.0,6.0,6.0,3.0,3.0,1.0,5.0,512.0,4.0,1.0,512.0,128.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1226516325.0,11799454.02,1224360000000.0,1265.5208333333333,48640.0,514.0,2752512.0,1.4472222981616876e+16,2.0
256000.0,1024000.0,256.0,64.0,1.0,12.0,16.0,2.0,4.0,6.0,3.0,2.0,5.0,2.0,2.0,1.0,5.0,5.0,1.0,4.0,4.0,5.0,3.0,3.0,6.0,4.0,6.0,5.0,2.0,6.0,4.0,1.0,512.0,64.0,1.0,16.0,48.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,4.0,1.0,2.0,3.0,6.0,6.0,4.0,2.0,3.0,6.0,3.0,4.0,3.0,5.0,1.0,2.0,4.0,64.0,2.0,1.0,32.0,8.0,1.0,4.0,32.0,1.0,1.0,1.0,1.0,1.0,6.0,6.0,3.0,3.0,6.0,1.0,1.0,1.0,5.0,6.0,2.0,5.0,2.0,3.0,4.0,5.0,6.0,1.0,8.0,1.0,4.0,8.0,1.0,2.0,64.0,1.0,1.0,1.0,1.0,1.0,6.0,6.0,4.0,3.0,3.0,4.0,6.0,1.0,4.0,2.0,6.0,1.0,2.0,5.0,3.0,4.0,2.0,256.0,64.0,1.0,512.0,64.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,6.0,3.0,3.0,1.0,4.0,3.0,1.0,4.0,5.0,4.0,6.0,6.0,3.0,4.0,3.0,5.0,4.0,2.0,256.0,1.0,2048.0,64.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,3.0,1.0,3.0,1.0,6.0,6.0,2.0,2.0,3.0,2.0,6.0,3.0,5.0,6.0,5.0,64.0,2.0,1.0,16.0,128.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,6.0,2.0,5.0,3.0,6.0,1.0,6.0,2.0,1.0,1.0,1.0,3.0,4.0,6.0,5.0,1.0,6.0,1.0,2.0,1.0,1.0,32.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3619684640.0,50827431.199999996,1518290.0,0.016317325,2.0,514.0,772.0,1.8397927200529674e+17,26.0
128000.0,16000000.0,256.0,64.0,3.0,14.0,44.0,8.0,1.0,4.0,1.0,2.0,2.0,1.0,4.0,4.0,4.0,4.0,1.0,6.0,1.0,3.0,3.0,1.0,4.0,3.0,3.0,6.0,4.0,3.0,3.0,5.0,512.0,16.0,1.0,2.0,1536.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,6.0,5.0,3.0,2.0,6.0,5.0,6.0,2.0,3.0,2.0,1.0,5.0,3.0,3.0,3.0,4.0,5.0,1.0,8.0,1.0,16.0,32.0,1.0,64.0,64.0,1.0,1.0,1.0,1.0,5.0,6.0,6.0,3.0,3.0,3.0,2.0,5.0,5.0,1.0,4.0,2.0,1.0,1.0,6.0,5.0,4.0,5.0,8.0,32.0,1.0,128.0,1.0,1.0,8.0,16.0,1.0,1.0,1.0,1.0,4.0,5.0,6.0,3.0,6.0,2.0,6.0,5.0,5.0,3.0,4.0,3.0,6.0,3.0,1.0,3.0,3.0,1.0,64.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,1.0,4.0,6.0,3.0,1.0,5.0,6.0,4.0,6.0,3.0,4.0,3.0,3.0,6.0,128.0,512.0,1.0,1024.0,128.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,6.0,4.0,5.0,6.0,1.0,2.0,2.0,2.0,1.0,4.0,4.0,1.0,1.0,1.0,3.0,4.0,32.0,16.0,1.0,512.0,256.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,6.0,2.0,1.0,1.0,5.0,3.0,5.0,6.0,1.0,3.0,1.0,1.0,4.0,4.0,3.0,5.0,8.0,512.0,1.0,32.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5334074244.0,12292276.58,14272300000.0,34.758892708333335,4928.0,514.0,2490368.0,6.556791590550241e+16,6.0
