l1_size,l2_size,noc_bw,offchip_bw,dim_num,dim_out,dim_mid,dim_in,p_c,p_k,p_x,p_y,p_r,p_s,o_c_out_0,o_k_out_0,o_x_out_0,o_y_out_0,o_r_out_0,o_s_out_0,o_c_mid_0,o_k_mid_0,o_x_mid_0,o_y_mid_0,o_r_mid_0,o_s_mid_0,o_c_in_0,o_k_in_0,o_x_in_0,o_y_in_0,o_r_in_0,o_s_in_0,t_c_d1_0,t_c_d2_0,t_c_d3_0,t_k_d1_0,t_k_d2_0,t_k_d3_0,t_x_d1_0,t_x_d2_0,t_x_d3_0,t_y_d1_0,t_y_d2_0,t_y_d3_0,o_c_out_1,o_k_out_1,o_x_out_1,o_y_out_1,o_r_out_1,o_s_out_1,o_c_mid_1,o_k_mid_1,o_x_mid_1,o_y_mid_1,o_r_mid_1,o_s_mid_1,o_c_in_1,o_k_in_1,o_x_in_1,o_y_in_1,o_r_in_1,o_s_in_1,t_c_d1_1,t_c_d2_1,t_c_d3_1,t_k_d1_1,t_k_d2_1,t_k_d3_1,t_x_d1_1,t_x_d2_1,t_x_d3_1,t_y_d1_1,t_y_d2_1,t_y_d3_1,latency,energy,area,power,cnt_pes,l1_mem,l2_mem,edp
1024000.0,16000000.0,256.0,64.0,2.0,6.0,10.0,36.0,3.0,6.0,2.0,6.0,5.0,3.0,4.0,5.0,3.0,3.0,5.0,2.0,4.0,3.0,1.0,5.0,1.0,6.0,1.0,5.0,5.0,1.0,1.0,5.0,4.0,512.0,1.0,128.0,256.0,1.0,1.0,1.0,1.0,32.0,16.0,1.0,1.0,2.0,5.0,1.0,5.0,4.0,2.0,2.0,4.0,2.0,2.0,1.0,1.0,4.0,2.0,3.0,3.0,2.0,256.0,16.0,1.0,1024.0,24.0,1.0,1.0,1.0,1.0,160.0,4.0,1.0,1090867364.0,43900750.0,205240000.0,1.6941666666666668,360.0,10.0,51328.0,4.7889895430123e+16
8192.0,128000.0,256.0,64.0,3.0,42.0,46.0,4.0,6.0,6.0,5.0,6.0,5.0,5.0,4.0,6.0,3.0,4.0,6.0,6.0,1.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,2.0,5.0,1.0,1.0,256.0,32.0,1.0,1.0,8.0,1.0,1.0,1.0,1.0,64.0,1.0,1.0,4.0,6.0,2.0,6.0,3.0,3.0,4.0,5.0,6.0,3.0,4.0,2.0,3.0,4.0,4.0,1.0,5.0,4.0,512.0,512.0,1.0,192.0,512.0,1.0,1.0,1.0,1.0,20.0,5.0,1.0,412115584.0,33820450.0,33407900000.0,68.40258888888889,7728.0,10.0,4378624.0,1.39379345028928e+16
16000.0,64000.0,256.0,64.0,3.0,34.0,16.0,46.0,4.0,1.0,3.0,2.0,3.0,3.0,5.0,5.0,6.0,6.0,2.0,6.0,2.0,6.0,3.0,3.0,6.0,5.0,6.0,5.0,6.0,1.0,3.0,4.0,512.0,2048.0,1.0,128.0,16.0,1.0,1.0,1.0,1.0,32.0,128.0,1.0,3.0,6.0,1.0,5.0,2.0,4.0,5.0,3.0,1.0,5.0,6.0,2.0,1.0,6.0,3.0,1.0,3.0,5.0,1024.0,8.0,1.0,3.0,48.0,1.0,1.0,1.0,1.0,80.0,5.0,1.0,7222633728.0,33481761.8,328740000000.0,386.28922222222224,25024.0,10.0,2129920.0,2.4182650204954198e+17
1024.0,2048000.0,256.0,64.0,2.0,36.0,42.0,32.0,4.0,1.0,2.0,6.0,2.0,2.0,1.0,1.0,4.0,2.0,2.0,5.0,4.0,4.0,1.0,6.0,6.0,6.0,4.0,6.0,3.0,4.0,1.0,2.0,2.0,512.0,1.0,1024.0,64.0,1.0,1.0,1.0,1.0,32.0,8.0,1.0,6.0,6.0,4.0,1.0,2.0,6.0,6.0,6.0,6.0,1.0,6.0,2.0,5.0,6.0,1.0,3.0,3.0,5.0,8.0,8.0,1.0,192.0,4.0,1.0,1.0,1.0,1.0,32.0,2.0,1.0,220987405.0,69444320.0,1438130000.0,6.555021111111111,1344.0,10.0,17152.0,1.53463200687896e+16
2048000.0,32000000.0,256.0,64.0,1.0,8.0,18.0,6.0,3.0,1.0,4.0,4.0,6.0,3.0,4.0,5.0,3.0,3.0,5.0,6.0,2.0,4.0,4.0,5.0,6.0,5.0,6.0,5.0,5.0,5.0,1.0,1.0,2.0,2048.0,1.0,1.0,64.0,1.0,1.0,1.0,1.0,64.0,16.0,1.0,5.0,5.0,1.0,2.0,3.0,4.0,1.0,6.0,1.0,5.0,2.0,4.0,1.0,1.0,4.0,2.0,6.0,2.0,2.0,1.0,1.0,64.0,2.0,1.0,1.0,1.0,1.0,4.0,5.0,1.0,24427626505.0,209657100.0,3069380.0,0.0318497,6.0,10.0,10.0,5.121425332921435e+18
512.0,256000.0,256.0,64.0,2.0,38.0,10.0,44.0,5.0,4.0,4.0,2.0,4.0,6.0,3.0,4.0,5.0,4.0,1.0,6.0,3.0,2.0,3.0,3.0,1.0,4.0,5.0,6.0,1.0,2.0,5.0,1.0,4.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,4.0,1.0,2.0,4.0,4.0,4.0,5.0,5.0,2.0,6.0,3.0,1.0,3.0,6.0,1.0,6.0,1.0,2.0,1.0,6.0,4096.0,1.0,1.0,24.0,12.0,1.0,1.0,1.0,1.0,1.0,40.0,1.0,24192745481.0,145362530.0,268615000.0,1.9659466666666667,440.0,10.0,76.0,3.516718690764227e+18
8192.0,64000.0,256.0,64.0,3.0,46.0,22.0,32.0,2.0,3.0,4.0,2.0,2.0,3.0,5.0,3.0,3.0,6.0,3.0,1.0,6.0,4.0,3.0,2.0,1.0,2.0,3.0,3.0,6.0,2.0,5.0,6.0,16.0,32.0,1.0,256.0,8.0,1.0,1.0,1.0,1.0,16.0,32.0,1.0,4.0,3.0,1.0,2.0,3.0,6.0,4.0,1.0,2.0,4.0,5.0,3.0,2.0,4.0,1.0,1.0,5.0,1.0,64.0,1.0,1.0,24.0,128.0,1.0,1.0,1.0,1.0,64.0,32.0,1.0,4048590720.0,35410765.0,546891000000.0,597.6126666666667,32384.0,10.0,40960.0,1.433636945671008e+17
8192.0,16000000.0,256.0,64.0,1.0,18.0,4.0,12.0,1.0,1.0,2.0,5.0,6.0,2.0,6.0,2.0,2.0,1.0,6.0,5.0,4.0,1.0,1.0,6.0,6.0,1.0,5.0,1.0,3.0,5.0,1.0,4.0,1024.0,256.0,1.0,32.0,2.0,1.0,1.0,1.0,1.0,128.0,2.0,1.0,4.0,4.0,5.0,2.0,2.0,4.0,5.0,2.0,3.0,4.0,2.0,3.0,2.0,3.0,6.0,2.0,6.0,2.0,4096.0,4.0,1.0,1536.0,16.0,1.0,1.0,1.0,1.0,80.0,2.0,1.0,24427626505.0,247035780.0,5431850.0,0.0574071,12.0,10.0,10.0,6.034497767211349e+18
1024.0,1024000.0,256.0,64.0,2.0,34.0,38.0,42.0,2.0,3.0,1.0,5.0,6.0,1.0,6.0,6.0,1.0,3.0,1.0,3.0,3.0,3.0,1.0,3.0,4.0,2.0,3.0,3.0,3.0,1.0,6.0,6.0,4096.0,2.0,1.0,512.0,1.0,1.0,1.0,1.0,1.0,128.0,8.0,1.0,3.0,5.0,4.0,1.0,3.0,5.0,1.0,3.0,6.0,5.0,2.0,3.0,6.0,2.0,1.0,1.0,3.0,1.0,256.0,4.0,1.0,96.0,12.0,1.0,1.0,1.0,1.0,16.0,1.0,1.0,21684551689.0,135555660.0,1912600000.0,7.923605555555555,1596.0,10.0,160.0,2.9394637160065096e+18
512.0,32000.0,256.0,64.0,2.0,6.0,48.0,8.0,2.0,6.0,3.0,4.0,5.0,6.0,2.0,5.0,6.0,5.0,3.0,2.0,5.0,3.0,4.0,6.0,1.0,6.0,2.0,1.0,2.0,2.0,3.0,5.0,64.0,16.0,1.0,256.0,16.0,1.0,1.0,1.0,1.0,1.0,8.0,1.0,5.0,4.0,2.0,5.0,2.0,5.0,5.0,1.0,5.0,2.0,1.0,1.0,6.0,6.0,4.0,1.0,3.0,6.0,1024.0,2.0,1.0,384.0,6.0,1.0,1.0,1.0,1.0,160.0,2.0,1.0,551420115.0,128159400.0,223566000.0,1.7538466666666668,384.0,10.0,27712.0,7.0669671086331e+16
512.0,1024000.0,256.0,64.0,2.0,22.0,28.0,36.0,1.0,4.0,4.0,4.0,1.0,6.0,4.0,4.0,6.0,2.0,3.0,5.0,3.0,3.0,5.0,1.0,6.0,3.0,5.0,1.0,6.0,6.0,6.0,5.0,8.0,512.0,1.0,8.0,256.0,1.0,1.0,1.0,1.0,16.0,128.0,1.0,3.0,6.0,6.0,5.0,2.0,5.0,1.0,5.0,6.0,4.0,3.0,1.0,6.0,4.0,3.0,3.0,2.0,5.0,16.0,128.0,1.0,192.0,8.0,1.0,1.0,1.0,1.0,80.0,320.0,1.0,3059613730.0,54705730.0,906185000.0,4.755472222222223,1008.0,10.0,4096.0,1.673784026176729e+17
512000.0,1024000.0,256.0,64.0,3.0,26.0,48.0,8.0,4.0,3.0,1.0,1.0,6.0,2.0,5.0,5.0,5.0,5.0,3.0,5.0,6.0,2.0,6.0,4.0,3.0,4.0,2.0,5.0,5.0,4.0,5.0,1.0,4.0,128.0,1.0,16.0,4.0,1.0,1.0,1.0,1.0,16.0,2.0,1.0,4.0,6.0,5.0,3.0,5.0,6.0,2.0,6.0,2.0,4.0,5.0,6.0,3.0,6.0,6.0,6.0,2.0,2.0,512.0,1024.0,1.0,8.0,1536.0,1.0,1.0,1.0,1.0,160.0,4.0,1.0,1297085376.0,33808722.0,54638400000.0,93.83757777777778,9984.0,10.0,3964928.0,4.385279888744947e+16
16000.0,256000.0,256.0,64.0,1.0,46.0,10.0,44.0,6.0,2.0,4.0,5.0,6.0,3.0,2.0,1.0,6.0,4.0,2.0,6.0,1.0,3.0,1.0,5.0,4.0,6.0,6.0,6.0,3.0,4.0,5.0,4.0,2048.0,512.0,1.0,2048.0,64.0,1.0,1.0,1.0,1.0,1.0,16.0,1.0,1.0,2.0,2.0,6.0,4.0,2.0,3.0,2.0,2.0,6.0,2.0,2.0,5.0,5.0,3.0,1.0,1.0,6.0,512.0,2048.0,1.0,256.0,768.0,1.0,1.0,1.0,1.0,2.0,32.0,1.0,560594953.0,154151180.0,18651400.0,0.195187,44.0,10.0,268.0,8.641637350699454e+16
512.0,256000.0,256.0,64.0,1.0,16.0,32.0,10.0,1.0,5.0,4.0,3.0,4.0,4.0,3.0,2.0,2.0,2.0,1.0,4.0,4.0,3.0,4.0,1.0,5.0,4.0,4.0,5.0,1.0,3.0,2.0,5.0,8.0,2.0,1.0,2048.0,32.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,1.0,5.0,3.0,5.0,1.0,1.0,6.0,1.0,4.0,4.0,1.0,2.0,1.0,3.0,5.0,5.0,2.0,1024.0,1.0,1.0,1536.0,16.0,1.0,1.0,1.0,1.0,8.0,8.0,1.0,2448424969.0,191933020.0,4640290.0,0.0490743,10.0,10.0,64.0,4.699335985435764e+17
512.0,256000.0,256.0,64.0,3.0,40.0,8.0,42.0,3.0,2.0,2.0,3.0,4.0,3.0,3.0,5.0,1.0,4.0,5.0,2.0,4.0,1.0,3.0,5.0,5.0,4.0,1.0,5.0,1.0,3.0,2.0,5.0,2048.0,2048.0,1.0,64.0,128.0,1.0,1.0,1.0,1.0,2.0,4.0,1.0,6.0,6.0,6.0,3.0,3.0,3.0,3.0,2.0,3.0,5.0,2.0,1.0,2.0,3.0,3.0,2.0,4.0,3.0,8.0,16.0,1.0,3.0,1024.0,1.0,1.0,1.0,1.0,320.0,1.0,1.0,14573609252.0,40433539.0,97221500000.0,138.589,13440.0,10.0,698368.0,5.892625980615028e+17
1024.0,32000.0,256.0,64.0,2.0,44.0,28.0,26.0,6.0,5.0,2.0,2.0,2.0,1.0,3.0,3.0,4.0,1.0,4.0,3.0,3.0,6.0,1.0,5.0,5.0,3.0,2.0,1.0,1.0,5.0,4.0,5.0,16.0,4096.0,1.0,32.0,16.0,1.0,1.0,1.0,1.0,4.0,8.0,1.0,4.0,4.0,6.0,1.0,4.0,2.0,6.0,1.0,5.0,1.0,2.0,6.0,3.0,4.0,3.0,2.0,6.0,1.0,128.0,1024.0,1.0,2.0,6.0,1.0,1.0,1.0,1.0,8.0,64.0,1.0,652698300.0,83130400.0,550802000.0,3.5055855555555553,728.0,10.0,71712.0,5.425907075832e+16
512.0,16000000.0,256.0,64.0,1.0,24.0,26.0,16.0,5.0,3.0,6.0,2.0,6.0,6.0,4.0,6.0,6.0,2.0,1.0,1.0,4.0,6.0,1.0,4.0,5.0,6.0,1.0,5.0,2.0,5.0,1.0,1.0,8.0,256.0,1.0,512.0,2048.0,1.0,1.0,1.0,1.0,16.0,64.0,1.0,6.0,6.0,6.0,3.0,4.0,3.0,1.0,4.0,4.0,4.0,2.0,5.0,2.0,1.0,6.0,4.0,4.0,2.0,1.0,512.0,1.0,48.0,12.0,1.0,1.0,1.0,1.0,160.0,64.0,1.0,24427626505.0,219832700.0,7027210.0,0.07444540000000001,16.0,10.0,10.0,5.369991089185713e+18
2048000.0,1024000.0,256.0,64.0,1.0,30.0,36.0,34.0,6.0,1.0,2.0,4.0,2.0,2.0,6.0,2.0,5.0,5.0,2.0,5.0,2.0,5.0,1.0,6.0,2.0,2.0,5.0,4.0,2.0,3.0,4.0,6.0,4.0,4.0,1.0,64.0,32.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,6.0,5.0,1.0,5.0,2.0,1.0,1.0,2.0,3.0,4.0,5.0,3.0,1.0,6.0,3.0,3.0,6.0,3.0,128.0,64.0,1.0,96.0,8.0,1.0,1.0,1.0,1.0,40.0,20.0,1.0,721616905.0,201718380.0,14408200.0,0.152024,34.0,10.0,208.0,1.455633930572139e+17
2048000.0,2048000.0,256.0,64.0,2.0,34.0,8.0,48.0,3.0,4.0,3.0,3.0,6.0,3.0,4.0,4.0,6.0,4.0,6.0,5.0,5.0,1.0,5.0,1.0,2.0,3.0,6.0,2.0,1.0,2.0,4.0,3.0,4.0,64.0,1.0,512.0,4.0,1.0,1.0,1.0,1.0,32.0,8.0,1.0,2.0,5.0,6.0,2.0,2.0,6.0,4.0,6.0,5.0,2.0,3.0,5.0,4.0,6.0,4.0,6.0,5.0,3.0,4.0,1.0,1.0,12.0,1024.0,1.0,1.0,1.0,1.0,40.0,64.0,1.0,2826960905.0,135594660.0,223564000.0,1.7092033333333334,384.0,10.0,1064.0,3.833208027467673e+17
512000.0,64000.0,256.0,64.0,1.0,14.0,16.0,22.0,1.0,5.0,6.0,6.0,3.0,4.0,3.0,3.0,2.0,4.0,5.0,5.0,4.0,2.0,4.0,3.0,3.0,2.0,3.0,6.0,6.0,3.0,4.0,4.0,64.0,2.0,1.0,16.0,8.0,1.0,1.0,1.0,1.0,128.0,16.0,1.0,3.0,5.0,3.0,5.0,1.0,2.0,6.0,2.0,5.0,1.0,6.0,5.0,2.0,5.0,1.0,6.0,4.0,5.0,512.0,16.0,1.0,32.0,768.0,1.0,1.0,1.0,1.0,32.0,16.0,1.0,24427626505.0,303869400.0,9450830.0,0.100003,22.0,10.0,10.0,7.422808209498447e+18
64000.0,1024000.0,256.0,64.0,1.0,40.0,40.0,30.0,3.0,1.0,3.0,4.0,3.0,4.0,4.0,3.0,2.0,1.0,2.0,2.0,3.0,3.0,1.0,4.0,5.0,6.0,2.0,2.0,3.0,3.0,2.0,3.0,32.0,128.0,1.0,2048.0,1024.0,1.0,1.0,1.0,1.0,16.0,1.0,1.0,1.0,6.0,1.0,5.0,1.0,4.0,5.0,2.0,4.0,5.0,6.0,2.0,5.0,3.0,4.0,5.0,1.0,4.0,1024.0,512.0,1.0,3072.0,6.0,1.0,1.0,1.0,1.0,16.0,4.0,1.0,956301321.0,145034200.0,12739400.0,0.134983,30.0,10.0,242.0,1.386963970501782e+17
128.0,8192000.0,256.0,64.0,2.0,32.0,32.0,20.0,2.0,6.0,5.0,2.0,2.0,6.0,5.0,3.0,1.0,3.0,5.0,2.0,5.0,3.0,4.0,4.0,2.0,4.0,5.0,4.0,6.0,3.0,6.0,3.0,32.0,1.0,1.0,128.0,16.0,1.0,1.0,1.0,1.0,1.0,128.0,1.0,4.0,4.0,4.0,5.0,6.0,1.0,3.0,5.0,3.0,4.0,1.0,3.0,4.0,3.0,6.0,3.0,3.0,1.0,1.0,4096.0,1.0,3072.0,12.0,1.0,1.0,1.0,1.0,64.0,32.0,1.0,769196054.0,147232300.0,455607000.0,2.9661255555555557,640.0,10.0,25408.0,1.132505041813442e+17
64000.0,4096000.0,256.0,64.0,3.0,14.0,8.0,26.0,1.0,2.0,6.0,4.0,6.0,1.0,5.0,6.0,3.0,1.0,3.0,6.0,3.0,6.0,3.0,6.0,4.0,1.0,6.0,6.0,6.0,6.0,1.0,6.0,1024.0,8.0,1.0,2048.0,2048.0,1.0,1.0,1.0,1.0,16.0,128.0,1.0,4.0,6.0,5.0,4.0,3.0,5.0,1.0,6.0,5.0,3.0,3.0,1.0,5.0,3.0,1.0,4.0,2.0,5.0,4.0,128.0,1.0,3072.0,12.0,1.0,1.0,1.0,1.0,64.0,32.0,1.0,1808330192.0,33158248.0,5442470000.0,26.06,2912.0,10.0,4980736.0,5.996106097222362e+16
512000.0,8192000.0,256.0,64.0,1.0,40.0,2.0,16.0,5.0,4.0,4.0,6.0,2.0,1.0,3.0,2.0,5.0,2.0,4.0,3.0,3.0,2.0,1.0,5.0,1.0,1.0,4.0,2.0,3.0,4.0,2.0,6.0,256.0,1024.0,1.0,512.0,256.0,1.0,1.0,1.0,1.0,16.0,4.0,1.0,6.0,5.0,1.0,5.0,1.0,4.0,2.0,2.0,6.0,6.0,1.0,6.0,1.0,1.0,6.0,4.0,3.0,1.0,2048.0,8.0,1.0,384.0,768.0,1.0,1.0,1.0,1.0,160.0,20.0,1.0,1526726665.0,146365560.0,7027220.0,0.07485939999999999,16.0,10.0,130.0,2.234602032896574e+17
2048000.0,256000.0,256.0,64.0,3.0,20.0,4.0,14.0,4.0,2.0,2.0,1.0,2.0,3.0,3.0,5.0,2.0,2.0,4.0,3.0,4.0,4.0,4.0,3.0,1.0,4.0,4.0,4.0,6.0,6.0,3.0,5.0,4096.0,1024.0,1.0,4.0,8.0,1.0,1.0,1.0,1.0,2.0,4.0,1.0,2.0,1.0,6.0,6.0,6.0,4.0,3.0,4.0,2.0,5.0,5.0,1.0,4.0,3.0,4.0,4.0,6.0,3.0,4.0,16.0,1.0,3.0,64.0,1.0,1.0,1.0,1.0,40.0,32.0,1.0,1430908682.0,37180597.0,1070720000.0,5.616560000000001,1120.0,10.0,98368.0,5.320203904924315e+16
