l1_size,l2_size,noc_bw,offchip_bw,dim_num,dim_out,dim_mid,dim_in,p_c,p_k,p_x,p_y,p_r,p_s,o_c_out_0,o_k_out_0,o_x_out_0,o_y_out_0,o_r_out_0,o_s_out_0,o_c_mid_0,o_k_mid_0,o_x_mid_0,o_y_mid_0,o_r_mid_0,o_s_mid_0,o_c_in_0,o_k_in_0,o_x_in_0,o_y_in_0,o_r_in_0,o_s_in_0,t_c_d1_0,t_c_d2_0,t_c_d3_0,t_k_d1_0,t_k_d2_0,t_k_d3_0,t_x_d1_0,t_x_d2_0,t_x_d3_0,t_y_d1_0,t_y_d2_0,t_y_d3_0,o_c_out_1,o_k_out_1,o_x_out_1,o_y_out_1,o_r_out_1,o_s_out_1,o_c_mid_1,o_k_mid_1,o_x_mid_1,o_y_mid_1,o_r_mid_1,o_s_mid_1,o_c_in_1,o_k_in_1,o_x_in_1,o_y_in_1,o_r_in_1,o_s_in_1,t_c_d1_1,t_c_d2_1,t_c_d3_1,t_k_d1_1,t_k_d2_1,t_k_d3_1,t_x_d1_1,t_x_d2_1,t_x_d3_1,t_y_d1_1,t_y_d2_1,t_y_d3_1,o_c_out_2,o_k_out_2,o_x_out_2,o_y_out_2,o_r_out_2,o_s_out_2,o_c_mid_2,o_k_mid_2,o_x_mid_2,o_y_mid_2,o_r_mid_2,o_s_mid_2,o_c_in_2,o_k_in_2,o_x_in_2,o_y_in_2,o_r_in_2,o_s_in_2,t_c_d1_2,t_c_d2_2,t_c_d3_2,t_k_d1_2,t_k_d2_2,t_k_d3_2,t_x_d1_2,t_x_d2_2,t_x_d3_2,t_y_d1_2,t_y_d2_2,t_y_d3_2,o_c_out_3,o_k_out_3,o_x_out_3,o_y_out_3,o_r_out_3,o_s_out_3,o_c_mid_3,o_k_mid_3,o_x_mid_3,o_y_mid_3,o_r_mid_3,o_s_mid_3,o_c_in_3,o_k_in_3,o_x_in_3,o_y_in_3,o_r_in_3,o_s_in_3,t_c_d1_3,t_c_d2_3,t_c_d3_3,t_k_d1_3,t_k_d2_3,t_k_d3_3,t_x_d1_3,t_x_d2_3,t_x_d3_3,t_y_d1_3,t_y_d2_3,t_y_d3_3,o_c_out_4,o_k_out_4,o_x_out_4,o_y_out_4,o_r_out_4,o_s_out_4,o_c_mid_4,o_k_mid_4,o_x_mid_4,o_y_mid_4,o_r_mid_4,o_s_mid_4,o_c_in_4,o_k_in_4,o_x_in_4,o_y_in_4,o_r_in_4,o_s_in_4,t_c_d1_4,t_c_d2_4,t_c_d3_4,t_k_d1_4,t_k_d2_4,t_k_d3_4,t_x_d1_4,t_x_d2_4,t_x_d3_4,t_y_d1_4,t_y_d2_4,t_y_d3_4,o_c_out_5,o_k_out_5,o_x_out_5,o_y_out_5,o_r_out_5,o_s_out_5,o_c_mid_5,o_k_mid_5,o_x_mid_5,o_y_mid_5,o_r_mid_5,o_s_mid_5,o_c_in_5,o_k_in_5,o_x_in_5,o_y_in_5,o_r_in_5,o_s_in_5,t_c_d1_5,t_c_d2_5,t_c_d3_5,t_k_d1_5,t_k_d2_5,t_k_d3_5,t_x_d1_5,t_x_d2_5,t_x_d3_5,t_y_d1_5,t_y_d2_5,t_y_d3_5,o_c_out_6,o_k_out_6,o_x_out_6,o_y_out_6,o_r_out_6,o_s_out_6,o_c_mid_6,o_k_mid_6,o_x_mid_6,o_y_mid_6,o_r_mid_6,o_s_mid_6,o_c_in_6,o_k_in_6,o_x_in_6,o_y_in_6,o_r_in_6,o_s_in_6,t_c_d1_6,t_c_d2_6,t_c_d3_6,t_k_d1_6,t_k_d2_6,t_k_d3_6,t_x_d1_6,t_x_d2_6,t_x_d3_6,t_y_d1_6,t_y_d2_6,t_y_d3_6,latency,energy,area,power,cnt_pes,l1_mem,l2_mem,edp
16000.0,32000000.0,256.0,64.0,3.0,14.0,32.0,36.0,4.0,3.0,5.0,6.0,4.0,3.0,6.0,5.0,3.0,5.0,6.0,3.0,2.0,4.0,3.0,5.0,3.0,2.0,5.0,6.0,6.0,3.0,6.0,1.0,128.0,64.0,1.0,3.0,64.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,5.0,2.0,6.0,2.0,4.0,3.0,4.0,2.0,5.0,1.0,4.0,6.0,2.0,5.0,1.0,2.0,8.0,64.0,1.0,1.0,128.0,1.0,8.0,4.0,1.0,1.0,1.0,1.0,2.0,5.0,2.0,6.0,3.0,3.0,2.0,6.0,6.0,5.0,4.0,6.0,6.0,3.0,4.0,6.0,2.0,1.0,8.0,1.0,1.0,32.0,16.0,1.0,16.0,32.0,1.0,1.0,1.0,1.0,4.0,1.0,1.0,5.0,2.0,3.0,1.0,5.0,4.0,3.0,3.0,2.0,5.0,5.0,1.0,3.0,1.0,5.0,16.0,32.0,1.0,512.0,128.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,5.0,4.0,2.0,3.0,3.0,1.0,5.0,5.0,4.0,4.0,3.0,5.0,1.0,3.0,8.0,512.0,1.0,512.0,16.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,6.0,6.0,4.0,4.0,1.0,5.0,1.0,6.0,1.0,6.0,5.0,6.0,3.0,2.0,3.0,3.0,5.0,8.0,512.0,1.0,512.0,64.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,6.0,4.0,4.0,2.0,1.0,2.0,4.0,4.0,1.0,4.0,2.0,6.0,4.0,3.0,6.0,3.0,2.0,128.0,1.0,64.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,767606844.0,12010063.580000002,138759000000.0,189.94496527777778,16128.0,514.0,786432.0,9219007000883144.0
128000.0,8192000.0,256.0,64.0,1.0,44.0,34.0,30.0,3.0,2.0,5.0,1.0,3.0,6.0,2.0,3.0,5.0,2.0,6.0,4.0,3.0,5.0,3.0,6.0,4.0,2.0,1.0,6.0,2.0,1.0,4.0,5.0,512.0,4.0,1.0,512.0,48.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,3.0,1.0,6.0,4.0,5.0,5.0,3.0,4.0,6.0,6.0,2.0,1.0,6.0,1.0,3.0,3.0,5.0,8.0,4.0,1.0,2.0,2.0,1.0,64.0,32.0,1.0,1.0,1.0,1.0,4.0,1.0,4.0,5.0,6.0,2.0,6.0,2.0,2.0,1.0,6.0,4.0,6.0,5.0,6.0,4.0,6.0,2.0,16.0,8.0,1.0,1.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,3.0,5.0,6.0,1.0,2.0,4.0,1.0,2.0,3.0,1.0,6.0,4.0,6.0,3.0,4.0,6.0,5.0,1.0,64.0,4.0,1.0,512.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,6.0,5.0,3.0,4.0,4.0,3.0,5.0,5.0,5.0,1.0,5.0,6.0,6.0,4.0,4.0,3.0,16.0,256.0,1.0,64.0,512.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,6.0,1.0,5.0,6.0,4.0,3.0,6.0,2.0,4.0,6.0,2.0,5.0,4.0,3.0,1.0,3.0,2.0,512.0,64.0,1.0,32.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,6.0,6.0,6.0,2.0,5.0,2.0,5.0,3.0,1.0,2.0,2.0,1.0,4.0,4.0,6.0,4.0,6.0,128.0,8.0,1.0,4.0,64.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7239368992.0,62717684.6,12741000.0,0.14733775,30.0,514.0,514.0,4.540364611432759e+17
128000.0,512000.0,256.0,64.0,2.0,42.0,6.0,2.0,3.0,4.0,6.0,3.0,5.0,3.0,2.0,6.0,6.0,1.0,6.0,4.0,2.0,3.0,5.0,3.0,5.0,2.0,1.0,6.0,5.0,3.0,2.0,5.0,256.0,512.0,1.0,2.0,256.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,3.0,3.0,3.0,5.0,3.0,2.0,3.0,6.0,4.0,4.0,1.0,5.0,2.0,3.0,2.0,16.0,64.0,1.0,16.0,128.0,1.0,32.0,16.0,1.0,1.0,1.0,1.0,1.0,2.0,5.0,3.0,1.0,2.0,3.0,1.0,5.0,6.0,3.0,6.0,1.0,6.0,4.0,1.0,2.0,2.0,16.0,4.0,1.0,4.0,1.0,1.0,64.0,8.0,1.0,1.0,1.0,1.0,6.0,3.0,5.0,6.0,3.0,6.0,3.0,5.0,3.0,5.0,1.0,1.0,6.0,3.0,5.0,6.0,3.0,1.0,2.0,1.0,1.0,512.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,3.0,1.0,1.0,5.0,1.0,2.0,5.0,4.0,6.0,2.0,3.0,6.0,5.0,5.0,1.0,2.0,1.0,2.0,2.0,1.0,32.0,1024.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,6.0,2.0,4.0,1.0,3.0,4.0,5.0,3.0,1.0,5.0,4.0,2.0,2.0,1.0,5.0,3.0,512.0,64.0,1.0,256.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,6.0,5.0,3.0,1.0,1.0,5.0,5.0,3.0,5.0,5.0,2.0,4.0,6.0,3.0,1.0,1.0,5.0,4.0,16.0,1.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7071489900.0,25176544.099999998,5439450.0,0.09138867708333333,12.0,514.0,67072.0,1.7803567732005456e+17
32000.0,16000.0,256.0,64.0,1.0,12.0,46.0,24.0,4.0,3.0,6.0,5.0,4.0,2.0,3.0,2.0,2.0,2.0,1.0,3.0,1.0,2.0,6.0,1.0,2.0,2.0,2.0,3.0,2.0,2.0,6.0,1.0,128.0,16.0,1.0,96.0,768.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,3.0,1.0,4.0,6.0,2.0,3.0,1.0,6.0,1.0,1.0,6.0,2.0,1.0,5.0,2.0,2.0,32.0,2.0,1.0,32.0,8.0,1.0,1.0,16.0,1.0,1.0,1.0,1.0,1.0,6.0,2.0,2.0,3.0,4.0,2.0,2.0,6.0,3.0,4.0,5.0,6.0,3.0,5.0,2.0,5.0,4.0,64.0,2.0,1.0,4.0,2.0,1.0,4.0,32.0,1.0,1.0,1.0,1.0,6.0,5.0,3.0,6.0,1.0,5.0,3.0,6.0,1.0,4.0,5.0,3.0,2.0,3.0,2.0,4.0,2.0,4.0,512.0,256.0,1.0,128.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,6.0,1.0,3.0,2.0,5.0,4.0,5.0,4.0,4.0,2.0,6.0,6.0,1.0,5.0,1.0,6.0,4.0,32.0,1.0,1.0,128.0,512.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,6.0,6.0,4.0,1.0,1.0,6.0,6.0,6.0,6.0,6.0,4.0,3.0,3.0,4.0,2.0,1.0,32.0,8.0,1.0,16.0,16.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,5.0,2.0,3.0,6.0,5.0,5.0,4.0,2.0,4.0,6.0,3.0,2.0,6.0,4.0,2.0,4.0,4.0,4.0,32.0,1.0,512.0,64.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7023493408.0,54617194.39999999,10268200.0,0.11936849999999999,24.0,514.0,514.0,3.8360350483185446e+17
1024.0,512000.0,256.0,64.0,3.0,2.0,16.0,10.0,3.0,6.0,5.0,2.0,4.0,3.0,1.0,1.0,6.0,4.0,2.0,1.0,4.0,3.0,6.0,2.0,1.0,6.0,2.0,2.0,4.0,4.0,5.0,4.0,256.0,1.0,1.0,2.0,48.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,5.0,2.0,2.0,4.0,6.0,6.0,2.0,1.0,4.0,5.0,6.0,2.0,5.0,5.0,5.0,5.0,8.0,64.0,1.0,128.0,64.0,1.0,16.0,32.0,1.0,1.0,1.0,1.0,1.0,3.0,5.0,4.0,6.0,1.0,3.0,2.0,5.0,4.0,1.0,2.0,6.0,2.0,2.0,5.0,6.0,6.0,64.0,2.0,1.0,4.0,128.0,1.0,16.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,5.0,6.0,1.0,5.0,6.0,5.0,1.0,1.0,5.0,3.0,3.0,6.0,6.0,4.0,2.0,6.0,32.0,16.0,1.0,512.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,1.0,4.0,1.0,4.0,5.0,2.0,6.0,4.0,2.0,5.0,5.0,3.0,6.0,3.0,3.0,6.0,3.0,64.0,256.0,1.0,64.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,5.0,1.0,1.0,2.0,2.0,4.0,2.0,1.0,5.0,3.0,2.0,6.0,3.0,5.0,1.0,8.0,2048.0,1.0,8.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,4.0,1.0,5.0,2.0,3.0,5.0,4.0,5.0,6.0,3.0,5.0,2.0,2.0,5.0,2.0,1.0,4.0,512.0,1.0,2.0,1024.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3944627523.0,11928458.940000001,176157000.0,1.8576405555555555,320.0,514.0,1441792.0,4.705332744169941e+16
512000.0,8192000.0,256.0,64.0,3.0,18.0,24.0,36.0,4.0,1.0,2.0,2.0,6.0,3.0,1.0,2.0,4.0,1.0,4.0,2.0,5.0,6.0,5.0,1.0,6.0,4.0,6.0,5.0,6.0,1.0,5.0,2.0,8.0,2.0,1.0,384.0,32.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,2.0,5.0,5.0,4.0,2.0,6.0,3.0,5.0,1.0,3.0,5.0,5.0,5.0,5.0,4.0,3.0,4.0,8.0,1.0,1.0,16.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,3.0,4.0,1.0,5.0,4.0,6.0,5.0,6.0,4.0,1.0,4.0,6.0,3.0,3.0,5.0,2.0,1.0,1.0,4.0,8.0,1.0,2.0,64.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,4.0,2.0,2.0,3.0,2.0,6.0,3.0,3.0,4.0,6.0,4.0,1.0,3.0,1.0,5.0,3.0,2.0,1.0,64.0,128.0,1.0,512.0,512.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,4.0,1.0,1.0,1.0,6.0,2.0,1.0,3.0,1.0,6.0,4.0,1.0,4.0,4.0,6.0,3.0,1.0,512.0,8.0,1.0,2.0,16.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,2.0,2.0,4.0,3.0,5.0,2.0,2.0,2.0,2.0,4.0,3.0,2.0,5.0,4.0,2.0,3.0,3.0,32.0,32.0,1.0,512.0,128.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,6.0,4.0,2.0,1.0,5.0,1.0,1.0,3.0,4.0,4.0,6.0,5.0,6.0,2.0,6.0,1.0,6.0,4.0,32.0,1.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3288776593.0,13215876.239999998,129238000000.0,179.00754166666667,15552.0,514.0,294912.0,4.346406443409685e+16
512.0,1024000.0,256.0,64.0,1.0,42.0,38.0,44.0,5.0,2.0,5.0,4.0,6.0,1.0,4.0,5.0,1.0,2.0,2.0,2.0,6.0,3.0,1.0,1.0,6.0,4.0,3.0,2.0,6.0,3.0,4.0,6.0,32.0,512.0,1.0,2.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,6.0,5.0,3.0,4.0,2.0,5.0,2.0,5.0,2.0,4.0,4.0,1.0,2.0,3.0,2.0,1.0,64.0,1.0,2.0,32.0,1.0,1.0,64.0,1.0,1.0,1.0,1.0,2.0,5.0,5.0,6.0,6.0,3.0,5.0,5.0,4.0,6.0,6.0,6.0,2.0,2.0,5.0,2.0,3.0,5.0,2.0,2.0,1.0,1.0,32.0,1.0,16.0,16.0,1.0,1.0,1.0,1.0,6.0,1.0,2.0,1.0,6.0,1.0,6.0,6.0,1.0,5.0,5.0,5.0,2.0,1.0,3.0,4.0,5.0,1.0,16.0,4.0,1.0,8.0,128.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,2.0,5.0,2.0,2.0,5.0,2.0,3.0,4.0,2.0,1.0,6.0,2.0,1.0,5.0,1.0,4.0,2.0,4.0,1.0,1.0,128.0,1024.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,5.0,2.0,3.0,3.0,2.0,6.0,5.0,6.0,3.0,1.0,6.0,4.0,2.0,4.0,6.0,2.0,32.0,1.0,1.0,1.0,128.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,5.0,3.0,6.0,3.0,4.0,4.0,2.0,6.0,4.0,3.0,6.0,5.0,1.0,2.0,5.0,3.0,6.0,128.0,2.0,1.0,128.0,16.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7239368992.0,43818191.8,18653700.0,0.21339274999999996,44.0,514.0,514.0,3.172160590024287e+17
512.0,64000.0,256.0,64.0,3.0,16.0,18.0,46.0,3.0,4.0,3.0,4.0,3.0,6.0,5.0,3.0,2.0,1.0,5.0,6.0,6.0,1.0,4.0,3.0,1.0,4.0,6.0,2.0,3.0,4.0,1.0,2.0,128.0,4.0,1.0,384.0,96.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,3.0,3.0,2.0,6.0,4.0,5.0,3.0,2.0,5.0,4.0,5.0,1.0,4.0,2.0,5.0,6.0,5.0,2.0,32.0,1.0,4.0,32.0,1.0,8.0,16.0,1.0,1.0,1.0,1.0,6.0,5.0,5.0,4.0,1.0,2.0,6.0,2.0,3.0,4.0,6.0,6.0,1.0,1.0,5.0,4.0,3.0,6.0,2.0,32.0,1.0,16.0,32.0,1.0,32.0,2.0,1.0,1.0,1.0,1.0,6.0,1.0,1.0,1.0,3.0,1.0,4.0,2.0,2.0,1.0,1.0,2.0,4.0,2.0,5.0,4.0,4.0,2.0,512.0,8.0,1.0,1.0,32.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,5.0,2.0,5.0,5.0,6.0,2.0,1.0,5.0,4.0,1.0,6.0,3.0,3.0,5.0,5.0,1.0,5.0,1.0,4.0,1.0,512.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,6.0,2.0,2.0,6.0,4.0,2.0,4.0,3.0,4.0,4.0,5.0,6.0,1.0,2.0,6.0,2.0,2.0,16.0,128.0,1.0,4.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,6.0,2.0,5.0,1.0,1.0,3.0,4.0,3.0,6.0,1.0,3.0,5.0,6.0,5.0,3.0,5.0,4.0,2.0,128.0,1.0,512.0,16.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2970976148.0,16861202.240000002,94537100000.0,139.11804513888887,13248.0,514.0,294912.0,5.009422968164418e+16
32000.0,16000000.0,256.0,64.0,3.0,16.0,10.0,26.0,6.0,5.0,4.0,4.0,3.0,4.0,4.0,6.0,4.0,6.0,5.0,6.0,2.0,5.0,6.0,1.0,3.0,3.0,4.0,2.0,6.0,6.0,6.0,2.0,128.0,256.0,1.0,96.0,96.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,4.0,3.0,3.0,2.0,3.0,5.0,3.0,4.0,5.0,1.0,2.0,2.0,6.0,6.0,4.0,16.0,1.0,1.0,32.0,1.0,4.0,8.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,6.0,3.0,1.0,5.0,2.0,5.0,3.0,1.0,4.0,2.0,5.0,6.0,1.0,1.0,2.0,1.0,128.0,2.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,4.0,2.0,2.0,3.0,4.0,1.0,6.0,5.0,3.0,1.0,4.0,3.0,4.0,2.0,6.0,4.0,128.0,16.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,5.0,3.0,2.0,4.0,5.0,2.0,3.0,4.0,6.0,5.0,4.0,4.0,1.0,6.0,1.0,1.0,6.0,64.0,512.0,1.0,128.0,64.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,3.0,4.0,3.0,6.0,2.0,3.0,6.0,4.0,1.0,6.0,4.0,2.0,4.0,1.0,5.0,2.0,3.0,8.0,4.0,1.0,1.0,128.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,6.0,4.0,6.0,2.0,4.0,3.0,4.0,3.0,5.0,6.0,1.0,4.0,5.0,5.0,6.0,3.0,6.0,128.0,64.0,1.0,64.0,128.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2189610724.0,11986775.97,10419900000.0,27.267831944444445,4160.0,514.0,294912.0,2.6246373210097504e+16
256.0,1024000.0,256.0,64.0,2.0,48.0,12.0,22.0,1.0,2.0,5.0,1.0,5.0,6.0,1.0,4.0,3.0,5.0,6.0,1.0,2.0,6.0,5.0,1.0,5.0,5.0,4.0,3.0,3.0,4.0,2.0,3.0,128.0,128.0,1.0,256.0,8.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,6.0,4.0,3.0,2.0,2.0,5.0,2.0,4.0,5.0,6.0,2.0,2.0,4.0,2.0,2.0,3.0,8.0,1.0,1.0,1.0,16.0,1.0,32.0,16.0,1.0,1.0,1.0,1.0,2.0,3.0,6.0,1.0,5.0,6.0,1.0,1.0,1.0,2.0,4.0,3.0,1.0,6.0,6.0,6.0,2.0,5.0,1.0,16.0,1.0,2.0,4.0,1.0,8.0,8.0,1.0,1.0,1.0,1.0,6.0,2.0,5.0,4.0,5.0,2.0,1.0,6.0,3.0,1.0,5.0,3.0,1.0,4.0,5.0,1.0,4.0,4.0,16.0,256.0,1.0,512.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,3.0,3.0,4.0,6.0,2.0,4.0,5.0,6.0,1.0,2.0,5.0,5.0,6.0,3.0,3.0,3.0,32.0,2.0,1.0,2048.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6.0,2.0,5.0,5.0,3.0,5.0,4.0,3.0,6.0,3.0,4.0,2.0,4.0,2.0,1.0,1.0,6.0,2.0,1.0,128.0,1.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,2.0,3.0,3.0,2.0,5.0,1.0,5.0,2.0,6.0,2.0,5.0,4.0,1.0,5.0,2.0,2.0,2.0,1.0,4.0,1.0,1024.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7059634500.0,32851493.5,137806000.0,1.2829085763888888,264.0,514.0,36864.0,2.3191953688912576e+17
