,reward,core,l1i_size,l1d_size,l2_size,l1i_assoc,l1d_assoc,l2_assoc,clock_rate,latency,Area,energy,power
0,0.0020272745462908883,15,512,16,8192,16,2,8,3.8,4.932731,334.2,170203.87328953802,34.504998
1,0.0020534973009858223,10,1024,512,256,8,16,16,3.0,4.869741,246.36,130903.157199648,26.880928
2,0.0020225903111856323,1,64,4096,512,2,8,2,3.3,4.944155,54.483,22509.727129717998,4.5527956
3,0.0020435772410889817,12,512,8,2048,8,4,16,3.2,4.89338,208.75,123725.01264756001,25.284162000000002
4,-1.0,3,8,16,65536,4,16,16,3.9,10000.0,10000.0,10000.0,10000.0
5,-1.0,12,128,4,1024,8,2,16,3.0,10000.0,10000.0,10000.0,10000.0
6,0.002056893679165724,9,2048,1024,8192,4,16,4,2.1,4.8617,364.31,172400.7971787,35.461011
7,0.0020485233731395566,11,128,256,512,2,8,16,2.4,4.881565,164.88,103804.73212473001,21.264642000000002
8,-1.0,12,8,4,64,2,16,2,3.5,10000.0,10000.0,10000.0,10000.0
9,0.001146604782931309,8,4,4,65536,2,2,4,3.6,4.842088,536.83,189043.44391136005,39.041720000000005
10,0.0020272753682596388,15,16,32,512,4,8,4,4.0,4.932729,193.22,125605.86686287199,25.463767999999998
11,0.0020855653227214205,4,4096,16,256,8,2,4,2.5,4.794863,188.95,82409.650816273,17.187071
12,0.0020702733588943084,7,256,32,2048,8,4,2,2.0,4.83028,113.6,66600.88118684001,13.788203000000001
13,-1.0,8,32,2,8192,4,8,4,2.6,10000.0,10000.0,10000.0,10000.0
14,0.0020304754053590336,14,2048,256,128,8,16,2,3.7,4.924955,381.51,211985.49800896997,43.043133999999995
15,-1.0,15,64,4,1024,8,8,8,2.1,10000.0,10000.0,10000.0,10000.0
16,-1.0,3,2,128,8192,4,16,16,3.9,10000.0,10000.0,10000.0,10000.0
17,0.0020889835987630712,3,1024,256,4096,4,2,16,2.3,4.787017,89.331,45029.367418537,9.406561
18,0.002020812346355111,16,64,16,4096,4,4,4,2.6,4.948505,211.6,140191.28520813998,28.330028
19,0.0020304737562282242,14,128,1024,2048,2,4,8,2.4,4.924959,294.1,164559.23105388,33.41332
20,-1.0,9,4,4096,65536,16,8,16,2.1,10000.0,10000.0,10000.0,10000.0
21,0.0020652234747343657,8,64,256,16384,8,8,16,3.1,4.842091,260.26,111848.893267936,23.099296000000002
22,-1.0,16,8,4,1024,8,8,8,3.0,10000.0,10000.0,10000.0,10000.0
23,-1.0,1,64,2,128,16,8,4,2.8,10000.0,10000.0,10000.0,10000.0
24,0.002035352029398625,13,8,32,8192,16,2,16,2.7,4.913155,262.55,132087.03758210997,26.884362
25,-1.0,12,64,4,512,16,2,16,3.8,10000.0,10000.0,10000.0,10000.0
26,0.0019809146581947204,4,4096,16,32768,4,16,4,3.1,4.794861,410.43,144294.55227182398,30.093584
27,0.0020702823596001787,7,32,256,512,2,16,8,3.7,4.830259,122.4,65621.560928644,13.585516
28,0.0020889822896081487,3,4,128,64,4,4,4,2.0,4.78702,36.251,24904.811428420002,5.202571
29,0.002035353272196749,13,128,16,8192,8,2,8,3.6,4.913152,227.43,128547.56153343999,26.16397
30,0.002094072434803149,2,2048,256,4096,16,2,2,2.4,4.775384,96.393,39218.8095478752,8.2127028
31,0.0020702827882071724,7,1024,128,2048,8,4,4,3.8,4.830258,162.75,84456.40904516999,17.484865
32,0.001795195654868465,6,2048,4096,8192,2,4,8,2.0,4.818476,430.08,175565.37958954799,36.435872999999994
33,0.00042355650532205954,16,4096,1024,2048,2,4,4,2.2,4.948505,873.71,388040.07280258497,78.415617
34,0.002080449310476685,5,4096,512,128,2,16,4,2.9,4.806654,231.32,108271.8040116,22.5254
35,0.0010467068004922785,9,2048,4096,256,2,2,2,2.9,4.861691,560.73,239325.92807099002,49.22689
36,-1.0,2,4,4,512,8,16,4,3.1,10000.0,10000.0,10000.0,10000.0
37,-1.0,11,4,2,8192,8,4,16,3.6,10000.0,10000.0,10000.0,10000.0
38,0.0020753518759105607,6,128,2048,1024,4,2,16,3.7,4.81846,173.07,89527.5891075,18.580125
39,-1.0,2,512,2,256,16,2,8,2.1,10000.0,10000.0,10000.0,10000.0
40,0.0009713798994705322,6,1024,64,65536,8,16,4,2.4,4.818471,584.67,195842.759282541,40.644171
41,0.0004842789010779095,16,128,4096,2048,16,16,4,2.6,4.948505,817.1,347492.18613324995,70.22165
42,-1.0,5,4,512,2048,4,8,4,2.9,10000.0,10000.0,10000.0,10000.0
43,0.0020855692373532124,4,64,256,256,8,4,4,4.0,4.794854,60.039,36100.3665817156,7.5289814
44,0.002094075065890072,2,1024,2048,4096,8,4,16,3.2,4.775378,98.138,44392.2916203998,9.2960791
45,-1.0,15,1024,2,32768,8,4,2,3.6,10000.0,10000.0,10000.0,10000.0
46,0.0020652239012492538,8,1024,32,32768,4,8,4,3.2,4.84209,381.43,152325.30952683,31.458587
47,0.002094073311831389,2,4096,1024,16384,4,2,8,2.7,4.775382,240.71,81087.1677895068,16.9802474
48,0.0006180757476479342,14,256,4096,2048,16,16,2,3.7,4.924955,725.0,307834.98699383496,62.505137
49,-1.0,10,4,512,128,4,16,16,3.8,10000.0,10000.0,10000.0,10000.0
50,0.002020812346355111,16,64,16,8192,16,4,4,2.6,4.948505,317.0,158565.376234935,32.043087
51,0.002094073311831389,2,8,32,8192,16,2,16,2.7,4.775382,92.915,36531.096866469,7.6498795
52,0.0020435772410889817,12,512,8,2048,8,4,16,3.2,4.89338,208.75,123725.01264756001,25.284162000000002
53,0.0020940719962893044,2,4,256,4096,8,2,16,2.3,4.775385,56.957,27855.4524884355,5.8331323
54,0.0020940768199516936,2,1024,32,4096,16,4,8,3.8,4.775374,89.15,33515.9652842244,7.0185006
55,0.0020485233731395566,11,128,256,1024,2,8,16,2.4,4.881565,169.05,105216.00232936,21.553744
56,0.0020855666275970517,4,4096,512,512,2,16,4,2.9,4.79486,188.48,87333.71909094,18.214029
57,0.0020304754053590336,14,2048,256,128,8,16,2,3.7,4.924955,381.51,211985.49800896997,43.043133999999995
58,0.0020435772410889817,12,512,256,2048,8,4,16,3.2,4.89338,228.5,132125.11598344,27.000788
59,0.002075345846008508,6,256,2048,2048,8,2,2,2.0,4.818474,182.3,93022.23066641999,19.305329999999998
60,0.002035353272196749,13,128,16,8192,2,2,8,3.7,4.913152,201.24,125072.916568064,25.456757
61,0.0006848683609882837,14,256,4096,2048,16,8,2,3.8,4.924955,688.74,302642.163691385,61.450747
62,0.0020855657576797832,4,2048,256,256,8,2,4,2.6,4.794862,115.99,60210.208926570005,12.557235
63,0.0020940772584675583,2,64,256,256,8,4,4,4.0,4.775373,31.956,18483.1375459014,3.8705118
64,0.0020940912910721978,2,1024,1024,8192,4,16,4,3.3,4.775341,127.78,45985.9765477053,9.6298833
65,0.002075352306619191,6,64,256,8192,8,4,4,4.0,4.818459,155.47,70843.321170615,14.702485
66,0.0020225903111856323,1,64,4096,512,2,8,2,3.3,4.944155,54.483,22509.727129717998,4.5527956
67,0.00208898534430552,3,512,256,4096,16,2,16,2.7,4.787013,89.507,42401.41666931939,8.857593799999998
68,0.0013119494767351108,15,2048,256,4096,16,2,2,2.4,4.93274,497.23,242821.49601355995,49.226493999999995
69,0.002094072873317177,2,2048,256,2048,8,2,2,2.4,4.775383,72.583,34157.0830277243,7.1527421
70,0.0020940719962893044,2,2048,256,8192,16,2,2,2.4,4.775385,126.61,46668.717777217505,9.7727655
71,-1.0,3,2,4096,512,2,8,16,3.9,10000.0,10000.0,10000.0,10000.0
72,0.0020208164300459025,16,128,4,1024,2,8,16,3.0,4.948495,214.84,141080.24645936,28.509728
73,0.0020753518759105607,6,32,4,8192,4,8,16,3.7,4.81846,136.66,68327.55044866,14.180371
74,0.0020652243277643183,8,64,256,4096,16,2,16,3.1,4.842089,163.91,84619.18526264,17.47576
75,0.0020272749572751805,15,512,16,4096,4,2,8,3.8,4.93273,252.42,154810.82567203,31.384411
76,0.001450856902194763,13,1024,2048,4096,8,4,16,3.2,4.913153,473.77,236440.24579074903,48.123933
77,0.0020702733588943084,7,256,32,2048,8,4,2,2.0,4.83028,113.6,66600.88118684001,13.788203000000001
78,0.002088987089850886,3,1024,4,512,4,16,4,3.1,4.787009,64.546,34682.2224761435,7.2450715
79,0.0012653665313274818,15,512,2048,8192,8,2,16,3.2,4.932735,506.3,259262.139492585,52.559511
80,-1.0,12,128,4,512,8,2,16,3.0,10000.0,10000.0,10000.0,10000.0
81,-1.0,11,128,256,128,2,8,16,2.4,10000.0,10000.0,10000.0,10000.0
82,0.0020485233731395566,11,128,256,512,2,8,16,2.4,4.881565,164.88,103804.73212473001,21.264642000000002
83,0.0020652234747343657,8,64,8,16384,8,8,16,3.1,4.842091,247.07,106308.713166375,21.955125
