reward,core,l1i_size,l1d_size,l2_size,l1i_assoc,l1d_assoc,l2_assoc,clock_rate,latency,Area,energy,power
0.002094072434803149,2,4,4096,8192,2,2,16,2.5,4.775384,157.18,59711.1718400296,12.5039519
0.0020652209156487365,8,256,16,8192,1,16,8,2.3,4.842097,185.32,90782.90781357199,18.748676
0.0006126817831653321,15,512,512,65536,1,2,4,3.5,4.932734,727.61,298296.59672478196,60.472873
0.002094076381436013,2,16,512,64,1,1,2,3.5,4.775375,31.496,19194.746837475002,4.0195266
0.0020485225338502983,11,64,1024,64,16,1,2,2.2,4.881567,229.0,126672.71934386402,25.949192
0.0020753488609551543,6,2048,8,16384,1,16,16,2.8,4.818467,277.11,121943.21868542398,25.307471999999997
0.002070281502386724,7,64,512,512,1,4,16,3.3,4.830261,114.52,69914.05267019701,14.474177000000001
0.0005577483986396863,15,256,4096,128,16,16,8,2.7,4.932738,762.6,326793.5472083399,66.24992999999999
0.0008329343562789557,11,4096,32,16384,2,8,8,3.3,4.88156,627.3,261990.25469876,53.669371
0.0013835559971467901,16,128,512,32768,8,1,2,3.0,4.948505,483.42,222841.151387575,45.032015
0.0020855674975150465,4,512,32,256,8,16,1,3.1,4.794858,80.07,41137.22049381,8.579445
0.0020889866534642707,3,4096,2048,1024,16,4,8,3.2,4.78701,187.77,81486.37508895,17.022395
0.0019833480925476594,13,512,2048,1024,4,8,2,2.4,4.913158,405.21,209348.63061682004,42.609790000000004
0.0020304754053590336,14,64,256,64,2,8,4,3.5,4.924955,197.87,127124.99709119,25.812418
0.002035349129542238,13,2048,32,128,16,8,2,2.0,4.913162,390.5,195471.348981528,39.785244
0.0020534964576159357,10,64,8,64,2,16,1,3.5,4.869743,152.96,86351.43213534799,17.732236
0.001537367609958595,4,128,4,65536,1,8,1,2.0,4.794855,465.89,161153.47506843,33.609666
0,4,4,128,128,1,16,1,2.5,0,0,0,0
0.0020804488776498416,5,1024,16,64,2,4,1,2.7,4.806655,93.657,54652.191275394995,11.370109
0.00147287631972537,4,32,32,65536,2,16,1,2.7,4.794864,475.98,161640.034303392,33.711078
0.0020568957945737033,9,64,32,64,16,4,2,2.3,4.861695,144.59,78802.674606855,16.208889
0.0020208176551563587,16,512,512,256,4,4,1,3.5,4.948492,303.57,182789.02060137602,36.938328000000006
0.0017321188461062124,16,16,1024,16384,2,1,2,2.1,4.948508,432.05,213479.17945588002,43.14011
0.0005995907806149649,15,1024,64,65536,2,8,8,3.2,4.932736,735.51,297508.51578508806,60.313083
0,1,8,8,64,2,16,1,3.4,0,0,0,0
0.0020702827882071724,7,32,64,1024,4,1,1,3.9,4.830258,85.201,58421.825602259996,12.09497
